﻿﻿# Bermuda Coral d18O and Sr/Ca Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
#
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/1872
# Online_Resource: 
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/atlantic/bermuda.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#
#--------------------
# Contribution_Date
#	Date: 2002-12-01
#--------------------
# Title
#	Study_Name: Northeast Breakers - del18O, del13C, and Sr/Ca Data
#--------------------
# Investigators
#       Investigators: Kuhnert, H.; Pätzold, J.; Schnetger, B.; Wefer, G. 
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Kuhnert, H.; Pätzold, J.; Schnetger, B.; Wefer, G. 
#       Published_Date_or_Year: 2002-05-20
#       Published_Title: Sea-surface temperature variability in the 16th century at Bermuda inferred from coral records. 
#       Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#       Volume: 179
#       Edition: 
#       Issue: 
#       Pages: 159-171
#       DOI: 10.1016/S0031-0182(01)00410-2
#       Online_Resource: 
#       Full_Citation: Kuhnert, H., J. Pätzold, B. Schnetger, and G. Wefer. 2002. Sea-surface temperature variability in the 16th century at Bermuda inferred from coral records. Palaeogeography, Palaeoclimatology, Palaeoecology 179:159-171, 20 May 2002.
#       Abstract: Records of skeletal d18O in monthly and Sr/Ca ratios in half-yearly resolution were obtained from a Bermuda coral (Diploria labyrinthiformis) for the time period 1520-1603 (±15 years) A.D. within the Little Ice Age. Annual and decadal averages of both sea surface temperature proxies indicate temperature variabilities of 0.5 °C (standard deviation) and 0.3 °C, respectively. Both numbers are close to recent instrumental observations. Approximately 30% of the interannual time series variance of d18O is concentrated in broad bands centered at periods of ~30, 16, and 7.8 years, the last two reflecting the influence of the North Atlantic Oscillation. Although this large-scale climate signal is present in the record, there is no correlation with other contemporaneous Northern Hemisphere proxy data, resulting from spatial differences in climate variability.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Northeast Breakers, Bermuda
#       Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Bermuda
#	Country: Bermuda 
#	Northernmost_Latitude: 32.47 
# 	Southernmost_Latitude: 32.47 
# 	Easternmost_Longitude: -64.70 
# 	Westernmost_Longitude: -64.70 
# 	Elevation: -11 m  
#------------------
# Data_Collection   
#	Collection_Name: 02berm01a
#	Earliest_Year: 1519
#	Most_Recent_Year: 1604
#	Time_Unit: AD
#	Core_Length: 0.26879 m
#	Notes: 
#------------------
# Species
#	Species_Name: Diploria labyrinthiformis 
#	Common_Name: 
#------------------
# Chronology_Information
# 	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_int	interpolated monthly age, , ,years AD, , , , ,N
##d18O_int	interpolated monthly delta 18O, Diploria labyrinthiformis, , permil VPDB, , corals and sclerosponges, , ,N
##d13C_int	interpolated monthly delta 13C, Diploria labyrinthiformis, , permil VPDB, , corals and sclerosponges, , ,N
##Sr/Ca_int	interpolated monthly Strontium/Calcium, Diploria labyrinthiformis, ,mmol/mol, ,corals and sclerosponges, , analytical technique: ICP-AES,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age_int	d18O_int	d13C_int	Sr/Ca_int
1583.46	-3.51	0.3	NAN
1583.37	-3.31	0.55	NAN
1583.29	-3.16	0.64	NAN
1583.21	-3.08	0.72	NAN
1583.12	-3.18	0.59	NAN
1583.04	-3.26	0.42	NAN
1582.96	-3.45	0.08	NAN
1582.87	-3.66	-0.08	NAN
1582.79	-3.95	-0.29	NAN
1582.71	-4.08	-0.24	NAN
1582.62	-3.95	-0.11	NAN
1582.54	-3.81	-0.05	NAN
1582.46	-3.63	0.16	NAN
1582.37	-3.34	0.44	NAN
1582.29	-3.26	0.58	NAN
1582.21	-3.02	0.89	NAN
1582.12	-3.06	0.79	NAN
1582.04	-3.1	0.68	NAN
1581.96	-3.3	0.43	NAN
1581.87	-3.33	0.59	NAN
1581.79	-3.38	0.65	NAN
1581.71	-3.35	0.85	NAN
1581.62	-3.32	0.91	NAN
1581.54	-3.45	0.7	NAN
1581.46	-3.54	0.79	NAN
1581.37	-3.43	0.96	NAN
1581.29	-3.34	0.93	NAN
1581.21	-2.74	1.42	NAN
1581.12	-3.38	0.9	NAN
1581.04	-2.9	1.47	NAN
1580.96	-2.91	1.64	NAN
1580.87	-3.03	1.67	NAN
1580.79	-3.25	1.26	NAN
1580.71	-3.59	0.91	NAN
1580.62	-3.83	0.91	NAN
1580.54	-3.66	1.12	NAN
1580.46	-3.59	1.02	NAN
1580.37	-3.22	1.26	NAN
1580.29	-3.09	1.3	NAN
1580.21	-2.96	1.41	NAN
1580.12	-3.08	1.06	NAN
1580.04	-3.14	0.59	NAN
1579.96	-3.34	0.82	NAN
1579.87	-3.63	0.87	NAN
1579.79	-3.71	0.85	NAN
1579.71	-3.68	0.77	NAN
1579.62	-3.35	0.55	NAN
1579.54	-3.51	0.68	NAN
1579.46	-3.44	0.86	NAN
1579.37	-3.21	0.9	NAN
1579.29	-3.15	1.19	NAN
1579.21	-2.98	1.31	NAN
1579.12	-3.08	1.17	NAN
1579.04	-3.19	1.02	NAN
1578.96	-3.37	0.81	NAN
1578.87	-3.5	0.73	NAN
1578.79	-3.63	0.7	NAN
1578.71	-3.79	0.69	NAN
1578.62	-3.82	0.5	NAN
1578.54	-3.68	0.16	NAN
1578.46	-3.44	0.48	NAN
1578.37	-3.48	0.52	NAN
1578.29	-3.41	0.89	NAN
1578.21	-3.18	1.28	NAN
1578.12	-3.29	1.32	NAN
1578.04	-3.36	1.09	NAN
1577.96	-3.43	0.84	NAN
1577.87	-3.65	0.65	NAN
1577.79	-3.68	0.83	NAN
1577.71	-3.8	0.71	NAN
1577.62	-3.75	0.7	NAN
1577.54	-3.66	0.7	NAN
1577.46	-3.49	1.01	NAN
1577.37	-3.18	1.12	NAN
1577.29	-3.12	1.49	NAN
1577.21	-2.98	1.58	NAN
1577.12	-3.08	1.15	NAN
1577.04	-3.28	0.82	NAN
1576.96	-3.56	0.63	NAN
1576.87	-3.64	0.64	NAN
1576.79	-3.74	0.71	NAN
1576.71	-3.81	0.61	NAN
1576.62	-3.74	0.67	NAN
1576.54	-3.62	0.84	NAN
1576.46	-3.31	1.04	NAN
1576.37	-3.4	0.66	NAN
1576.29	-3.25	1.11	NAN
1576.21	-2.99	1.53	NAN
1576.12	-3.07	1.24	NAN
1576.04	-3.11	1.02	NAN
1575.96	-3.23	0.69	NAN
1575.87	-3.36	0.61	NAN
1575.79	-3.77	0.32	NAN
1575.71	-3.85	0.49	NAN
1575.62	-3.99	0.61	NAN
1575.54	-3.83	0.88	NAN
1575.46	-3.86	0.7	NAN
1575.37	-3.58	0.97	NAN
1575.29	-3.4	1.08	NAN
1575.21	-3.17	1.27	NAN
1575.12	-3.29	1.11	NAN
1575.04	-3.43	0.43	NAN
1574.96	-3.53	0.68	NAN
1574.87	-3.78	0.52	NAN
1574.79	-3.94	0.43	NAN
1574.71	-3.88	0.47	NAN
1574.62	-3.9	0.58	NAN
1574.54	-3.64	0.73	NAN
