La Parguera, Puerto Rico Coral Isotope Data and LIA SST Reconstruction
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCES WHEN USING THIS DATA!!!!!

NAME OF DATA SET: La Parguera, Puerto Rico Coral Isotope Data and 
LIA SST Reconstruction

LAST UPDATE: 9/2002 (Original Receipt by WDC Paleo)

CONTRIBUTOR: Amos Winter, Department of Marine Sciences,
University of Puerto Rico


IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2002-062

SUGGESTED DATA CITATION: Winter, A., et al., 2002, 
La Parguera, Puerto Rico Coral Isotope Data and LIA SST Reconstruction.  
IGBP PAGES/World Data Center-A for Paleoclimatology 
Data Contribution Series #2002-062.
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.

ORIGINAL REFERENCE: 
Winter, A., T. Oba, H. Ishioroshi, T. Watanabe, and J. Christy, 2000. 
Tropical sea surface temperatures: two-to-three degrees cooler 
than present during the Little Ice Age. 
Geophys. Research Letters, 27 (20):  3365-3368.


GEOGRAPHIC REGION: Puerto Rico, Caribbean Sea
PERIOD OF RECORD:  1700-1989 A.D. 


ABSTRACT:
We determined the seasonal environmental conditions during the Little Ice Age (LIA) 
by interpreting isotope proxies in the coral skeleton of Montastrea faveolata 
from the northeast Caribbean. The oxygen isotope composition was determined 
for three time intervals during the LIA (1700-1705, 1780-1785, 1810-1815), 
thought to correspond to the coldest intervals. The period 1984-1989 was used 
to represent modern calibration conditions. We determined that SSTs from the
LIA intervals are nearly 2-3C cooler than present. LIA cooling in the Caribbean 
may have resulted from regional oceanic and atmospheric circulation differences, 
especially in winter. We propose that a trough of cold air from the north Atlantic 
may have extended farther south than present, into the northern Caribbean. 
Although there are indications from Pacific corals that seasonality was greater 
during the LIA, this does not seem to be the case for the Caribbean.

DESCRIPTION:
Puerto Rico Coral Oxygen Isotope Data and LIA SST Reconstruction

Corals and modern SST data collected at the University of Puerto Rico marine station, 
La Parguera, 17 55'N, 64 00'W, Water Depth 7m.


M. faveolata colonies used in this study are situated on the southwestern shore of Puerto Rico.  
Two coral heads both located at 7m water depth adjacent to each other were used in this study.  
One was used to obtain modern isotope data (1984-1989) and the other was used to obtain isotope 
data from the Little Ice Age.   The cores were hydraulically drilled on June 2, 1994 and 
subsequently slabbed and x-rayed to reveal high density (HD) and low density (LD) banding.  
The distance between HD bands was approximately 10 mm per year.  Each LD-HD band couplet 
represents one year of growth and chronology was determined by counting number of couplets 
starting with the top layer, which represented the year 1994. Samples for isotopic analysis 
were extracted from the slabs by the method of Watanabe and Oba, 2000.  Isotope values are 
reported vs PDB, and water temperature values are in degrees C.  




DATA:

1700-1705 AD:

Distance(mm)	d180	error	d13C	error	T
31.95	-3.44	0.02	-0.85	0.008	22.21
32.15	-3.3	0.02	-0.57	0.03	21.92
32.25	-3.21	0.02	-0.72	0.012	22.03
32.45	-4.07	0.03	-0.88	0.016	22.66
32.55	-3.6	0.02	-0.58	0.015	21.54
32.75	-3.79	0.02	-0.33	0.017	20.53
32.85	-3.53	0.02	-0.44	0.009	22.27
33.15	-3.48	0.02	-0.42	0.013	21.98
33.45	-3.71	0.03	-0.47	0.007	21.73
33.75	-3.54	0.03	-0.76	0.017	22.77
34.05	-3.53	0.03	-0.64	0.014	22
34.1	-3.22	0.02	-0.88	0.02	21.94
34.35	-3.16	0.02	-0.79	0.007	22.34
34.65	-3.51	0.02	-0.84	0.017	21.86
35.15	-3.21	0.02	-0.43	0.013	20.51
35.25	-3.67	0.03	-0.78	0.007	22.6
35.35	-3.55	0.03	-0.42	0.016	22.04
35.55	-3.96	0.02	-0.55	0.01	23.91
35.65	-3.52	0.02	-0.55	0.012	21.92
36.15	-3.59	0.02	-0.66	0.012	22.22
36.75	-3.66	0.02	-0.25	0.009	22.54
38.25	-4.02	0.03	-0.65	0.018	24.17
38.55	-3.98	0.03	0.07	0.017	24.01
38.85	-4.52	0.03	-0.57	0.013	26.45
39.15	-4.1	0.02	-0.4	0.008	24.55
39.45	-4.3	0.02	-0.76	0.022	25.86
39.65	-4.16	0.02	-0.69	0.01	24.79
39.75	-4.43	0.02	-0.72	0.016	26.03
39.85	-4.48	0.03	-0.77	0.031	26.26
39.95	-4.55	0.02	-0.73	0.026	26.59
40.05	-4.48	0.03	-0.98	0.007	26.26
40.15	-3.95	0.03	-0.81	0.014	23.85
41.25	-3.74	0.02	-0.67	0.015	22.91
42.75	-3.67	0.03	-0.59	0.017	22.59
43.05	-3.38	0.01	-0.36	0.021	21.28
43.35	-3.2	0.01	-0.21	0.011	20.48
43.65	-3.25	0.02	-0.23	0.014	20.7
44.15	-3.53	0.02	-0.29	0.009	21.94
44.35	-3.36	0.02	-0.25	0.008	21.17
44.45	-3.68	0.02	-0.53	0.015	22.64
44.55	-3.69	0.03	-0.35	0.014	22.67
44.65	-3.72	0.01	-0.32	0.015	22.83
44.75	-3.5	0.03	-0.23	0.01	21.83
44.85	-3.27	0.02	-0.36	0.007	20.79
44.95	-3.67	0.03	-0.32	0.013	22.6
45.05	-3.65	0.02	-0.28	0.012	22.52
45.15	-3.71	0.03	-0.28	0.014	22.77
45.35	-3.57	0.03	-0.13	0.012	22.16
45.75	-3.74	0.02	-0.07	0.016	22.92
46.35	-3.75	0.02	-0.31	0.008	22.96
47.25	-4.1	0.01	-0.96	0.021	24.54
47.85	-3.97	0.02	-0.67	0.017	23.95
48.75	-3.83	0.03	-0.54	0.021	23.31
49.35	-4.17	0.02	-1.39	0.01	24.87
49.65	-4.26	0.02	-1.66	0.007	25.27
49.75	-4.25	0.03	-1.86	0.018	25.21
49.85	-4.29	0.02	-1.72	0.015	25.39
49.95	-4.06	0.01	-1.72	0.012	24.34
50.25	-3.95	0.03	-1.76	0.015	23.85


1810-1815 AD:

Distance(mm)	d18O	error	d13C	error	T
1.65	-3.88	0.019	-0.59	0.014	23.53
1.9	-4.07	0.017	-0.96	0.016	24.63
3.15	-4.12	0.02	-0.79	0.014	25
3.45	-4.2	0.019	-1.09	0.018	23.1
3.65	-3.78	0.023	-1.14	0.005	24.31
