# Sabine Bank, Vanuatu stable isotope salinity reconstruction from 1842-2007 CE
#-----------------------------------------------------------------------
#              World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                       NOAA Paleoclimatology Program 
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# plus the data file URL and date accessed.
#
#  Online Resource: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:13439
# 
# Archive/Proxy: Coral
#
#--------------------------------
# Contribution Date
# Date: 10/2012
#--------------------------------
# Title:     Sabine Bank, Vanuatu stable isotope salinity reconstruction from 1842-2007 CE
#--------------------------------
# Investigators: Meaghan K. Gorman , Terence M. Quinn, Frederick W. Taylor, Judson W. Partin, Guy Cabioch, James A. Austin, Jr., Bernard Pelletier, Valerie Ballu, Christophe Maes, Steffen Saustrup
# Description and Notes: Stable isotopic analyses (d18O and d13C) from a modern Porites lutea coral cored at Sabine Bank, Vanuatu in December 2006 and October 2007. The d18O anomaly data is used to investigate salinity variability at this location from 1842-2007 CE (span of 165 years). A 2-m long core (06SB-A1) was extracted from a Porites lutea coral head in 8 m of water at Sabine Bank, Vanuatu (166.07°E, 15.94°S), in December 2006. A 2.9-m long core (07SB-A2) was extracted from the same coral head in October 2007, reaching the base of the coral. We prepared the 8-cm diameter cores by cutting them into 6-mm thick slabs; X-radiographs of these slabs helped to determine the maximum growth axis of the coral, which guided the selection of the most appropriate sampling paths for micromilling powders. Using a computer assisted micromill drilling system, we collected coral sample powders at 1 mm intervals, which equates to approximate monthly sampling, given an estimate of an annual extension rate of 1.2 cm/yr. Core 06SB-A1 was sampled in its entirety and 07SB-A2 was sampled from 0 to 40 cm (to confirm overlap of the two cores and to gain an extra year in the time series) and from 143 to 290 cm, which overlaps with the lower end of 06SB-A1 and extends the time series back to 1842 CE. Results are only reported to a depth of 200 cm as a result of diagenetic alteration at the bottom of the core, which is visible as dark patches in the X- radiographs and large excursions, as well as the lack of an annual cycle in the geochemical time series. Stable isotope determinations were made on aliquots of sample powder using a Thermo-Finnigan MAT253 Isotope Ratio Mass Spectrometer (IRMS), with a Kiel IV Carbonate Device, and on a Thermo-Finnigan Delta V Plus IRMS with Gasbench II (GB II) connected to a Conflo IV, both at the Analytical Laboratory for Paleoclimate Studies (ALPS) at the Jackson School of Geosciences, University of Texas at Austin. The precision of the Kiel IV/MAT253 IRMS for samples in this study is 0.05 per mil for d18O and 0.03 per mil for d13C (1-sigma), as estimated via multiple analyses of a carbonate standard (n = 224), which is consistent with long- term precision for this instrument of 0.06 per mil for d18O and 0.03 per mil for d13C. The precision of the GB II/Delta V Plus IRMS is 0.07 per mil for d18O and 0.03 per mil for d13C (1-sigma), as estimated via multiple analyses of the same carbonate standard (n = 25), which is consistent with long-term precision for this instrument of 0.07 per mil for d18O and 0.03 per mil for d13C. Replicate coral samples analyzed on both mass spectrometers yield similar results (mean difference = 0.03 per mil for d18O and 0.12 per mil for d13C; n = 35). All stable isotope values are reported relative to Vienna Pee Dee Belemnite (VPDB), in standard delta notation. Reconstructed SSS = 34.861 + 1.772*d18Oanomaly. See the paper for a full description of the methods used. 
#
#--------------------
# Publication/Citation 
#   Authors: Gorman, M.K., T.M. Quinn, F.W. Taylor, J.W. Partin, G. Cabioch, J.A. Austin Jr., B. Pelletier, V. Ballu, C. Maes, and S. Saustrup. 
#   Journal Name: Paleoceanography
#   Published Title: A coral-based reconstruction of sea surface salinity at Sabine Bank, Vanuatu from 1842 to 2007 CE
#   Published Date or Year: 2012
#   Volume: 27
#   Report Number: PA3226
#   DOI: 10.1029/2012PA002302
# Abstract: Climate variability associated with the El NiÃ±o-Southern Oscillation (ENSO) results in large sea-surface temperature (SST) and sea-surface salinity (SSS) anomalies in many regions of the tropical Pacific Ocean. We investigate interannual changes in SSS driven by ENSO in the southwestern Pacific at Sabine Bank, Vanuatu (SBV, 166.04°E, 15.94°S) using monthly variations in coral d18O from 1842 to 2007 CE. We develop and apply a coral d18O -SSS transfer function, which is assessed using a calibration-verification exercise (1970-2007 CE). The 165-year reconstructed SSS record contains a prominent trend toward freshening from 1842 to 2007 CE; mean SSS for 1842-1872 CE is 35.46 Â± 0.28 psu, which contrasts with a mean value of 34.85 Â± 0.31 psu for 1977-2007 CE, with a freshening trend during the latter part of the 20th century that is not unprecedented with respect to the overall record. Variance in the record is concentrated in the interannual (42%) and interdecadal (29%) bands. The SBV-SSS record matches well with a similarly reconstructed SSS time series at Malo Channel, Vanuatu, which is located ~120 km to the east of SBV. This regional signal is likely driven by ENSO-related changes in the SPCZ and interdecadal changes in surface water advection. The pattern of interdecadal variability at SBV agrees reasonably well with coral records of interdecadal variability from Fiji and Tonga, especially in the pre-1940 portions of the records, further evidence for the regional extent of the salinity signal at Sabine Bank, Vanuatu.
#--------------------------------
# Funding Agency: 
#    Name: NSF
#    Grant: OCE 0517964 and OCE 0402349
#--------------------------------
# Site Information: 
# Name: Sabine Bank
# Region: Western Pacific Ocean, Vanuatu
#	Northmost Latitude:  15.94 S
# 	Southmost Latitude:  15.94 S
# 	Eastmost Longitude: 166.04 E
# 	Westmost Longitude: 166.04 E
# 	Elevation:depth(m): 8
#--------------------------------
# Data Collection 
# Core Name: Sabine Bank Composite Raw d18O and d13C
# First Year: 1842
# First Year: 2007
# Time Unit: AD
# Notes on Core: This is the time series of actual measurements that came off the instrument for the samples run and listed by consecutive number. Raw data begins at 1842.625 AD
#--------------------------------
# Variables    
# 
sample# Sample number, , ,,,,, 
d18Op.lutea 	delta 18O, Porites lutea,,per mil VPDB,,,,mass spectrometer 
d13Cp.lutea 	delta 13C, Porites lutea,,per mil VPDB,,,,mass spectrometer

sample#	d18Op.lutea	d13cp.lutea	
226	-4.62	-1.79	
227	-4.63	-1.93	
228	-4.58	-2.12	
229	-4.44	-1.86	
230	-4.43	-1.76	
231	-4.56	-1.40	
232	-4.59	-1.41	
233	-4.55	-1.23	
234	-4.59	-0.70	
235	-4.72	-0.89	
236	-4.76	-1.47	
237	-4.69	-1.73	
238	-4.58	-1.51	
239	-4.57	-1.34	
240	-4.50	-0.73	
241	-4.47	-0.48	
242	-4.50	-0.40	
243	-4.45	-0.66	
244	-4.61	-0.76	
245	-4.62	-0.46	
246	-4.54	-0.61	
247	-4.67	-1.06	
248	-4.51	-1.21	
249	-4.45	-1.00	
250	-4.28	-1.03	
251	-4.36	-0.73	
252	-4.27	-0.64	
253	-4.38	-0.69	
254	-4.52	-0.69	
255	-4.31	-1.02	
256	-4.32	-0.88	
257	-4.40	-0.47	
258	-4.59	-0.65	
259	-4.72	-1.04	
260	-4.42	-1.16	
261	-4.54	-0.84	
262	-4.51	-0.72	
263	-4.58	-0.78	
264	-4.63	-0.80	
265	-4.68	-0.90	
266	-4.71	-0.84	
267	-4.75	-0.82	
268	-4.70	-0.38	
269	-4.70	-0.86	
270	-4.57	-0.95	
271	-4.48	-1.06	
272	-4.38	-1.29	
273	-4.29	-0.89	
274	-4.24	-0.93	
275	-4.31	-0.67	
276	-4.41	-0.79	
277	-4.42	-0.78	
278	-4.52	-0.53	
279	-4.71	-0.66	
280	-4.56	-1.18	
281	-4.43	-0.65	
282	-4.42	-0.48	
283	-4.59	-0.48	
284	-4.74	-0.72	
285	-4.62	-0.74	
286	-4.63	-0.55	
287	-4.80	-0.33	
288	-4.60	-0.65	
289	-4.62	-0.75	
290			
291	-4.35	-1.00	
292	-4.37	-0.82	
293	-4.37	-0.84	
294	-4.33	-0.55	
295	-4.39	-0.43	
296	-4.53	-0.13	
297	-4.60	-0.53	
298	-4.63	-0.57	
299	-5.02	-0.84	
300	-4.95	-0.90	
301	-4.91	-1.07	
302	-5.06	-1.07	
303	-4.99	-1.17	
304	-4.93	-1.09	
305	-4.89	-1.18	
306	-4.89	-1.32	
307	-4.64	-1.19	
308	-4.61	-0.91	
309	-4.77	-0.74	
310	-4.62	-0.68	
311	-4.73	-0.36	
312	-4.67	-0.29	
313	-4.75	-0.50	
314	-4.75	-0.49	
315	-4.79	-0.70	
316	-4.93	-0.61	
317	-4.96	-0.56	
318	-4.94	-0.81	
319	-5.05	-1.13	
320	-4.93	-0.85	
321	-4.86	-1.51	
322	-4.82	-1.18	
323	-4.82	-1.22	
324	-4.66	-0.77	
325	-4.54	-0.51	
326	-4.60	-0.78	
327	-4.71	-1.28	
328	-4.84	-1.25	
329	-4.91	-1.15	
330	-4.82	-0.91	
331	-4.80	-0.52	
332	-4.95	-1.17	
333	-4.95	-1.50	
334	-4.96	-1.61	
335	-4.83	-1.41	
336	-4.75	-1.20	
337	-4.70	-0.78	
338	-4.67	-0.70	
339	-4.63	-0.70	
340	-4.73	-1.01	
341	-4.82	-0.74	
342	-4.99	-0.66	
343	-4.98	-1.46	
344	-5.09	-1.46	
345	-4.86	-1.17	
346	-4.65	-0.82	
347	-4.63	-0.83	
348	-4.49	-0.66	
349	-4.60	-0.57	
350	-4.63	-0.83	
351	-4.62	-0.83	
352	-4.66	-0.33	
353	-4.84	-0.87	
354	-4.68	-0.92	
355	-4.67	-1.07	
356	-4.48	-1.03	
357	-4.55	-1.06	
358	-4.63	-1.00	
359	-4.70	-1.08	
360	-4.73	-1.07	
361	-4.56	-0.67	
362	-4.68	-0.74	
363	-4.59	-0.80	
364	-4.61	-0.62	
365	-4.85	-1.35	
366	-4.74	-1.23	
367	-4.73	-0.97	
368	-4.67	-0.83	
369	-4.55	-0.58	
370	-4.66	-0.73	
371	-4.57	-0.62	
372	-4.68	-1.00	
373	-4.79	-1.00	
374	-4.66	-0.99	
375	-4.61	-0.93	
376	-4.55	-0.61	
377	-4.51	-0.51	
378	-4.46	-0.58	
379	-4.61	-0.43	
380	-4.50	-0.25	
381	-4.87	-0.47	
382	-4.73	-0.52	
383	-4.67	-0.41	
384	-4.70	-0.33	
385	-4.76	-0.01	
386	-4.52	-0.24	
387	-4.58	-0.83	
388	-4.44	-0.73	
389	-4.34	-0.84	
390	-4.29	-0.80	
391	-4.24	-0.65	
392	-4.15	-0.33	
393	-4.18	-0.49	
394	-4.33	-0.80	
395	-4.38	-0.80	
396	-4.52	-0.81	
397	-4.54	-0.20	
398	-4.69	-0.72	
399	-4.70	-1.08	
400	-4.34	-1.10	
401	-4.38	-1.03	
402	-4.17	-0.83	
403	-4.18	-0.55	
404	-4.26	-0.49	
405	-4.54	-0.60	
406	-4.53	-0.65	
407	-4.68	-0.73	
408	-4.82	-0.08	
409	-5.16	-0.63	
410	-4.95	-0.71	
411	-5.02	-0.76	
412	-4.79	-0.83	
413	-4.69	-0.66	
414	-4.67	-0.69	
415	-4.75	-1.09	
416	-4.74	-0.87	
417	-4.88	-0.61	
418	-4.85	-0.46	
419	-4.94	-0.47	
420	-4.78	-0.75	
421	-4.98	-1.18	
422	-4.88	-1.26	
423	-4.89	-1.32	
424	-4.91	-1.11	
425	-4.72	-0.75	
426	-4.61	-0.73	
427	-4.77	-0.71	
428	-4.79	-0.99	
429	-4.97	-0.74	
430	-4.93	-0.43	
431	-4.78	-0.71	
432	-4.70	-1.24	
433	-4.74	-1.34	
434	-4.78	-1.06	
435	-4.95	-1.24	
436	-4.96	-1.30	
437	-5.04	-1.44	
438	-5.05	-1.29	
439	-5.05	-1.03	
440	-5.20	-1.12	
441	-5.31	-1.38	
442	-5.17	-1.62	
443	-5.25	-2.16	
444	-5.11	-1.86	
445	-5.07	-1.83	
446	-4.82	-1.84	
447	-4.77	-1.72	
