Yr	13C	18O				
1953.00	-1.10	-4.63				
1952.75	-1.14	-4.31				
1952.50	-1.26	-4.66				
1952.25	-1.39	-4.73				
1952.00	-1.16	-4.36				
1951.75	-1.22	-4.32				
1951.50	-1.41	-4.52				
1951.25	-1.43	-4.73				
1951.00	-1.35	-4.66				
1950.75	-1.20	-4.26				
1950.50	-0.87	-4.51				
1950.25	-1.31	-4.69				
1950.00	-0.90	-4.66				
1949.75	-1.09	-4.30				
1949.50	-0.84	-4.50				
1949.25	-1.00	-4.84				
1949.00	-1.19	-4.42				
1948.75	-0.82	-4.22				
1948.50	-1.06	-4.72				
1948.25	-1.17	-4.74				
1948.00	-1.14	-4.36				
1947.75	-1.06	-4.25				
1947.50	-1.07	-4.55				
1947.25	-1.36	-4.68				
1947.00	-1.15	-4.47				
1946.75	-1.25	-4.13				
1946.50	-1.06	-4.60				
1946.25	-1.24	-4.80				
1946.00	-1.21	-4.41				
1945.75	-1.03	-4.16				
1945.50	-0.91	-4.54				
1945.25	-1.06	-4.82				
1945.00	-1.06	-4.59				
1944.75	-1.12	-4.05				
1944.50	-0.85	-4.41				
1944.25	-1.15	-4.57				
1944.00	-1.15	-4.57				
1943.75	-1.18	-3.80				
1943.50	-0.47	-4.34				
1943.25	-0.93	-4.58				
1943.00	-1.28	-4.33				
1942.75	-1.26	-4.10				
1942.50	-0.86	-4.13				
1942.25	-1.09	-4.34				
1942.00	-0.81	-3.89				
1941.75	-0.60	-3.79				
1941.50	-1.13	-4.46				
1941.25	-1.26	-4.52				
1941.00	-1.28	-4.13				
1940.75	-1.10	-4.14				
1940.50	-0.94	-4.15				
1940.25	-0.99	-4.65				
1940.00	-1.13	-4.71				
1939.75	-0.66	-4.13				
1939.50	-0.80	-4.19				
1939.25	-0.88	-4.55				
1939.00	-0.94	-4.41				
1938.75	-0.84	-4.00				
1938.50	-1.18	-4.39				
1938.25	-1.27	-4.56				
1938.00	-1.13	-4.28				
1937.75	-1.06	-4.01				
1937.50	-1.07	-4.24				
1937.25	-1.21	-4.49				
1937.00	-1.20	-4.28				
1936.75	-1.03	-4.01				
1936.50	-1.35	-4.38				
1936.25	-1.29	-4.53				
1936.00	-0.99	-4.11				
1935.75	-1.07	-3.99				
1935.50	-1.37	-4.31				
1935.25	-1.16	-4.57				
1935.00	-1.10	-4.42				
1934.75	-0.88	-3.93				
1934.50	-1.49	-4.18				
1934.25	-1.73	-4.51				
1934.00	-1.29	-4.35				
1933.75	-0.80	-4.12				
1933.50	-0.98	-4.27				
1933.25	-1.37	-4.58				
1933.00	-0.93	-4.24				
1932.75	-0.98	-3.99				
1932.50	-1.33	-4.46				
1932.25	-1.37	-4.54				
1932.00	-1.35	-4.36				
1931.75	-0.87	-3.95				
1931.50	-1.21	-4.05				
1931.25	-1.72	-4.31				
1931.00	-1.84	-4.14				
1930.75	-0.56	-3.79				
1930.50	-0.99	-4.18				
1930.25	-1.24	-4.56				
1930.00	-1.11	-4.46				
1929.75	-1.09	-4.02				
1929.50	-1.47	-4.26				
1929.25	-1.49	-4.50				
1929.00	-1.09	-4.22				
1928.75	-0.90	-3.82				
1928.50	-1.87	-3.93				
1928.25	-2.92	-4.44				
1928.00	-2.05	-4.49				
1927.75	-0.35	-3.97				
1927.50	-1.00	-4.13				
1927.25	-1.18	-4.59				
1927.00	-0.69	-4.26				
1926.75	-0.68	-3.70				
