Yr	13C	18O				
1765.75	-0.41	-4.39
1765.50	-0.55	-4.02
1765.25	-1.29	-4.51
1765.00	-1.18	-4.62
1764.75	-0.34	-4.19
1764.50	0.20	-3.55
1764.25	-1.16	-4.22
1764.00	-1.08	-4.47
1763.75	-0.52	-4.41
1763.50	0.46	-3.87
1763.25	-0.14	-4.03
1763.00	-0.50	-4.12
1762.75	-0.14	-3.93
1762.50	0.12	-3.81
1762.25	0.06	-4.11
1762.00	-0.13	-4.20
1761.75	-0.32	-4.10
1761.50	-0.43	-3.74
1761.25	-0.88	-4.06
1761.00	-0.85	-4.36
1760.75	-0.29	-4.35
1760.50	0.32	-3.86
1760.25	-0.52	-3.96
1760.00	-0.49	-4.36
1759.75	-0.17	-4.03
1759.50	-0.93	-3.77
1759.25	-1.40	-4.30
1759.00	-1.38	-4.53
1758.75	-0.75	-4.27
1758.50	-0.58	-3.95
1758.25	-1.12	-4.33
1758.00	-1.13	-4.58
1757.75	-0.64	-4.51
1757.50	-0.21	-4.04
1757.25	-1.12	-4.28
1757.00	-0.89	-4.57
1756.75	-0.69	-4.60
1756.50	-0.25	-3.78
1756.25	-1.43	-4.48
1756.00	-1.15	-4.72
1755.75	-1.12	-4.59
1755.50	-1.13	-4.45
1755.25	-1.60	-4.67
1755.00	-1.76	-4.62
1754.75	-0.72	-4.53
1754.50	-0.57	-3.96
1754.25	-1.66	-4.47
1754.00	-1.03	-4.69
1753.75	-0.93	-4.54
1753.50	0.22	-3.62
1753.25	-0.85	-4.29
1753.00	-1.01	-4.66
1752.75	-0.41	-4.30
1752.50	-0.22	-3.87
1752.25	-0.61	-4.36
1752.00	-0.66	-4.61
1751.75	-0.45	-4.54
1751.50	-0.02	-4.06
1751.25	-0.13	-4.20
1751.00	-0.29	-4.41
1750.75	-0.31	-4.39
1750.50	-0.01	-3.78
1750.25	-0.30	-4.14
1750.00	-0.34	-4.26
1749.75	-0.21	-4.12
1749.50	0.02	-3.62
1749.25	-0.28	-4.26
1749.00	-0.05	-4.03
1748.75	0.32	-4.12
1748.50	0.33	-3.78
1748.25	0.39	-3.90
1748.00	0.43	-3.97
1747.75	0.34	-3.94
1747.50	0.00	-3.72
1747.25	-0.36	-4.24
1747.00	-0.09	-4.31
1746.75	0.25	-4.11
1746.50	0.13	-3.77
1746.25	-0.14	-4.22
1746.00	-0.28	-4.45
1745.75	-0.18	-4.38
1745.50	0.29	-3.91
1745.25	-0.13	-4.33
1745.00	-0.08	-4.35
1744.75	0.11	-4.14
1744.50	0.06	-3.83
1744.25	-0.20	-4.21
1744.00	-0.29	-4.38
1743.75	-0.08	-4.25
1743.50	0.60	-3.69
1743.25	-0.76	-4.31
1743.00	-0.72	-4.54
1742.75	-0.46	-4.55
1742.50	0.19	-3.84
1742.25	-0.50	-4.34
1742.00	-0.96	-4.57
1741.75	-0.65	-4.37
1741.50	-0.03	-3.56
1741.25	-1.02	-4.59
1741.00	-0.85	-4.55
1740.75	-0.07	-3.97
1740.50	-0.65	-3.94
1740.25	-1.41	-4.35
1740.00	-1.35	-4.68
1739.75	-0.75	-4.61
1739.50	0.40	-3.63
1739.25	-1.14	-4.08
1739.00	-0.77	-4.34
1738.75	-0.39	-4.19
1738.50	-0.13	-3.56
1738.25	-0.65	-3.95
1738.00	-0.54	-4.25
1737.75	-0.52	-4.26
1737.50	0.25	-3.72
1737.25	-0.58	-3.84
1737.00	-0.32	-4.00
1736.75	0.25	-3.53
1736.50	0.30	-3.19
1736.25	-0.16	-3.33
1736.00	0.01	-3.80
1735.75	0.50	-3.63
1735.50	0.67	-3.02
1735.25	-0.53	-3.70
1735.00	-0.91	-4.22
1734.75	-0.85	-4.19
1734.50	-0.50	-3.48
1734.25	-1.08	-4.07
1734.00	-0.94	-4.13
1733.75	0.00	-3.78
1733.50	-0.06	-3.32
1733.25	-1.07	-3.84
1733.00	-1.25	-4.33
1732.75	-0.30	-4.12
1732.50	0.59	-3.58
1732.25	-0.32	-4.07
1732.00	-1.09	-4.40
1731.75	-0.76	-4.45
1731.50	0.50	-3.26
1731.25	0.05	-3.83
1731.00	0.08	-3.21
1730.75	0.29	-3.94
1730.50	-0.06	-3.81
1730.25	0.44	-3.90
1730.00	-0.28	-4.10
1729.75	-0.49	-4.39
1729.50	-1.14	-4.11
1729.25	-0.86	-4.73
1729.00	-0.38	-4.39
1728.75	-0.22	-3.91
1728.50	0.65	-3.17
1728.25	0.10	-3.50
1728.00	-0.30	-4.02
1727.75	-0.26	-3.98
1727.50	0.07	-3.47
1727.25	-0.43	-3.99
1727.00	-0.76	-4.25
1726.75	-0.48	-4.18
1726.50	0.93	-3.64
1726.25	0.09	-3.87
1726.00	-0.32	-4.19
1725.75	-0.26	-4.30
1725.50	0.38	-3.88
1725.25	-0.31	-4.25
1725.00	0.25	-4.04
1724.75	-0.10	-3.89
1724.50	-0.47	-3.58
1724.25	-0.44	-4.24
1724.00	-0.31	-4.43
1723.75	0.35	-3.96
1723.50	0.21	-3.61
1723.25	-0.27	-4.11
1723.00	-1.21	-4.50
1722.75	0.03	-4.27
1722.50	0.27	-3.87
1722.25	-0.64	-4.47
1722.00	-0.46	-4.20
1721.75	0.16	-3.74
1721.50	0.10	-3.52
1721.25	-0.47	-4.07
1721.00	-0.09	-4.32
1720.75	0.47	-4.22
1720.50	0.45	-3.73
1720.25	0.30	-3.91
1720.00	0.15	-4.09
1719.75	0.39	-3.85
1719.50	0.63	-3.61
1719.25	0.57	-3.89
1719.00	0.51	-4.17
1718.75	0.72	-3.83
1718.50	0.93	-3.49
1718.25	0.64	-3.87
1718.00	0.35	-4.26
1717.75	0.56	-4.03
1717.50	0.78	-3.79
1717.25	0.55	-3.98
1717.00	0.32	-4.18
1716.75	0.46	-3.83
1716.50	0.60	-3.48
1716.25	0.29	-3.84
1716.00	-0.02	-4.20
1715.75	0.10	-3.97
1715.50	0.22	-3.75
1715.25	0.20	-3.99
1715.00	0.19	-4.24
1714.75	0.37	-4.04
1714.50	0.56	-3.84
1714.25	-0.21	-4.17
1714.00	-0.41	-4.29
1713.75	-0.21	-4.23
1713.50	0.29	-4.01
1713.25	-0.43	-4.12
1713.00	-1.04	-5.32
1712.75	-0.76	-4.31
1712.50	-0.14	-4.04
1712.25	-0.65	-4.13
1712.00	-0.46	-4.41
1711.75	-0.54	-4.24
1711.50	-0.68	-3.59
1711.25	-0.90	-4.20
1711.00	-0.55	-4.42
1710.75	-0.50	-4.38
1710.50	-0.49	-3.88
1710.25	-0.20	-4.53
1710.00	-0.29	-4.74
1709.75	0.02	-4.36
1709.50	-0.53	-4.16
1709.25	-0.92	-4.65
1709.00	-0.52	-4.87
1708.75	-0.67	-4.77
1708.50	-0.83	-4.12
1708.25	-0.47	-4.61
1708.00	-1.15	-4.82
1707.75	-0.96	-4.45
1707.50	-0.49	-4.06
1707.25	-0.77	-4.43
1707.00	-0.66	-4.78
1706.75	-0.52	-4.51
1706.50	-0.45	-3.93
1706.25	-0.90	-4.19
1706.00	-0.71	-4.24
1705.75	-0.34	-4.05
1705.50	-0.38	-3.69
1705.25	-0.76	-4.30
1705.00	-0.80	-4.44
1704.75	-0.45	-3.97
1704.50	-0.84	-3.81
1704.25	-1.10	-4.41
1704.00	-1.01	-4.41
1703.75	-0.82	-4.33
1703.50	0.06	-3.51
1703.25	-0.89	-4.27
1703.00	-0.74	-4.50
1702.75	-0.87	-4.32
1702.50	-0.36	-3.80
1702.25	-0.72	-4.34
1702.00	-0.64	-4.28
1701.75	-0.23	-3.59
1701.50	-0.84	-3.84
1701.25	-0.27	-4.01
1701.00	0.08	-3.89
1700.75	0.73	-3.33
1700.50	-0.22	-3.66
1700.25	-0.69	-4.26
1700.00	-0.65	-4.29
1699.75	0.16	-3.50
1699.50	-0.09	-3.77
1699.25	-0.35	-4.03
1699.00	-0.37	-3.81
1698.75	-0.38	-3.59
1698.50	-0.97	-4.14
1698.25	-1.15	-4.39
1698.00	-0.63	-4.37
1697.75	0.10	-3.52
1697.50	-0.45	-3.94
1697.25	-0.45	-4.11
1697.00	-0.23	-4.01
1696.75	-0.10	-3.56
1696.50	-0.85	-4.22
1696.25	-0.87	-4.44
1696.00	-0.69	-4.28
1695.75	-0.64	-3.84
1695.50	-1.13	-4.30
1695.25	-0.76	-4.46
1695.00	-0.51	-4.22
1694.75	0.14	-3.51
1694.50	-0.70	-4.16
1694.25	-0.56	-4.32
1694.00	-0.41	-4.30
1693.75	-0.49	-3.74
1693.50	-1.30	-4.19
1693.25	-0.81	-4.58
1693.00	-0.73	-4.41
1692.75	-0.18	-3.67
1692.50	-1.02	-4.17
1692.25	-0.71	-4.53
1692.00	-0.72	-4.45
1691.75	-0.23	-3.79
1691.50	-1.04	-4.16
1691.25	-0.83	-4.39
1691.00	-1.01	-4.16
1690.75	-0.37	-3.73
1690.50	-1.07	-4.08
1690.25	-1.32	-4.36
1690.00	-0.77	-4.08
1689.75	-0.64	-3.76
1689.50	-1.59	-4.33
1689.25	-0.62	-4.39
1689.00	-0.63	-4.20
1688.75	-0.60	-3.74
1688.50	-1.25	-3.94
1688.25	-0.41	-4.41
1688.00	0.08	-3.98
1687.75	-0.32	-3.79
1687.50	-0.86	-4.26
1687.25	-0.68	-4.41
1687.00	-0.73	-4.34
1686.75	-0.40	-4.18
1686.50	-0.65	-4.24
1686.25	-0.56	-4.22
1686.00	-0.38	-4.03
1685.75	-0.31	-3.57
1685.50	-1.38	-4.70
1685.25	-0.73	-4.59
1685.00	-0.61	-4.47
1684.75	-1.23	-4.22
1684.50	-1.44	-4.47
1684.25	-1.65	-4.73
1684.00	-1.48	-4.47
1683.75	-1.31	-4.22
1683.50	-1.37	-4.58
1683.25	-1.15	-4.74
1683.00	-0.50	-4.40
1682.75	0.10	-3.47
1682.50	-0.88	-4.15
1682.25	-1.25	-4.53
1682.00	-0.51	-4.29
1681.75	0.25	-3.66
1681.50	-0.95	-4.13
1681.25	-0.62	-4.53
1681.00	-0.45	-4.41
1680.75	-0.25	-3.72
1680.50	-0.49	-4.13
1680.25	-0.41	-4.42
1680.00	-0.12	-4.17
1679.75	-0.41	-4.00
1679.50	-0.31	-4.32
1679.25	-0.47	-4.50
1679.00	-0.17	-4.22
1678.75	-0.17	-3.68
1678.50	-0.44	-4.18
1678.25	-0.64	-4.47
1678.00	-0.35	-4.15
1677.75	-0.03	-3.80
1677.50	-1.04	-4.09
1677.25	-0.79	-4.53
1677.00	-0.48	-4.30
1676.75	-0.39	-4.03
1676.50	-1.14	-4.33
1676.25	-0.93	-4.66
1676.00	-0.73	-4.52
1675.75	-0.35	-3.98
1675.50	-0.73	-4.23
1675.25	-0.55	-4.41
1675.00	-0.27	-4.15
1674.75	-0.93	-4.06
1674.50	-1.24	-4.25
1674.25	-1.11	-4.42
1674.00	-0.54	-4.45
1673.75	-0.78	-4.05
1673.50	-0.59	-4.24
1673.25	-0.55	-4.02
1673.00	-0.12	-3.94
1672.75	-0.21	-3.53
1672.50	-1.06	-4.19
1672.25	-1.22	-4.45
1672.00	-0.62	-4.35
1671.75	-0.13	-3.98
1671.50	-0.67	-4.15
1671.25	-0.61	-4.34
1671.00	-0.25	-4.09
1670.75	-0.73	-3.99
1670.50	-0.94	-4.47
1670.25	-0.74	-4.45
1670.00	-0.49	-4.21
1669.75	-0.23	-3.95
1669.50	-0.63	-4.39
1669.25	-0.11	-4.52
1669.00	-0.64	-4.38
1668.75	-0.10	-3.96
1668.50	-0.98	-4.20
1668.25	-0.86	-4.50
1668.00	-0.25	-4.24
1667.75	-0.28	-3.96
1667.50	-0.78	-4.37
1667.25	-0.46	-4.49
1667.00	-0.12	-4.17
1666.75	-0.86	-3.98
1666.50	-0.59	-4.59
1666.25	-0.69	-4.55
1666.00	-0.47	-4.30
1665.75	-0.44	-3.89
1665.50	-1.14	-4.18
1665.25	-0.86	-4.57
1665.00	-0.63	-4.44
1664.75	-0.49	-3.95
1664.50	-1.22	-4.30
1664.25	-0.93	-4.59
1664.00	-0.09	-4.27
1663.75	0.25	-3.85
1663.50	-0.59	-4.18
1663.25	-0.51	-4.69
1663.00	-0.64	-4.42
1662.75	-0.11	-3.88
1662.50	-0.92	-4.20
1662.25	-0.64	-4.49
1662.00	-0.37	-4.32
1661.75	-0.23	-3.92
1661.50	-0.47	-4.43
1661.25	-0.69	-4.64
1661.00	-0.29	-4.43
1660.75	0.52	-3.90
1660.50	-0.65	-4.23
1660.25	-0.91	-4.39
1660.00	-0.83	-4.62
1659.75	0.11	-3.92
1659.50	-0.56	-4.21
1659.25	-0.84	-4.26
1659.00	-1.26	-4.26
1658.75	-0.69	-4.07
1658.50	-1.03	-4.10
1658.25	-0.98	-3.97
1658.00	-1.10	-3.67
1657.75	-0.19	-3.34
