,year,temp_anom,pred
0,1880,-0.5806958144468592,-0.31949815
1,1881,-0.43728445709644453,-0.32287908
2,1882,-0.4486600856652742,-0.31136018
3,1883,-0.5358722827575402,-0.31212926
4,1884,-0.5778586831144861,-0.2966515
5,1885,-0.6188151913929593,-0.2943917
6,1886,-0.6981272236718512,-0.27724856
7,1887,-0.6574727546410435,-0.27618045
8,1888,-0.3961246921389115,-0.2680708
9,1889,-0.47927088489214104,-0.26133245
10,1890,-0.8483070823648872,-0.24866836
11,1891,-0.5396051962583812,-0.24735852
12,1892,-0.6521684714391247,-0.23577811
13,1893,-0.7616451943400737,-0.23400144
14,1894,-0.6867171225775398,-0.2177931
15,1895,-0.4384078450025927,-0.21567628
16,1896,-0.2763032977884456,-0.20617163
17,1897,-0.2536067335458346,-0.20091602
18,1898,-0.5778873885410098,-0.19044027
19,1899,-0.32990919062608054,-0.1873778
20,1900,-0.2401727271513466,-0.1740637
21,1901,-0.2780233736231722,-0.17009915
22,1902,-0.29498549491343173,-0.1592613
23,1903,-0.5510222742820527,-0.15498267
24,1904,-0.7361660288864615,-0.1456911
25,1905,-0.5719850498428213,-0.13862711
26,1906,-0.4822328295249354,-0.12592274
27,1907,-0.6176953497889299,-0.11889697
28,1908,-0.7173438513096351,-0.10843101
29,1909,-0.6997158995180985,-0.10576399
30,1910,-0.7579655690415745,-0.0948362
31,1911,-0.7600760079957801,-0.090617515
32,1912,-0.497370929667172,-0.07968731
33,1913,-0.4873663567092343,-0.075129844
34,1914,-0.5292259245744176,-0.06313862
35,1915,-0.44978551842040043,-0.060952224
36,1916,-0.6892125961349452,-0.049330372
37,1917,-0.8779028228733335,-0.04612945
38,1918,-0.7545801230521503,-0.037505552
39,1919,-0.4913595397030305,-0.03318255
40,1920,-0.4776551041626104,-0.02294603
41,1921,-0.567513366596254,-0.020245373
42,1922,-0.654752488513786,-0.0069406824
43,1923,-0.6195281069226589,-0.0023949044
44,1924,-0.5826077017820052,0.009807095
45,1925,-0.5365493106184613,0.016675549
46,1926,-0.27204925004494923,0.025591087
47,1927,-0.46147397020022113,0.03643841
48,1928,-0.49910114477011547,0.04726395
49,1929,-0.5941728884088147,0.05786038
50,1930,-0.4321458305943397,0.07116436
51,1931,-0.32678537240672356,0.083585285
52,1932,-0.523603572987958,0.0942686
53,1933,-0.5254717455591292,0.10656561
54,1934,-0.499603217791624,0.12188844
55,1935,-0.37724979014436905,0.13281012
56,1936,-0.5327245919556285,0.15092842
57,1937,-0.29783005289265807,0.16180183
58,1938,-0.4623846315809987,0.18560965
59,1939,-0.4467860439300876,0.19667247
60,1940,-0.10012079149944361,0.20970434
61,1941,0.05293602216072558,0.2258866
62,1942,-0.31297851498869694,0.2457724
63,1943,-0.51373758379046,0.25967985
64,1944,-0.09204915491489297,0.28116256
65,1945,-0.0855357810362256,0.29192
66,1946,-0.3701777319222921,0.31285524
67,1947,-0.38351539832725834,0.32172072
68,1948,-0.44314767536406124,0.34093815
69,1949,-0.4174825913761791,0.36026657
70,1950,-0.5063944417824812,0.3788223
71,1951,-0.3523110695507215,0.39663154
72,1952,-0.3168693211956601,0.41537964
73,1953,-0.22877305703117837,0.4338333
74,1954,-0.4545999614066129,0.45661855
75,1955,-0.6288920294704742,0.47946632
76,1956,-0.6559314947629169,0.50069875
77,1957,-0.27221271317110585,0.5230977
78,1958,-0.2510392833480599,0.54447895
79,1959,-0.22745812370550778,0.56901944
