# Savusavu Bay, Fiji Diploastrea Coral Stable Isotope and Sr/Ca Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/1881
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/savusavu_bay_2004.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2004-03-01
#--------------------
# Title
#	Study_Name: Savusavu Bay - Diploastrea Stable Isotope and Sr/Ca Data
#--------------------
# Investigators
#       Investigators: Bagnato, S.; Linsley, B.K.; Howe, S.S.; Wellington, G.M.; Salinger, J.
#--------------------
# Description_and_Notes
#	Description: Fiji Diploastrea cores 4F1 and LH were collected from opposite sides  of the channel in Savusavu Bay.   Core 4F1 was collected in 10 meters  of water and spans 1940 to 1997, while core LH was collected in  2 meters of water and we present here only the period 1940 to 2001.   The composite d18O and Sr/Ca records are an average of the two cores,  both normalized to the 1970-1996 mean.  Both cores were sampled at  0.5 mm intervals within the upper 50 mm, and at 1 mm intervals below  50 mm depth.
#--------------------
# Publication 
#       Authors: Bagnato, S.; Linsley, B.K.; Howe, S.S.; Wellington, G.M.; Salinger, J.
#       Published_Date_or_Year: 2004   
#       Published_Title: Evaluating the use of the massive coral Diploastrea heliopora for paleoclimate reconstruction.
#       Journal_Name: Paleoceanography
#       Volume: 19
#       Edition: 
#       Issue: PA1032
#       Pages: 
#       DOI: 10.1029/2003PA000935
#       Online_Resource: 
#       Full_Citation: Bagnato, S., B.K. Linsley, S.S. Howe, G.M. Wellington, and J. Salinger. 2005. Coral oxygen isotope records of interdecadal climate variations in the  South Pacific Convergence Zone region.   Geochemistry, Geophysics, Geosystems, Vol. 6, Q06001, 1 June 2005. doi:10.1029/2004GC000879
#       Abstract: To date, coral-based paleoclimate research in the Pacific has primarily  utilized core samples from the genus Porites and has been most successful  reconstructing past variability on interannual timescales, particularly  the El Ni�o Southern Oscillation (ENSO). The Indo-Pacific coral genus  Diploastrea, however, owing to its slower extension rate, denser structure,  and longer lifespan, can potentially preserve geochemical proxy records  2�3 times longer than Porites cores of the same length. Before its potential  can be realized, Diploastrea must first be calibrated and its climate signal  assessed. We present oxygen isotope (d18O) and Sr/Ca results from two  Diploastrea cores collected in Fiji (16�49S, 179�14E) that allow for  simultaneous evaluation of this coral's paleoclimatic utility and the  reproducibility of each tracer at this site. Comparison to a Porites record  from the same location allows for further evaluation of Diploastrea as a  paleoclimatic archive. We demonstrate that Diploastrea's septal and columellar  material yield similar d18O-SST relationships and that despite some sacrifice  of the seasonal d18O amplitude, bulk sampling of either region is satisfactory  for resolving interannual and lower frequency modes of climatic variability.  Therefore paleoclimate reconstructions employing either a septal or columellar  sampling regime of this genus may be useful at filling in spatial and temporal  sampling gaps which currently hinder the reconstruction of long-term changes  in major climate fields in the western Pacific.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Savusavu Bay, Fiji
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Polynesia>Fiji
#	Country: Fiji 
#	Northernmost_Latitude: -16.82 
# 	Southernmost_Latitude: -16.82 
# 	Easternmost_Longitude: 179.23  
# 	Westernmost_Longitude: 179.23  
# 	Elevation:  -10 m  
#------------------
# Data_Collection   
#	Collection_Name: 04fiji01a
#	Earliest_Year: 1940 
#	Most_Recent_Year: 1997 
#	Time_Unit: AD
#	Core_Length: .304 m
#	Notes: Core name 4F1
#------------------
# Species
#	Species_Name: Diploastrea heliopora
#	Common_Name: 
#------------------
# Chronology_Information
# 	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##depth	depth, , ,mm, , , , ,N
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Diploastrea heliopora, , permil VPDB, , corals and sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Diploastrea heliopora, , mmol/mol, , corals and sclerosponges, , ,N
##d13C	delta 13C, Diploastrea heliopora, , permil VPDB, , corals and sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
depth	age	d18O	Sr/Ca	d13C	
59	1985.92	-5.10	9.17	0.28
60	1985.62	-4.79	9.19	0.09
61	1985.46	-4.89	NAN	-0.38
62	1985.29	-4.92	9.12	-0.26
63	1985.12	-5.13	9.15	0.04
64	1984.96	-5.01	9.19	0.46
65	1984.79	-4.86	9.21	0.26
66	1984.62	-4.86	9.15	-0.08
67	1984.46	-5.12	9.13	-0.38
68	1984.29	-5.07	9.11	-0.29
69	1984.12	-5.20	9.12	-0.05
70	1983.96	-4.89	9.18	0.42
71	1983.79	-4.62	9.20	0.18
72	1983.62	-4.60	9.21	-0.20
73	1983.48	-4.74	9.13	-0.46
74	1983.35	-4.88	9.11	-0.31
75	1983.21	-4.94	9.16	0.08
76	1982.96	-4.85	9.18	0.37
77	1982.71	-4.81	9.21	0.37
78	1982.48	-4.86	9.16	0.01
79	1982.26	-5.07	9.08	-0.32
80	1982.04	-5.17	NAN	-0.17
81	1981.79	-5.08	9.09	0.26
82	1981.54	-4.76	9.18	0.69
83	1981.46	-4.81	9.20	0.25
84	1981.37	-4.88	9.18	0.07
85	1981.29	-5.13	9.14	0.14
86	1981.21	-5.14	9.17	0.55
87	1980.62	-4.80	9.17	0.36
88	1980.21	-4.86	9.17	0.09
89	1979.71	-4.81	9.17	-0.04
90	1979.61	-4.83	9.17	0.42
91	1979.51	-4.89	9.21	0.62
92	1979.41	-4.96	9.20	0.44
93	1979.31	-5.08	9.14	0.00
94	1979.21	-5.16	9.13	-0.02
95	1978.62	-4.89	9.17	0.51
96	1978.50	-5.00	9.18	0.34
97	1978.37	-4.92	9.21	0.17
98	1978.25	-4.93	9.14	-0.06
99	1978.12	-5.01	9.09	-0.07
100	1977.96	-4.94	9.13	0.25
101	1977.79	-4.88	9.22	0.43
102	1977.62	-4.70	9.17	0.17
103	1977.46	-4.88	9.19	-0.29
104	1977.29	-4.92	9.11	-0.27
105	1977.12	-5.18	9.10	-0.45
106	1976.96	-5.07	9.11	0.11
107	1976.79	-4.92	9.22	0.25
108	1976.62	-4.86	9.18	0.13
109	1976.52	-5.10	9.16	-0.21
110	1976.42	-5.30	9.11	-0.38
111	1976.31	-5.23	9.06	-0.25
112	1976.21	-5.33	9.04	0.09
113	1976.04	-5.21	9.11	0.27
114	1975.87	-5.16	9.18	-0.01
115	1975.71	-5.06	9.11	-0.15
116	1975.54	-4.99	9.12	-0.14
117	1975.33	-5.21	9.06	-0.14
118	1975.12	-5.37	9.04	0.21
119	1974.90	-5.17	9.10	0.53
120	1974.68	-5.07	9.12	0.45
121	1974.46	-4.97	9.17	0.41
122	1974.32	-5.11	9.06	-0.15
123	1974.18	-5.12	9.05	-0.14
124	1974.04	-5.11	9.07	0.21
125	1973.79	-5.04	9.14	0.51
126	1973.54	-4.86	9.18	0.77
127	1973.40	-4.94	9.14	0.47
128	1973.26	-5.02	9.10	0.00
129	1973.12	-5.11	9.09	-0.17
130	1972.93	-4.96	9.17	0.15
131	1972.73	-4.83	9.18	0.27
132	1972.54	-4.68	9.22	0.25
133	1972.40	-4.89	9.15	0.13
134	1972.26	-5.08	9.10	0.21
135	1972.12	-5.45	9.02	0.11
136	1971.93	-5.30	9.08	0.38
137	1971.73	-5.16	9.16	0.29
138	1971.54	-4.96	9.14	0.34
139	1971.33	-5.02	9.13	0.05
140	1971.12	-5.15	9.07	-0.11
141	1970.98	-5.12	9.09	0.28
142	1970.85	-4.84	9.16	0.61
143	1970.71	-4.60	NAN	0.42
144	1970.48	-4.68	9.17	0.11
145	1970.26	-4.95	9.12	-0.09
146	1970.04	-5.05	9.08	0.05
147	1969.87	-4.96	9.06	0.61
148	1969.71	-4.76	9.17	0.69
149	1969.54	-4.53	9.26	0.52
150	1969.40	-4.59	9.20	0.30
151	1969.26	-4.73	9.19	0.06
152	1969.12	-5.15	9.16	0.38
153	1968.83	-4.99	9.17	0.43
154	1968.54	-4.87	9.23	0.43
155	1968.40	-4.97	9.18	0.02
156	1968.26	-5.22	9.10	-0.15
157	1968.12	-5.38	9.08	-0.05
158	1967.93	-5.15	9.12	0.38
159	1967.73	-4.88	9.15	0.49
160	1967.54	-4.69	9.21	0.36
161	1967.40	-4.93	9.21	-0.02
162	1967.26	-4.88	9.10	-0.05
163	1967.12	-5.11	9.09	-0.18
164	1966.93	-5.02	9.11	0.30
165	1966.73	-4.77	9.17	0.36
166	1966.54	-4.59	9.27	0.37
167	1966.40	-4.83	9.15	0.00
168	1966.26	-4.96	9.15	0.03
169	1966.12	-5.09	9.13	0.59
170	1965.83	-4.85	9.18	0.92
171	1965.54	-4.60	9.24	0.44
172	1965.40	-4.94	9.15	-0.02
173	1965.26	-5.08	9.09	-0.15
174	1965.12	-5.18	9.10	0.04
175	1964.83	-5.13	9.10	-0.04
176	1964.54	-4.70	9.12	0.22
177	1964.40	-4.73	9.16	-0.03
178	1964.26	-4.96	9.12	0.11
179	1964.12	-4.95	9.10	0.37
180	1963.83	-4.88	9.17	0.57
181	1963.54	-4.81	9.20	0.37
182	1963.40	-4.82	9.18	0.12
183	1963.26	-5.20	NAN	-0.13
184	1963.12	-5.33	9.13	0.42
185	1962.83	-4.96	9.16	0.84
186	1962.54	-4.89	9.22	0.47
187	1962.33	-5.30	9.11	0.05
188	1962.12	-5.32	9.12	0.32
189	1961.83	-5.10	NAN	0.43
190	1961.54	-4.92	NAN	0.44
191	1961.40	-5.06	NAN	0.05
192	1961.26	-5.11	NAN	-0.15
193	1961.12	-5.30	NAN	-0.05
194	1960.93	-5.13	NAN	0.27
195	1960.73	-5.03	NAN	0.28
196	1960.54	-4.90	NAN	0.37
197	1960.33	-5.17	NAN	0.25
198	1960.12	-5.29	NAN	0.32
199	1959.93	-5.07	NAN	0.41
200	1959.73	-4.90	NAN	0.32
201	1959.54	-4.82	NAN	0.07
202	1959.12	-5.03	NAN	-0.22
203	1958.98	-5.03	NAN	0.06
204	1958.83	-4.78	NAN	0.55
205	1958.69	-4.64	NAN	0.52
206	1958.54	-4.56	NAN	0.25
207	1958.44	-4.73	NAN	0.02
208	1958.33	-4.86	NAN	0.09
209	1958.23	-4.76	NAN	0.40
210	1958.12	-4.86	NAN	0.28
211	1957.54	-4.78	NAN	0.17
212	1957.40	-4.81	NAN	0.08
213	1957.26	-5.08	NAN	-0.15
214	1957.12	-5.29	NAN	-0.18
215	1956.83	-5.27	NAN	0.09
216	1956.54	-5.02	NAN	0.30
217	1956.40	-5.15	NAN	0.04
218	1956.26	-5.32	NAN	-0.27
219	1956.12	-5.43	NAN	-0.20
220	1955.93	-5.27	NAN	0.24
221	1955.73	-5.28	NAN	0.33
222	1955.54	-5.08	NAN	0.13
223	1955.40	-5.10	NAN	-0.09
224	1955.26	-5.16	NAN	-0.23
225	1955.12	-5.35	NAN	-0.17
226	1954.98	-5.26	NAN	0.01
227	1954.83	-4.96	NAN	0.00
228	1954.69	-4.92	NAN	-0.03
229	1954.54	-4.87	NAN	-0.10
230	1954.12	-5.20	NAN	-0.35
231	1953.93	-5.05	NAN	-0.09
232	1953.73	-4.84	NAN	0.18
233	1953.54	-4.70	NAN	0.33
234	1953.44	-4.76	NAN	0.06
235	1953.33	-4.77	NAN	-0.23
236	1953.23	-4.93	NAN	-0.44
237	1953.12	-5.33	NAN	-0.53
238	1953.01	-5.10	NAN	0.07
239	1952.89	-4.92	NAN	0.15
240	1952.77	-4.92	NAN	0.34
241	1952.66	-4.90	NAN	0.16
242	1952.54	-4.89	NAN	0.08
243	1952.33	-4.99	NAN	-0.01
244	1952.12	-5.18	NAN	0.35
245	1951.83	-4.95	NAN	0.69
246	1951.54	-4.77	NAN	0.73
247	1951.44	-4.85	NAN	0.46
248	1951.33	-5.26	NAN	-0.05
249	1951.23	-5.37	NAN	-0.18
250	1951.12	-5.40	NAN	-0.02
251	1950.83	-5.04	NAN	0.39
252	1950.54	-4.96	NAN	0.33
253	1950.40	-5.14	NAN	0.14
254	1950.26	-5.34	NAN	-0.06
255	1950.12	-5.42	NAN	0.05
256	1949.93	-5.24	NAN	0.43
257	1949.73	-5.07	NAN	0.31
258	1949.54	-4.80	NAN	0.29
259	1949.33	-5.18	NAN	-0.04
260	1949.12	-5.41	NAN	-0.03
261	1948.83	-5.01	NAN	0.30
262	1948.54	-4.78	NAN	0.31
263	1948.44	-4.81	NAN	0.11
264	1948.33	-5.08	NAN	-0.16
265	1948.23	-5.11	NAN	0.00
266	1948.12	-5.27	NAN	0.10
267	1947.93	-5.11	NAN	0.46
268	1947.73	-4.96	NAN	0.53
269	1947.54	-4.68	NAN	0.29
270	1947.40	-4.98	NAN	-0.17
271	1947.26	-5.02	NAN	-0.25
272	1947.12	-5.32	NAN	-0.17
273	1946.93	-5.08	NAN	0.43
274	1946.73	-4.94	NAN	0.31
275	1946.54	-4.74	NAN	0.26
276	1946.40	-5.01	NAN	-0.07
277	1946.26	-5.24	NAN	-0.15
278	1946.12	-5.27	NAN	-0.02
279	1945.93	-5.11	NAN	0.34
280	1945.73	-4.97	NAN	0.41
281	1945.54	-4.87	NAN	0.22
282	1945.33	-5.04	NAN	-0.13
283	1945.12	-5.33	NAN	-0.25
284	1944.83	-5.24	NAN	0.12
285	1944.54	-4.92	NAN	0.46
286	1944.46	-5.04	NAN	0.08
287	1944.37	-5.22	NAN	-0.30
288	1944.29	-5.25	NAN	-0.31
289	1944.21	-5.35	NAN	0.07
290	1944.12	-5.39	NAN	0.40
291	1943.83	-4.98	NAN	0.48
292	1943.54	-4.89	NAN	0.39
293	1943.12	-5.14	NAN	0.09
294	1942.93	-5.08	NAN	0.32
295	1942.73	-4.78	NAN	0.42
296	1942.54	-4.76	NAN	0.29
297	1942.12	-5.03	NAN	0.01
298	1941.98	-4.90	NAN	0.21
299	1941.83	-4.86	NAN	0.47
300	1941.69	-4.82	NAN	0.46
301	1941.54	-4.69	NAN	0.13
302	1941.33	-4.88	NAN	-0.07
303	1941.12	-4.89	NAN	-0.01
304	1940.54	-4.79	NAN	0.19
