# Vanuatu Coral Stable Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/1839
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/readme_vanuatu.txt
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/vanuatu_annual.txt
# Original_Source_URL: http://www1.ncdc.noaa.gov/paleo/image/coral/van2yr13c.gif
# Original_Source_URL: http://www1.ncdc.noaa.gov/paleo/image/coral/van2yr18o.gif
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 1994-08-01
#--------------------
# Title
#	Study_Name: Espiritu Santo Island - Stable Isotope Data 
#--------------------
# Investigators
#       Investigators: Quinn, T.M.; Crowley, T.J.; Taylor, F.W.   
#--------------------
# Description_and_Notes
#	Description:  Espiritu Santo Island, Vanuatu, 15S, 167 E. 173 year record of d18O and d13C.   Variable unit: per mil relative to PDB. Data precision: better than 0.8 per mil for both 13C and 18O. Description of data: Stable isotopic analyses were done at the University of Michigan. Powdered coralline aragonite samples (~ 100 mg) were vacuum roasted for one hour  at 200�C before isotopic analysis.  Samples were reacted with anhydrous phosphoric  acid at 75�C in individual reaction vessels of a CarboKiel carbonate extraction system  coupled to the inlet of a MAT 251 mass spectrometer. Precision (� 1 s) was monitored by daily analyses of a powdered calcite standard (NBS-20), and was better than 0.08�  for both carbon and oxygen.  Values are reported in standard d notation relative to the Chicago PDB standard.  Ages were derived from annual density banding.
#--------------------
# Publication 
#       Authors: Quinn, T.M.; Crowley, T.J.; Taylor, F.W. 
#       Published_Date_or_Year: 1996     
#       Published_Title: New stable isotope results from a 173-year coral record from Espiritu Santo,  Vanuatu
#       Journal_Name: Geophysical Research Letters
#       Volume: 23
#       Edition: 
#       Issue: 
#       Pages: 3413-3416
#       DOI: 
#       Online_Resource: http://www.marine.usf.edu/PPBlaboratory/paleolab_pdfs/Quinn_etal_GRL_96GL03169.pdf
#       Full_Citation: Quinn, T.M., T.J. Crowley, and F.W. Taylor, 1996,  New stable isotope results from a 173-year coral record from Espiritu Santo,  Vanuatu, Geophysical Research Letters, v.23, n. 23, 3413-3416.
#       Abstract: Long coral records provide valuable information on pentadal-decadal scale climate variability. Proviously we have reported on a preliminary analysis of a 173-year record (1806-1978) from the island of Espriritu Santo, Republic of Vanuatu. Although this record contained information in the pentada-decadal band, low sampling resolution raised questions about the validity of the results. Herein we report new data from the Santo reord, in which the sampling resolution has been doubled and the validation database expanded. Variations in coral delta 18O at Santo record the combined effects of variations in SST and rainfal-induced salinity changes. The most prominent spectral peaks in the time series are at the annual cycle and 13-15 and 7.4 years. The robust occurrence of the 14-15 year peak provides additional support to the importance of this oscillation as a cause of decadal-scale climate variability. Overall, our new results provide greater credibility to the conclusions raised in the earlier study and indicate the the Santo record can more confidently be incorporated into the still-small network of multicentury coral records of climate change.
#--------------------
# Publication 
#       Authors: Quinn, T.M.; Crowley, T.J.; Taylor, F.W. 
#       Published_Date_or_Year: 1993    
#       Published_Title: A 173 Year Stable Isotope Record from a Tropical South Pacific Coral
#       Journal_Name: Quaternary Science Reviews
#       Volume: 12
#       Edition: 
#       Issue: 
#       Pages: 407-418
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Quinn, T.M., Taylor, F.W., and Crowley, T.J, 1993. A 173 Year Stable Isotope Record from a Tropical South Pacific Coral, Quaternary Science Reviews, vol. 12, pp 407-418.
#       Abstract:
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Espiritu Santo Island, Republic of Vanuatu
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Melanesia>Vanuatu
#	Country: Republic of Vanuatu 
#	Northernmost_Latitude: -15
# 	Southernmost_Latitude: -15
# 	Easternmost_Longitude: 167
# 	Westernmost_Longitude: 167
# 	Elevation: 
#------------------
# Data_Collection   
#	Collection_Name: 96vanu01a
#	Earliest_Year: 1806
#	Most_Recent_Year: 1979
#	Time_Unit: AD
#	Core_Length: 1.5 m
#	Notes: 
#------------------
# Species
#	Species_Name: Platygyra lamellina 
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O_2	delta 18O, Porites lutea, , permil PDB, , Corals and Sclerosponges, average 2 samples/year , ,N
##d18O_4	delta 18O, Porites lutea, , permil PDB, , Corals and Sclerosponges, average 4 samples/year , ,N 
##d13C_2	delta 13C, Porites lutea, , permil PDB, , Corals and Sclerosponges, average 2 samples/year , ,N
##d13C_4	delta 13C, Porites lutea, , permil PDB, , Corals and Sclerosponges, average 4 samples/year , ,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O_2	d18O_4	d13C_2	d13C_4
1979	-4.71	-4.72	-0.22	-0.07
1978	-5.01	-4.78	-0.81	-0.71
1977	-4.99	-5.03	-0.31	-0.52
1976	-5.16	-5.13	-0.35	-0.4
1975	-5.17	-5.16	-0.92	-0.42
1974	-4.95	-5.24	0.25	-0.62
1973	-4.9	-5.13	0.07	-0.31
1972	-4.76	-4.87	0.56	0.43
1971	-5.01	-4.79	0	0.64
1970	-5.04	-4.93	-0.04	0.38
1969	-4.96	-4.92	-0.12	0.17
1968	-4.99	-4.93	-0.04	0.26
1967	-5.05	-5.1	0.07	-0.3
1966	-4.78	-4.97	0.12	0.08
1965	-4.9	-4.88	0.57	0.33
1964	-4.94	-4.82	-0.16	0.3
1963	-5.07	-4.84	-0.23	0.33
1962	-5.23	-5.15	-0.59	-0.25
1961	-5.26	-5.24	-0.32	-0.12
1960	-4.95	-5.27	0.26	-0.68
1959	-4.68	-5.1	0.67	-0.17
1958	-4.91	-5.13	-0.51	-0.26
1957	-4.76	-5.05	-0.56	-0.68
1956	-4.64	-4.91	0.65	-0.56
1955	-4.94	-4.73	-0.2	0.45
1954	-5.03	-5.23	-0.51	-0.5
1953	-4.93	-5.14	-0.6	-0.7
1952	-5.09	-5.1	-0.89	-0.73
1951	-5.28	-5.04	-1.11	-0.96
1950	-5.17	-5.1	-0.64	-0.59
1949	-5.25	-5.21	-0.83	-0.78
1948	-5.44	-5.21	-0.78	-0.64
1947	-4.99	-5.06	-0.22	0.09
1946	-5.19	-5.08	-0.77	0.02
1945	-4.95	-4.92	1.03	0.57
1944	-5.14	-5.06	0.63	0.83
1943	-5.14	-5.1	0.42	0.06
1942	-4.83	-5.04	0.93	0.05
1941	-4.9	-4.94	-0.19	0.33
1940	-4.8	-5.09	-0.49	-0.58
1939	-5.16	-4.94	-0.52	-0.56
1938	-5.24	-5.1	-0.65	-0.31
1937	-5.15	-5.02	-1.07	-0.22
1936	-4.98	-5.08	0.2	-0.39
1935	-5.11	-5.08	-0.49	-0.15
1934	-5.17	-5.21	-0.64	-0.64
1933	-5.38	-5.13	-0.49	-0.63
1932	-5.12	-5.13	0.08	-0.17
1931	-5.08	-5.23	-0.05	-0.41
1930	-5	-5.15	-0.38	-0.94
1929	-5.12	-5.09	-0.45	-0.66
1928	-5.06	-4.89	-0.17	-0.19
1927	-5.15	-5.08	-0.1	0.15
1926	-5.09	-5.17	-0.27	-0.26
1925	-5.33	-5.08	-0.24	0.04
1924	-5.09	-5.12	0	0.11
1923	-5.05	-5.19	0.07	-0.32
1922	-5.13	-5.13	-0.19	-0.4
1921	-5.15	-5.03	-0.34	0.08
1920	-5.29	-5.17	-0.66	-0.29
1919	-5.13	-5.33	-0.47	-0.67
1918	-5.01	-5.07	-0.25	-0.46
1917	-5.21	-5.09	-0.79	-0.56
1916	-5.29	-5.22	0.26	-0.22
1915	-5	-5.04	-0.05	-0.19
1914	-5.07	-5.14	0.09	-0.1
1913	-4.88	-4.94	-0.39	-0.36
1912	-5.01	-5.01	-0.03	-0.33
1911	-5.19	-5.19	-0.27	-0.36
1910	-5.22	-5.15	-0.09	-0.12
1909	-5.38	-5.31	-0.69	-0.47
1908	-5.5	-5.34	0.01	0.12
1907	-5.17	-5.13	0.09	0.25
1906	-5.18	-5.08	0.08	0.28
1905	-4.94	-5	0.1	-0.1
1904	-5.19	-5.23	-0.25	-0.47
1903	-5.06	-5.16	-0.33	-0.42
1902	-4.89	-4.93	0.12	0.04
1901	-5.16	-5.05	-0.13	-0.27
1900	-5.02	-5.01	-0.87	-0.63
1899	-4.98	-5.07	0.4	-0.31
1898	-5.24	-5.18	0.12	-0.03
1897	-5.13	-5.18	-0.29	-0.07
1896	-5.01	-4.97	0.4	0.33
1895	-5.22	-5.08	-0.16	0.13
1894	-5.2	-5.04	-0.03	0.02
1893	-5.25	-5.25	0.04	-0.03
1892	-5.22	-5.27	-0.2	-0.01
1891	-5.3	-5.29	-0.45	-0.48
1890	-5.36	-5.2	-0.35	-0.18
1889	-5.16	-5.17	0.09	-0.12
1888	-5.4	-5.2	-0.49	-0.43
1887	-5.23	-5.22	0.12	-0.4
1886	-5.18	-5.1	0.3	-0.02
1885	-5.06	-4.95	0.06	0.04
1884	-5.11	-4.93	0.41	0.51
1883	-4.97	-5	0.91	0.6
1882	-5.29	-5.16	0.48	0.5
1881	-5.21	-5.22	-0.09	-0.2
1880	-5.17	-5.15	1.08	0.51
1879	-5.38	-5.34	-0.42	-0.19
1878	-4.85	-4.9	0.92	1.09
1877	-4.95	-4.83	0.12	0.58
1876	-5.1	-4.82	-0.25	0.52
1875	-5.33	-5.06	-0.69	0.18
1874	-5.05	-4.97	0.06	0.33
1873	-5.12	-5.14	0.34	0.29
1872	-5.2	-4.96	0.44	1.08
1871	-5.25	-5.17	0.84	0.32
1870	-5.28	-5.34	0.51	-0.39
1869	-5.16	-4.94	-0.07	-0.22
1868	-5.15	-5.14	-0.7	-0.12
1867	-5.08	-4.99	0.51	0.35
1866	-4.96	-4.88	-0.23	0.15
1865	-4.73	-4.93	0.02	-0.07
1864	-4.78	-5.01	0.32	0.1
1863	-4.54	-4.87	0.7	0.38
1862	-4.62	-4.9	0.58	0.62
1861	-4.88	-4.98	0.07	-0.01
1860	-4.76	-4.8	-0.17	0.39
1859	-4.82	-4.94	-0.03	-0.13
1858	-5.2	-4.9	-0.98	-0.03
1857	-5.16	-5.09	-0.56	-0.33
