# South China Sea 1996-2002 Weekly-Monthly Resolution Coral d13C and d18O Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/31612 
#       Description: NOAA Landing Page
# Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/coral/west_pacific/li2020/li2020nanwan-iso-age.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Data Type: Corals and Sclerosponges
#
# Dataset DOI: 
#
# Parameter_Keywords: carbon isotopes, oxygen isotopes
#--------------------
# Contribution_Date
#	Date: 2020-10-20
#--------------------
# File_Last_Modified_Date
#	Date: 2020-10-20
#--------------------
# Title
#	Study_Name: South China Sea 1996-2002 Weekly-Monthly Resolution Coral d13C and d18O Data
#--------------------
# Investigators
#	Investigators: Li, X.; Wang, X.; Liu, C.; Liu, Y.; Yu, K.; Sun, W.
#--------------------
# Description_Notes_and_Keywords
#	Description: High-resolution (weekly - monthly) coral d13C and d18O from 3 locations in the South China Sea (Nansha Islands, Nanwan and Xiaoliuqiu Island), for 1996-2002 CE. 
#	Data are presented by both by depth and by age, in separate files. 
#--------------------
# Publication 
#	Authors: Xiaohua Li, Xiaowei Wang, Chuanyu Liu, Yi Liu, Kefu Yu, Weidong Sun
#	Published_Date_or_Year: 2020-11-28
#	Published_Title: Traces of the 1997 Indonesian Wildfires in the Marine Environment From a Network of Coral d13C Records
#	Journal_Name: Geophysical Research Letters
#	Volume: 47
#	Edition: e2020GL090383
#	Issue: 22
#	Pages:
#	Report_Number: 
#	DOI: 10.1029/2020GL090383
#	Online_Resource: https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2020GL090383
#	Full_Citation: 
#	Abstract: Great efforts have been made to understand the impacts of the 1997 Indonesian wildfires on land ecology and human health, yet its influences on marine environments are poorly understood owing to sparse observations. Here we present weekly to monthly resolution coral d13C records across the South China Sea in conjunction with a regional ocean general circulation model to study the effects of these cataclysmic wildfires on nearby oceans. Large and persistent negative d13C excursions were found in corals from the interior South China Sea several months after the wildfires. This delay indicates that the 13C-depleted ash fallout was distributed by ocean currents rather than direct atmospheric transport, which is supported by the results of our numerical model. Thus, the impacts of tropical wildfires on marine ecology may last for 1 year and extend thousands of kilometers from the burning center.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: 
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: Nanwan
#	Location: Ocean>Pacific Ocean>Western Pacific Ocean>South China Sea
#	Country:  
#	Northernmost_Latitude: 21.93
# 	Southernmost_Latitude: 21.93
# 	Easternmost_Longitude: 120.78
# 	Westernmost_Longitude: 120.78
# 	Elevation: -5
#------------------
# Data_Collection   
#	Collection_Name: Li2020Nanwan-age
#	Earliest_Year: 1996
#	Most_Recent_Year: 2002
#	Time_Unit: Year Common Era
#	Core_Length: 
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## age	age, , ,  year Common Era, , Corals and Sclerosponges, , ,N,
## d13C	delta 13C, Porites sp., , per mil VPDB, , Corals and Sclerosponges,interpolated,isotope ratio mass spectrometry,N,
## d18O	delta 18O, Porites sp., , per mil VPDB, , Corals and Sclerosponges,interpolated,isotope ratio mass spectrometry,N,
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: 
#
age	d13C	d18O
2002.92	-3.52	-4.62
2002.83	-3.24	-4.86
2002.75	-3.33	-5.10
2002.67	-2.87	-5.35
2002.58	-2.45	-5.50
2002.50	-2.76	-5.71
2002.42	-2.81	-5.49
2002.33	-2.95	-5.14
2002.25	-2.64	-5.04
2002.17	-2.69	-4.62
2002.08	-2.98	-4.49
2002.00	-3.41	-4.73
2001.92	-3.29	-4.60
2001.83	-3.16	-4.65
2001.75	-3.26	-5.12
2001.67	-2.81	-5.30
2001.58	-2.55	-5.84
2001.50	-1.95	-5.56
2001.42	-2.44	-5.39
2001.33	-2.95	-5.39
2001.25	-2.74	-5.05
2001.17	-2.23	-4.76
2001.08	-2.56	-4.83
2001.00	-2.92	-4.67
2000.92	-3.17	-4.83
2000.83	-3.32	-5.04
2000.75	-2.92	-5.10
2000.67	-2.91	-5.31
2000.58	-2.03	-5.31
2000.50	-2.73	-5.62
2000.42	-2.49	-5.64
2000.33	-2.75	-4.94
2000.25	-2.44	-4.88
2000.17	-2.78	-4.53
2000.08	-3.01	-4.50
2000.00	-3.39	-4.52
1999.92	-3.32	-4.80
1999.83	-2.78	-5.34
1999.75	-2.54	-5.17
1999.67	-2.40	-5.31
1999.58	-2.43	-5.62
1999.50	-2.12	-5.67
1999.42	-2.20	-5.22
1999.33	-2.70	-4.84
1999.25	-2.48	-4.98
1999.17	-2.41	-4.89
1999.08	-2.47	-4.60
1999.00	-3.01	-4.57
1998.92	-3.35	-4.86
1998.83	-2.81	-5.02
1998.75	-2.63	-4.96
1998.67	-2.58	-5.36
1998.58	-2.54	-5.83
1998.50	-1.66	-5.25
1998.42	-2.22	-5.24
1998.33	-2.67	-5.30
1998.25	-2.34	-5.10
1998.17	-2.82	-4.79
1998.08	-2.85	-4.75
1998.00	-2.73	-4.66
1997.92	-2.68	-4.75
1997.83	-2.64	-4.80
1997.75	-2.41	-5.29
1997.67	-1.97	-5.48
1997.58	-2.30	-5.50
1997.50	-2.18	-5.56
1997.42	-2.59	-5.26
1997.33	-2.75	-5.04
1997.25	-2.49	-4.95
1997.17	-2.39	-4.67
1997.08	-2.40	-4.63
1997.00	-2.82	-4.73
1996.92	-2.76	-4.73
1996.83	-2.65	-4.89
1996.75	-2.84	-5.04
1996.67	-2.65	-5.24
1996.58	-2.35	-5.51
1996.50	-1.81	-5.74
1996.42	-1.93	-5.34
1996.33	-2.57	-5.09
1996.25	-2.74	-4.81
1996.17	-2.47	-4.60
1996.08	-2.16	-4.24
