# South China Sea 1996-2002 Weekly-Monthly Resolution Coral d13C and d18O Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/31612 
#       Description: NOAA Landing Page
# Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/coral/west_pacific/li2020/li2020xiaoliuqiu-iso-age.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Data Type: Corals and Sclerosponges
#
# Dataset DOI: 
#
# Parameter_Keywords: carbon isotopes, oxygen isotopes
#--------------------
# Contribution_Date
#	Date: 2020-10-20
#--------------------
# File_Last_Modified_Date
#	Date: 2020-10-20
#--------------------
# Title
#	Study_Name: South China Sea 1996-2002 Weekly-Monthly Resolution Coral d13C and d18O Data
#--------------------
# Investigators
#	Investigators: Li, X.; Wang, X.; Liu, C.; Liu, Y.; Yu, K.; Sun, W.
#--------------------
# Description_Notes_and_Keywords
#	Description: High-resolution (weekly - monthly) coral d13C and d18O from 3 locations in the South China Sea (Nansha Islands, Nanwan and Xiaoliuqiu Island), for 1996-2002 CE. 
#	Data are presented by both by depth and by age, in separate files. 
#--------------------
# Publication 
#	Authors: Xiaohua Li, Xiaowei Wang, Chuanyu Liu, Yi Liu, Kefu Yu, Weidong Sun
#	Published_Date_or_Year: 2020-11-28
#	Published_Title: Traces of the 1997 Indonesian Wildfires in the Marine Environment From a Network of Coral d13C Records
#	Journal_Name: Geophysical Research Letters
#	Volume: 47
#	Edition: e2020GL090383
#	Issue: 22
#	Pages:
#	Report_Number: 
#	DOI: 10.1029/2020GL090383
#	Online_Resource: https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2020GL090383
#	Full_Citation: 
#	Abstract: Great efforts have been made to understand the impacts of the 1997 Indonesian wildfires on land ecology and human health, yet its influences on marine environments are poorly understood owing to sparse observations. Here we present weekly to monthly resolution coral d13C records across the South China Sea in conjunction with a regional ocean general circulation model to study the effects of these cataclysmic wildfires on nearby oceans. Large and persistent negative d13C excursions were found in corals from the interior South China Sea several months after the wildfires. This delay indicates that the 13C-depleted ash fallout was distributed by ocean currents rather than direct atmospheric transport, which is supported by the results of our numerical model. Thus, the impacts of tropical wildfires on marine ecology may last for 1 year and extend thousands of kilometers from the burning center.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: 
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: Xiaoliuqiu Island
#	Location: Ocean>Pacific Ocean>Western Pacific Ocean>South China Sea
#	Country:  
#	Northernmost_Latitude: 22.32
# 	Southernmost_Latitude: 22.32
# 	Easternmost_Longitude: 120.37
# 	Westernmost_Longitude: 120.37
# 	Elevation: -5
#------------------
# Data_Collection   
#	Collection_Name: Li2020Xiaoliuqiu-age
#	Earliest_Year: 1996
#	Most_Recent_Year: 2002
#	Time_Unit: Year Common Era
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name: Porites sp.
#	Common_Name: 
#------------------# Chronology_Information
#	Chronology: 
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## age	age, , ,  year Common Era, , Corals and Sclerosponges, , ,N,
## d13C	delta 13C, Porites sp., , per mil VPDB, , Corals and Sclerosponges,interpolated,isotope ratio mass spectrometry,N,
## d18O	delta 18O, Porites sp., , per mil VPDB, , Corals and Sclerosponges,interpolated,isotope ratio mass spectrometry,N,
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: 
#
age	d13C	d18O
2002.92	-3.86	-4.83
2002.83	-4.06	-4.99
2002.75	-4.26	-5.15
2002.67	-4.14	-5.07
2002.58	-3.57	-5.62
2002.50	-3.28	-5.83
2002.42	-2.43	-5.64
2002.33	-2.11	-5.50
2002.25	-2.75	-5.42
2002.17	-2.79	-5.19
2002.08	-2.33	-4.79
2002.00	-2.68	-4.83
2001.92	-2.83	-4.90
2001.83	-3.59	-4.97
2001.75	-4.23	-5.35
2001.67	-3.19	-5.40
2001.58	-2.20	-5.92
2001.50	-2.60	-5.87
2001.42	-2.99	-5.81
2001.33	-3.36	-5.59
2001.25	-3.73	-5.36
2001.17	-3.50	-5.22
2001.08	-3.27	-5.08
2001.00	-3.03	-4.93
2000.92	-3.03	-4.97
2000.83	-3.77	-5.05
2000.75	-4.12	-5.30
2000.67	-4.01	-5.40
2000.58	-3.66	-5.57
2000.50	-2.00	-5.88
2000.42	-2.91	-5.87
2000.33	-3.03	-5.01
2000.25	-3.50	-5.17
2000.17	-3.87	-4.83
2000.08	-3.79	-4.64
2000.00	-3.44	-4.83
1999.92	-3.09	-5.02
1999.83	-3.27	-5.26
1999.75	-3.45	-5.49
1999.67	-3.23	-5.67
1999.58	-2.69	-5.76
1999.50	-2.63	-5.89
1999.42	-2.73	-5.47
1999.33	-2.64	-5.21
1999.25	-3.65	-5.20
1999.17	-3.12	-5.01
1999.08	-2.69	-4.85
1999.00	-2.35	-4.74
1998.92	-3.74	-5.14
1998.83	-4.46	-5.18
1998.75	-4.04	-5.24
1998.67	-3.11	-5.70
1998.58	-2.55	-5.84
1998.50	-1.29	-5.55
1998.42	-1.74	-5.53
1998.33	-2.37	-5.62
1998.25	-3.71	-5.60
1998.17	-3.32	-5.11
1998.08	-3.39	-4.91
1998.00	-3.97	-4.60
1997.92	-4.14	-4.76
1997.83	-3.78	-4.81
1997.75	-3.96	-5.34
1997.67	-2.83	-5.55
1997.58	-3.67	-5.64
1997.50	-3.15	-5.81
1997.42	-3.55	-5.45
1997.33	-3.34	-5.35
1997.25	-3.05	-5.15
1997.17	-3.14	-4.79
1997.08	-4.49	-4.68
1997.00	-4.50	-4.90
1996.92	-4.35	-4.99
1996.83	-4.23	-5.08
1996.75	-4.34	-5.30
1996.67	-3.03	-5.17
1996.58	-3.08	-5.59
1996.50	-2.02	-5.67
1996.42	-2.22	-5.55
1996.33	-3.79	-5.08
1996.25	-3.67	-5.17
1996.17	-3.55	-4.69
1996.08	-3.72	-4.60
