,lat,lon,elevation,species,d18o,d18o_anom,geometry,ocean_temp_anom,year
53,17.53,-77.97,-125,Ceratoporella nicholsoni,-0.3,0.08322033898305092,POINT (-77.97 17.53),0.01,1881
54,27.85,34.32,-6,Porites sp.,-3.47,-0.0646311475409842,POINT (34.32 27.85),0.01,1881
55,29.42,34.97,-4.5,Porites sp.,-2.69,0.03351219512195147,POINT (34.97 29.42),0.01,1881
56,27.85,34.32,-6,Porites sp.,-3.466666666666667,-0.06180612244897965,POINT (34.32 27.85),0.01,1881
57,-14.27,-169.55,,Porites sp.,-5.01244042425,-0.2541256506151024,POINT (-169.55 -14.27),0.01,1881
58,-15.0,167.0,,Platygyra lamellina,-5.21,-0.25936781609195325,POINT (167 -15),0.01,1881
59,-16.82,179.23,-10,Porites sp.,-4.57,-0.026545454545455094,POINT (179.23 -16.82),0.01,1881
60,-8.25,115.5,-3,Porites sp.,-5.024591666666667,-0.024335087719298265,POINT (115.5 -8.25),0.01,1881
61,15.94,166.04,8,Porites lutea,-4.870833333333334,-0.06167821285140551,POINT (166.04 15.94),0.01,1881
62,27.106,142.194,-5.6,Porites sp.,-4.04,0.2831967213114748,POINT (142.194 27.106),0.01,1881
63,-16.82,179.23,-10,Porites sp.,-4.97,-0.035370370370369386,POINT (179.23 -16.82),0.01,1881
64,7.2859,134.2503,,Porites lutea,-5.477332593666667,0.09259989282561687,POINT (134.2503 7.2859),0.01,1881
65,1.5,124.83,-3,Porites sp.,-5.072033333333334,0.06553304707379137,POINT (124.83 1.5),0.01,1881
66,13.598,144.836,-7.8,Porites lobata,-5.0424999999999995,-0.03139152185360672,POINT (144.836 13.598),0.01,1881
67,27.106,142.194,-5.6,Porites sp.,-4.038333333333333,0.2829485094850952,POINT (142.194 27.106),0.01,1881
68,-22.1,153.0,-10,Porites australiensus,-4.97,0.0907784431137717,POINT (153 -22.1),0.01,1881
69,-22.1,153.0,-10,Porites australiensis,-4.254,-0.03222205588822291,POINT (153 -22.1),0.01,1881
70,1.0,173.0,-6,,-4.126090035,0.3262461834274202,POINT (173 1),0.01,1881
71,-0.4084,-91.234,-3,Pavona clavus,-4.02,0.007569060773481517,POINT (-91.23399999999999 -0.4084),0.01,1881
72,3.906228,-159.285932,,,-4.718333333333333,0.17686011904761934,POINT (-159.285932 3.906228),0.01,1881
73,-21.2378,-159.8278,,Porites lutea,-4.4183,-0.12878800000000012,POINT (-159.8278 -21.2378),0.01,1881
74,-21.2378,-159.8278,,Porites lutea,-4.4175,-0.1250623359580052,POINT (-159.8278 -21.2378),0.01,1881
75,10.3,-109.216667,-2,Porites lobata,-5.243765124083333,0.11186050130018277,POINT (-109.216667 10.3),0.01,1881
76,-17.5,-149.83,,Porites lutea,4.17,-0.010341869361653266,POINT (-149.83 -17.5),0.01,1881
77,-17.5,-149.83,,Porites lutea,-4.18,-0.0005035971223019686,POINT (-149.83 -17.5),0.01,1881
78,7.983,-82.05,-3,Porites lobata,-5.970909090909092,-0.16560850435535635,POINT (-82.05 7.983),0.01,1881
79,-21.2378,-159.8278,,Porites lutea,-4.3375,-0.08137915129151274,POINT (-159.8278 -21.2378),0.01,1881
80,16.84,112.33,,,-5.488991666666667,-0.06778254219409341,POINT (112.33 16.84),0.01,1881
81,32.0,-64.0,-16,Diploria labyrinthiformis,-3.498,0.15032718894009234,POINT (-64 32),0.0,1882
82,24.917,-80.757778,-5,Solenastrea bournoni,-1.64,0.9517283950617286,POINT (-80.757778 24.917),0.0,1882
83,32.0,-64.0,-16,Diploria labyrinthiformis,-2.957,0.46107798165137615,POINT (-64 32),0.0,1882
84,25.38,-80.17,-10,Montastraea faveolata,-3.43,0.13152542372881326,POINT (-80.17 25.38),0.0,1882
85,-23.15,43.58,-1.1,Porites lobata,-4.5633333333333335,-0.1377497527200795,POINT (43.58 -23.15),0.0,1882
86,-23.15725,43.588183,-1.8,Porites sp.,-4.477,0.018190265486725643,POINT (43.588183 -23.15725),0.0,1882
87,-28.4617,113.7683,-5,Porites lutea,-3.9071757633333335,-0.03176902124333303,POINT (113.7683 -28.4617),0.0,1882
88,-23.142967,43.583067,-1.1,Porites sp.,-4.55833325,-0.1265516771104478,POINT (43.583067 -23.142967),0.0,1882
89,-28.4617,113.7683,-5,Porites lutea,-3.910154324533333,-0.034924545493753456,POINT (113.7683 -28.4617),0.0,1882
90,-12.65,45.1,,Porites solida,-4.926833333333334,-0.042074289405684695,POINT (45.1 -12.65),0.0,1882
91,-4.616167,55.0,-7,Porites lutea,-4.54725,0.17040777777777727,POINT (55 -4.616167),0.0,1882
92,-3.0,40.0,-6,Porites lutea,-4.408,-0.017030927835052445,POINT (40 -3),0.0,1882
93,-21.03,55.25,-12.3,Porites sp.,-4.071666666666666,0.20344918699186998,POINT (55.25 -21.03),0.0,1882
94,-21.905,113.965,-3,Porites lutea,-4.285,0.23132183908045967,POINT (113.965 -21.905),0.0,1882
95,17.93457,67.00123,-5,Montastraea faviolata,-4.33,-0.1164031620553363,POINT (67.00123000000001 17.93457),0.0,1882
96,27.85,34.32,-6,Porites sp.,-3.38,0.0253688524590161,POINT (34.32 27.85),0.0,1882
