﻿# Mayotte Coral Bimonthly Stable Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/8605
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/mayotte2009.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2009-04-01
#--------------------
# Title
#	Study_Name: Mayotte - Bimonthly Stable Isotope Data
#--------------------
# Investigators
#       Investigators: Zinke, J.; Pfeiffer, M.; Timm, O.; Dullo, W.C.; Brummer, G.J.A.  
#--------------------
# Description_and_Notes
#	Description: Stable isotope (d13C and d18O) measurements at bimonthly resolution from a Porites solida coral at Mayotte (Comoro Archipelago), 12�39'S, 45�06'E.
#--------------------
# Publication 
#       Authors: Zinke, J.; Pfeiffer, M.; Timm, O.; Dullo, W.C.; Brummer, G.J.A.
#       Published_Date_or_Year: 2009     
#       Published_Title: Western Indian Ocean marine and terrestrial records of climate variability: a review and new concepts on land-ocean interactions since AD 1660
#       Journal_Name: International Journal of Earth Sciences
#       Volume: 98
#       Edition: 
#       Issue: 
#       Pages: 115–133
#       DOI: 10.1007/s00531-008-0365-5
#       Online_Resource: 
#       Full_Citation: Zinke, J., M. Pfeiffer, O. Timm, W.-Ch. Dullo, and G.J.A. Brummer. 2009. Western Indian Ocean marine and terrestrial records of climate variability: a review and new concepts on land-ocean interactions since AD 1660. International Journal of Earth Sciences, Vol. 98, pp. 115–133. DOI: 10.1007/s00531-008-0365-5
#       Abstract: We examine the relationship between three tropical and two subtropical  western Indian Ocean coral oxygen isotope time series to surface air  temperatures (SAT) and rainfall over India, tropical East Africa and southeast Africa. We review established relationships, provide new  concepts with regard to distinct rainfall seasons, and mean annual  temperatures. Tropical corals are coherent with SAT over western  India and East Africa at interannual and multidecadal periodicities.  The subtropical corals correlate with Southeast African SAT at  periodicities of 16-30 years. The relationship between the coral  records and land rainfall is more complex. Running correlations suggest varying strength of interannual teleconnections between  the tropical coral oxygen isotope records and rainfall over equatorial  East Africa. The relationship with rainfall over India changed in the  1970s. The subtropical oxygen isotope records are coherent with South  African rainfall at interdecadal periodicities. Paleoclimatological reconstructions of land rainfall and SAT reveal that the inferred  relationships generally hold during the last 350 years. Thus, the  Indian Ocean corals prove invaluable for investigating land-ocean  interactions during past centuries.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: German Science Foundation
#       Grant: Leibniz Award, SFB 460
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Netherlands Organisation for Scientific Research (NWOALW) grant
#       Grant: 854.00.034
#------------------
# Funding_Agency 
#       Funding_Agency_Name: European Community's Human Potential Programme
#       Grant: HPRN-CT-2002-00221
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Japan Agency for Marine-Earth Science and Technology through its sponsorship of the International Pacific Research Center
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Mayotte, Comoro Archipelago
#       Location: Ocean>Indian Ocean>Comoros
#	Country: France
#	Northernmost_Latitude: -12.65
# 	Southernmost_Latitude: -12.65
# 	Easternmost_Longitude: 45.10
# 	Westernmost_Longitude: 45.10
# 	Elevation: 
#------------------
# Data_Collection   
#	Collection_Name: 09como01a
#	Earliest_Year: 1865
#	Most_Recent_Year: 1993
#	Time_Unit: AD
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name: Porites solida
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Porites solida, , permil VPDB, , Corals and Sclerosponges, , ,N
##d13C	delta 13C, Porites solida, , permil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	d13C
1895.79	-4.730	-1.670
1895.96	-4.810	-1.250
1896.12	-4.840	-0.770
1896.29	-4.810	-0.700
1896.46	-4.850	-0.930
1896.62	-4.700	-1.490
1896.79	-4.798	-1.833
1896.96	-4.917	-1.643
1897.12	-5.010	-1.415
1897.29	-5.123	-1.777
1897.46	-4.870	-1.803
1897.62	-4.680	-1.920
1897.79	-4.790	-1.780
1897.96	-4.960	-1.590
1898.12	-5.000	-1.590
1898.29	-5.010	-1.170
1898.46	-5.060	-1.570
1898.62	-4.480	-1.290
1898.79	-4.573	-1.303
1898.96	-4.710	-1.373
1899.12	-4.890	-1.500
1899.29	-4.910	-1.947
1899.46	-4.837	-2.097
1899.62	-4.670	-1.950
1899.79	-4.745	-2.185
1899.96	-4.820	-1.660
1900.12	-4.965	-1.800
1900.29	-4.930	-1.830
1900.46	-4.750	-2.085
1900.62	-4.350	-1.810
1900.79	-4.680	-2.017
1900.96	-4.907	-1.623
1901.12	-4.990	-1.350
1901.29	-4.973	-1.340
1901.46	-4.867	-1.613
1901.62	-4.600	-1.680
1901.79	-4.692	-1.273
1901.96	-4.853	-1.583
1902.12	-4.970	-1.380
1902.29	-4.900	-1.370
1902.46	-4.793	-1.685
1902.62	-4.510	-1.880
1902.79	-4.647	-2.250
1902.96	-4.933	-1.757
1903.12	-4.960	-1.900
1903.29	-5.117	-1.977
1903.46	-4.977	-1.977
1903.62	-4.720	-1.620
1903.79	-4.877	-1.820
1903.96	-5.003	-1.733
1904.12	-5.130	-1.560
1904.29	-5.103	-1.820
1904.46	-4.823	-1.933
1904.62	-4.690	-1.840
1904.79	-4.805	-2.155
1904.96	-5.010	-1.390
1905.12	-5.120	-1.835
1905.29	-4.960	-1.790
1905.46	-4.585	-2.100
1905.62	-4.560	-1.820
1905.79	-4.765	-1.722
1905.96	-4.767	-1.733
1906.12	-4.925	-1.805
1906.29	-4.870	-1.877
1906.46	-4.723	-1.888
1906.62	-4.580	-1.860
1906.79	-4.870	-1.763
1906.96	-4.983	-1.557
1907.12	-5.000	-1.380
1907.29	-4.817	-1.590
1907.46	-4.650	-1.863
1907.62	-4.540	-1.200
1907.79	-4.900	-1.720
1907.96	-4.890	-1.680
1908.12	-5.140	-1.730
1908.29	-5.060	-1.520
1908.46	-5.010	-1.810
1908.62	-4.560	-1.860
1908.79	-4.657	-1.963
1908.96	-4.797	-1.707
1909.12	-4.830	-1.715
1909.29	-4.963	-1.570
1909.46	-4.937	-1.770
1909.62	-4.610	-1.690
1909.79	-4.700	-1.900
1909.96	-4.660	-1.380
1910.12	-4.935	-1.615
1910.29	-4.860	-1.680
1910.46	-4.645	-2.020
1910.62	-4.460	-1.260
1910.79	-4.800	-1.530
1910.96	-4.830	-1.540
1911.12	-5.030	-1.520
1911.29	-5.020	-1.610
1911.46	-4.690	-1.480
1911.62	-4.440	-1.490
1911.79	-4.548	-1.257
1911.96	-4.837	-1.583
1912.12	-5.095	-1.655
1912.29	-5.133	-1.527
1912.46	-4.877	-1.547
1912.62	-4.460	-1.780
1912.79	-4.565	-1.890
1912.96	-4.840	-1.630
1913.12	-4.885	-1.685
1913.29	-5.160	-1.700
1913.46	-4.915	-1.875
1913.62	-4.720	-1.400
1913.79	-4.840	-1.570
1913.96	-4.930	-1.180
1914.12	-5.160	-1.290
1914.29	-5.190	-1.870
1914.46	-4.930	-1.750
1914.62	-4.690	-1.850
1914.79	-4.735	-1.623
1914.96	-4.960	-1.587
1915.12	-5.010	-1.365
1915.29	-5.073	-1.577
1915.46	-4.863	-1.498
1915.62	-4.780	-1.820
1915.79	-4.823	-1.820
1915.96	-4.883	-1.367
1916.12	-5.030	-1.420
1916.29	-4.980	-1.457
1916.46	-4.893	-1.523
1916.62	-4.570	-1.910
1916.79	-4.620	-1.970
1916.96	-4.660	-1.170
1917.12	-4.920	-1.220
1917.29	-4.870	-1.650
1917.46	-4.700	-1.770
1917.62	-4.580	-1.920
1917.79	-4.628	-1.390
1917.96	-4.880	-1.750
1918.12	-4.910	-1.505
1918.29	-5.047	-1.587
1918.46	-4.818	-1.652
1918.62	-4.600	-1.340
1918.79	-4.733	-1.240
1918.96	-4.787	-1.300
1919.12	-4.850	-1.315
1919.29	-4.920	-1.390
1919.46	-4.867	-1.558
1919.62	-4.400	-1.400
1919.79	-4.783	-1.500
1919.96	-4.907	-1.267
1920.12	-4.820	-1.820
1920.29	-4.747	-1.890
1920.46	-4.655	-2.045
1920.62	-4.570	-1.550
1920.79	-4.780	-1.510
1920.96	-4.870	-1.800
1921.12	-4.970	-1.640
1921.29	-4.940	-1.760
1921.46	-4.900	-1.980
1921.62	-4.800	-1.410
1921.79	-4.880	-1.565
1921.96	-4.980	-1.340
1922.12	-4.700	-1.770
1922.29	-4.580	-1.460
1922.46	-4.800	-1.430
1922.62	-4.530	-1.240
1922.79	-4.735	-1.685
1922.96	-4.760	-1.470
1923.12	-4.920	-1.405
1923.29	-4.860	-1.760
1923.46	-4.600	-1.975
1923.62	-4.500	-2.080
1923.79	-4.620	-1.480
1923.96	-4.610	-0.640
1924.12	-4.900	-1.490
1924.29	-4.870	-1.370
1924.46	-4.805	-1.685
1924.62	-4.580	-1.890
1924.79	-4.730	-1.943
1924.96	-4.957	-1.763
