# South Pagai Islands and Sunda Strait 53 Year Coral Oxygen Isotope Data 
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/18895
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/taitaitanopo2015.txt
#
# Archive: Corals and Sclerosponges
#
# Parameter_Keywords: 
#---------------------------------------
# Contribution_Date
#    Date: 2015-06-19
#---------------------------------------
# Title
#    Study_Name: South Pagai Islands and Sunda Strait 53 Year Coral Oxygen Isotope Data 
#---------------------------------------
# Investigators
#      Investigators: Abram, N.; Dixon, B.; Rosevear, M.; Plunkett, B.; Gagan, M.; Hantoro, W.; Phipps, S.
#---------------------------------------
# Description and Notes
#        Description: Coral d18O data at monthly resolution South Pagai Islands and Sunda Strait, Indonesia. 
#         Provided Keywords: 
#---------------------------------------
# Publication
# Authors: Nerilie J. Abram, Bronwyn C. Dixon, Madelaine G. Rosevear, Benjamin Plunkett, Michael K. Gagan, Wahyoe S. Hantoro and Steven J. Phipps
# Published_Date_or_Year: 2015-10-02
# Published_Title: Optimised coral reconstructions of the Indian Ocean Dipole: An assessment of location and length considerations 
# Journal_Name: Paleoceanography
# Volume: 
# Issue: 
# Pages: 
# Report Number: 
# DOI: 10.1002/2015PA002810
# Online_Resource: http://onlinelibrary.wiley.com/doi/10.1002/2015PA002810/abstract
# Full_Citation: 
# Abstract: The Indian Ocean Dipole (IOD; or Indian Ocean Zonal Mode) is a coupled ocean-atmosphere climate oscillation that has profound impacts on rainfall distribution across the Indian Ocean region. Instrumental records provide a reliable representation of IOD behaviour since 1958, while coral reconstructions currently extend the IOD history back to 1846. Large fluctuations in the number and intensity of positive IOD events over time are evident in these records, but it is unclear to what extent this represents multidecadal modulation of the IOD or an anthropogenically-forced change in IOD behaviour. In this study we explore the suitability of coral records from single-site locations in the equatorial Indian Ocean for capturing information about the occurrence and magnitude of positive IOD (pIOD) events. We find that the optimum location for coral reconstructions of the IOD occurs in the southeastern equatorial Indian Ocean, along the coast of Java and Sumatra between ~3-7S. Here the strong ocean cooling and atmospheric drying during pIOD events are unambiguously recorded in coral oxygen isotope records, which capture up to 50% of IOD variance. Unforced experiments with coupled climate models suggest that potential biases in coral estimates of pIOD frequency are skewed towards overestimating pIOD recurrence intervals, and become larger with shorter reconstruction windows and longer pIOD recurrence times. Model output also supports the assumption of stationarity in sea surface temperature relationships in the optimum IOD location that is necessary for paleoclimate reconstructions. This study provides a targeted framework for the future generation of paleoclimate records, including optimised coral reconstructions of past IOD variability. 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Australian Research Council
#    Grant: DP110101161
#---------------------------------------
# Site Information
# Site_Name: Taitaitanopo Island
# Location: Ocean>Indian Ocean>Indonesia
# Country: Indonesia
# Northernmost_Latitude: -3.18333
# Southernmost_Latitude: -3.18333
# Easternmost_Longitude: 100.51666
# Westernmost_Longitude: 100.51666
# Elevation: -0.7m
#---------------------------------------
# Data_Collection
#   Collection_Name: Taitaitanopo2015TT01-A-1b
#   First_Year: 1959
#   Last_Year: 2001
#   Time_Unit: AD
#   Core_Length: 
#   Notes: Coral x-radiographs archived as supplementary online material that accompanies the manuscript published in Paleoceanography
#---------------------------------------
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_AD	age,,,years AD,,,,,N
## d18Oporites	delta 18O,Porites sp.,,per mil PDB,,,raw data interpolated to monthly values,analytical technique: isotope ratio mass spectrometry Thermo MAT-253,N
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: 
age_AD	d18Oporites
1975.125	-5.593
1975.208333	-5.659
1975.291667	-5.583
1975.375	-5.524
1975.458333	-5.576
1975.541667	-5.531
1975.625	-5.524
1975.708333	-5.549
1975.791667	-5.515
1975.875	-5.503
1975.958333	-5.482
1976.041667	-5.416
1976.125	-5.467
1976.208333	-5.513
1976.291667	-5.539
1976.375	-5.618
1976.458333	-5.421
1976.541667	-5.396
1976.625	-5.444
1976.708333	-5.48
1976.791667	-5.545
1976.875	-5.419
1976.958333	-5.534
1977.041667	-5.623
1977.125	-5.698
1977.208333	-5.616
1977.291667	-5.571
1977.375	-5.626
1977.458333	-5.709
1977.541667	-5.693
1977.625	-5.568
1977.708333	-5.559
1977.791667	-5.456
1977.875	-5.416
1977.958333	-5.708
1978.041667	-5.803
1978.125	-5.656
1978.208333	-5.844
1978.291667	-5.805
1978.375	-5.85
1978.458333	-5.782
1978.541667	-5.762
1978.625	-5.673
1978.708333	-5.608
1978.791667	-5.547
1978.875	-5.435
1978.958333	-5.646
1979.041667	-5.658
1979.125	-5.692
1979.208333	-5.716
1979.291667	-5.641
1979.375	-5.676
1979.458333	-5.593
1979.541667	-5.52
1979.625	-5.557
1979.708333	-5.626
1979.791667	-5.521
1979.875	-5.444
1979.958333	-5.579
1980.041667	-5.699
1980.125	-5.819
1980.208333	-5.837
1980.291667	-5.638
1980.375	-5.545
1980.458333	-5.621
1980.541667	-5.766
1980.625	-5.651
1980.708333	-5.571
1980.791667	-5.453
1980.875	-5.303
1980.958333	-5.395
1981.041667	-5.627
1981.125	-5.573
1981.208333	-5.681
1981.291667	-5.658
1981.375	-5.58
1981.458333	-5.536
1981.541667	-5.556
1981.625	-5.65
1981.708333	-5.695
1981.791667	-5.653
1981.875	-5.586
1981.958333	-5.536
1982.041667	-5.52
1982.125	-5.556
1982.208333	-5.488
1982.291667	-5.452
1982.375	-5.58
1982.458333	-5.594
1982.541667	-5.577
1982.625	-5.437
1982.708333	-5.427
1982.791667	-5.339
1982.875	-5.146
1982.958333	-5.352
1983.041667	-5.413
1983.125	-5.758
1983.208333	-5.769
1983.291667	-5.645
1983.375	-5.876
1983.458333	-5.837
1983.541667	-5.917
1983.625	-5.905
1983.708333	-5.784
1983.791667	-5.7
1983.875	-5.532
1983.958333	-5.536
1984.041667	-5.595
1984.125	-5.582
1984.208333	-5.535
1984.291667	-5.555
1984.375	-5.697
1984.458333	-5.599
1984.541667	-5.567
1984.625	-5.53
1984.708333	-5.458
1984.791667	-5.382
1984.875	-5.42
1984.958333	-5.449
1985.041667	-5.475
1985.125	-5.655
1985.208333	-5.542
1985.291667	-5.542
1985.375	-5.688
1985.458333	-5.481
1985.541667	-5.753
1985.625	-5.491
1985.708333	-5.617
1985.791667	-5.51
1985.875	-5.59
1985.958333	-5.547
1986.041667	-5.524
1986.125	-5.484
1986.208333	-5.671
1986.291667	-5.788
1986.375	-5.672
1986.458333	-5.706
1986.541667	-5.74
1986.625	-5.532
1986.708333	-5.521
1986.791667	-5.31
1986.875	-5.468
1986.958333	-5.499
1987.041667	-5.653
1987.125	-5.68
1987.208333	-5.62
1987.291667	-5.627
1987.375	-5.752
1987.458333	-5.829
1987.541667	-5.825
1987.625	-5.741
1987.708333	-5.666
1987.791667	-5.569
1987.875	-5.341
1987.958333	-5.358
1988.041667	-5.572
1988.125	-5.825
1988.208333	-5.624
1988.291667	-5.687
1988.375	-5.716
1988.458333	-5.743
1988.541667	-5.771
1988.625	-5.776
1988.708333	-5.66
1988.791667	-5.682
1988.875	-5.59
1988.958333	-5.611
1989.041667	-5.514
1989.125	-5.614
1989.208333	-5.667
1989.291667	-5.691
1989.375	-5.673
1989.458333	-5.655
1989.541667	-5.637
1989.625	-5.584
1989.708333	-5.648
1989.791667	-5.66
1989.875	-5.474
1989.958333	-5.567
1990.041667	-5.623
1990.125	-5.859
1990.208333	-5.656
1990.291667	-5.652
1990.375	-5.854
1990.458333	-5.791
1990.541667	-5.684
1990.625	-5.774
1990.708333	-5.582
1990.791667	-6.012
1990.875	-5.706
1990.958333	-5.745
1991.041667	-5.863
1991.125	-5.926
1991.208333	-5.802
1991.291667	-5.952
1991.375	-5.939
1991.458333	-5.96
1991.541667	-5.693
1991.625	-5.722
1991.708333	-5.606
1991.791667	-5.343
1991.875	-5.383
1991.958333	-5.576
1992.041667	-5.636
1992.125	-5.859
1992.208333	-5.986
1992.291667	-5.794
1992.375	-5.845
1992.458333	-5.978
1992.541667	-5.98
1992.625	-5.877
1992.708333	-5.898
1992.791667	-5.87
1992.875	-5.807
1992.958333	-5.709
1993.041667	-5.668
1993.125	-5.789
1993.208333	-5.638
1993.291667	-5.72
1993.375	-5.515
1993.458333	-5.779
1993.541667	-5.721
1993.625	-5.614
1993.708333	-5.773
1993.791667	-5.654
1993.875	-5.52
1993.958333	-5.68
1994.041667	-5.811
1994.125	-5.75
1994.208333	-5.674
1994.291667	-5.78
1994.375	-5.733
1994.458333	-5.692
1994.541667	-5.678
1994.625	-5.408
1994.708333	-5.218
1994.791667	-5.051
1994.875	-4.601
1994.958333	-5.09
1995.041667	-5.753
1995.125	-5.698
1995.208333	-5.784
1995.291667	-5.895
1995.375	-5.975
1995.458333	-5.719
1995.541667	-5.71
1995.625	-5.947
1995.708333	-5.805
1995.791667	-5.731
1995.875	-5.592
1995.958333	-5.715
1996.041667	-5.701
1996.125	-5.936
1996.208333	-5.863
1996.291667	-5.791
1996.375	-5.796
1996.458333	-5.775
1996.541667	-5.726
1996.625	-5.719
1996.708333	-5.75
1996.791667	-5.546
1996.875	-5.408
1996.958333	-5.543
1997.041667	-5.533
1997.125	-5.571
