﻿# Mafia Archipelago, Tanzania 17th and 20th Century Diploastrea Coral d18O 
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/10808
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/mafia2006.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2011-04
#--------------------
# Title
#	Study_Name: Mafia Archipelago, Tanzania 17th and 20th Century Diploastrea Coral d18O 
#--------------------
# Investigators
#       Investigators: Damassa, T.D.; Cole, J.E.; Barnett, H.R.; Ault, T.R.; McClanahan, T.R.  
#--------------------
# Description_and_Notes
#	Description: This dataset includes d18O values and anomalies from a coral  that grew in the tropical western Indian Ocean, in Tanzania's  Mafia archipelago. Data span the 20th century at monthly  resolution and the interval of 1622-1721 at bimonthly resolution.  Anomalies were calculated by subtracting the mean value for the  1 or 2 month period as appropriate for dataset resolution.  These data originate from a single colony of Diploastrea heliopora  cored in July 2000 at Fungu Mrima Reef in the Mafia Archipelago  of Tanzania. We slabbed and X-rayed the core and characterized  the growth geometry using SEM. We sampled the columella portion  of the skeleton at 0.25 mm (for the 20th-century) and 0.5 mm  (for the 17th century) depth intervals using a diamond-encrusted  drill bit. We assigned ages to the samples based on density  banding and isotopic seasonality, assuming d18O maxima fell  in August (the coldest month). We estimate the age uncertainty  for the 20th century interval as ~±1yr and for the older interval  at ~±5yr.  Fungu Mrima Reef, Mafia Archipelago, Tanzania 
#--------------------
# Publication 
#       Authors: Damassa, T.D.; Cole, J.E.; Barnett, H.R.; Ault, T.R.; McClanahan, T.R.
#       Published_Date_or_Year: 2006     
#       Published_Title: Enhanced multidecadal climate variability in the 17th century from coral isotope records in the western Indian Ocean
#       Journal_Name: Paleoceanography
#       Volume: 21
#       Edition: 
#       Issue: PA2016
#       Pages: 
#       DOI: 10.1029/2005PA001217 
#       Online_Resource: 
#       Full_Citation: Damassa, T.D., J.E. Cole, H.R. Barnett, T.R. Ault, and T.R. McClanahan. 2006. Enhanced multidecadal climate variability in the 17th century from coral isotope records in the western Indian Ocean. Paleoceanography, 21, PA2016, doi: 10.1029/2005PA001217 
#       Abstract: The slowly growing coral Diploastrea heliopora affords a novel opportunity to obtain multicentury records of paleoclimate, including details of the interannual rhythms associated with the El Nino-Southern Oscillation (ENSO) system. We examine climate variability in an ENSO-teleconnected region using new oxygen isotope records from D. heliopora, spanning most of the twentieth (1896-1998) and seventeenth (1622-1722) centuries, from the Mafia archipelago, Tanzania. The modern record demonstrates coherency with relevant instrumental and proxy time series, documents twentieth century warming, and displays significant power at ENSO periodicities. The seventeenth century record lacks any trend, exhibits interannual variance comparable to the modern record, and displays a pronounced interdecadal signal not evident in the twentieth century that correlates with other tropical and hemispheric climate records. We find no clear evidence of solar irradiance influence on interannual variability in the western Indian Ocean during these intervals, although the mean sea surface temperature appears to vary inversely with insolation. 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation ATM CAREER grant
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Oceanic and Atmospheric Administration (NOAA) Climate Change Data and Diagnostics program
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Mafia Archipelago, Tanzania
#       Location: Africa>Eastern Africa>Tanzania
#	Country: Tanzania  
#	Northernmost_Latitude: -8.0167 
# 	Southernmost_Latitude: -8.0167 
# 	Easternmost_Longitude: 39.50
# 	Westernmost_Longitude: 39.50 
# 	Elevation: -6 m  
#------------------
# Data_Collection
#	Collection_Name: 06tanz01a
#	Earliest_Year: 1622
#	Most_Recent_Year: 1722
#	Time_Unit: AD
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name: Diploastrea heliopora 
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Diploastrea heliopora, , permil VPDB, , Corals and Sclerosponges, , ,N
##d18O_anom	delta 18O, Diploastrea heliopora, , permil VPDB, , Corals and Sclerosponges, anomaly, ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	d18O_anom
1656.000	-4.178	-0.115
1656.167	-4.293	-0.229
1656.333	-3.921	-0.050
1656.500	-3.786	-0.106
1656.667	-3.861	-0.004
1656.833	-3.974	-0.009
1657.000	-4.076	-0.012
1657.167	-4.109	-0.045
1657.333	-3.998	-0.128
1657.500	-3.806	-0.126
1657.667	-3.940	-0.083
1657.833	-4.047	-0.082
1658.000	-4.221	-0.157
1658.167	-4.219	-0.155
1658.333	-4.043	-0.173
1658.500	-3.884	-0.204
1658.667	-4.054	-0.197
1658.833	-4.169	-0.204
1659.000	-4.342	-0.279
1659.167	-4.283	-0.219
1659.333	-3.906	-0.035
1659.500	-3.695	-0.015
1659.667	-3.903	-0.046
1659.833	-4.138	-0.173
1660.000	-4.325	-0.262
1660.167	-4.261	-0.197
1660.333	-3.961	-0.091
1660.500	-3.812	-0.132
1660.667	-4.007	-0.150
1660.833	-4.049	-0.084
1661.000	-4.133	-0.069
1661.167	-4.038	0.026
1661.333	-3.960	-0.089
1661.500	-3.834	-0.154
1661.667	-4.012	-0.155
1661.833	-4.078	-0.113
1662.000	-4.124	-0.061
1662.167	-4.337	-0.273
1662.333	-4.185	-0.315
1662.500	-3.855	-0.175
1662.667	-4.073	-0.216
1662.833	-4.154	-0.189
1663.000	-4.339	-0.276
1663.167	-4.302	-0.238
1663.333	-3.987	-0.116
1663.500	-3.871	-0.191
1663.667	-3.965	-0.108
1663.833	-4.033	-0.068
1664.000	-4.236	-0.173
1664.167	-4.131	-0.067
1664.333	-3.755	0.116
1664.500	-3.636	0.044
1664.667	-3.891	-0.034
1664.833	-3.927	0.038
1665.000	-4.017	0.047
1665.167	-3.914	0.150
1665.333	-3.771	0.099
1665.500	-3.598	0.082
1665.667	-3.829	0.028
1665.833	-4.052	-0.087
1666.000	-4.275	-0.211
1666.167	-4.031	0.033
1666.333	-3.732	0.139
1666.500	-3.665	0.015
1666.667	-3.787	0.070
1666.833	-3.840	0.125
1667.000	-3.908	0.156
1667.167	-3.942	0.122
1667.333	-3.861	0.009
1667.500	-3.756	-0.076
1667.667	-3.861	-0.004
1667.833	-4.017	-0.052
1668.000	-4.039	0.024
1668.167	-3.974	0.090
1668.333	-3.862	0.009
1668.500	-3.724	-0.044
1668.667	-3.988	-0.131
1668.833	-4.193	-0.228
1669.000	-4.130	-0.067
1669.167	-4.267	-0.203
1669.333	-3.955	-0.085
1669.500	-3.696	-0.016
1669.667	-3.890	-0.033
1669.833	-3.998	-0.033
1670.000	-3.923	0.140
1670.167	-3.898	0.166
1670.333	-3.779	0.091
1670.500	-3.605	0.075
1670.667	-3.769	0.088
1670.833	-3.782	0.183
1671.000	-3.981	0.082
1671.167	-3.912	0.152
1671.333	-3.895	-0.025
1671.500	-3.763	-0.083
1671.667	-3.889	-0.032
1671.833	-4.115	-0.150
1672.000	-4.009	0.055
1672.167	-3.986	0.078
1672.333	-3.832	0.038
1672.500	-3.638	0.042
1672.667	-3.928	-0.071
1672.833	-3.880	0.085
1673.000	-4.067	-0.004
1673.167	-4.067	-0.003
1673.333	-3.850	0.020
1673.500	-3.542	0.138
1673.667	-3.666	0.191
1673.833	-3.856	0.109
1674.000	-3.967	0.096
1674.167	-3.994	0.070
1674.333	-3.960	-0.090
1674.500	-3.644	0.036
1674.667	-3.684	0.173
1674.833	-3.884	0.081
1675.000	-3.923	0.140
1675.167	-4.027	0.037
1675.333	-3.747	0.123
1675.500	-3.646	0.034
1675.667	-3.844	0.013
1675.833	-3.979	-0.014
1676.000	-3.804	0.259
1676.167	-3.918	0.146
1676.333	-3.923	-0.053
1676.500	-3.682	-0.002
1676.667	-3.791	0.066
1676.833	-3.824	0.141
1677.000	-3.948	0.115
1677.167	-4.079	-0.015
1677.333	-3.943	-0.073
1677.500	-3.668	0.012
1677.667	-3.983	-0.126
1677.833	-4.164	-0.199
1678.000	-4.175	-0.112
1678.167	-4.229	-0.165
1678.333	-3.979	-0.109
1678.500	-3.674	0.006
1678.667	-3.766	0.091
1678.833	-3.888	0.077
1679.000	-4.008	0.055
1679.167	-4.016	0.048
1679.333	-3.855	0.016
1679.500	-3.599	0.081
1679.667	-3.843	0.014
1679.833	-4.016	-0.051
1680.000	-4.118	-0.055
1680.167	-3.904	0.160
1680.333	-4.078	-0.208
1680.500	-3.783	-0.103
1680.667	-3.974	-0.117
1680.833	-4.006	-0.041
1681.000	-4.032	0.031
1681.167	-4.052	0.012
1681.333	-3.781	0.089
1681.500	-3.637	0.043
1681.667	-3.980	-0.123
1681.833	-3.984	-0.019
1682.000	-4.271	-0.208
1682.167	-4.013	0.051
1682.333	-3.825	0.046
1682.500	-3.652	0.028
1682.667	-4.004	-0.147
1682.833	-4.024	-0.059
1683.000	-3.976	0.087
