# La Reunion Coral d18O and Sr/Ca Data during the 20th Century
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/28130
#      Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/pfeiffer2019/pfeiffer2019-reunion.txt
#      Description: NOAA location of the template
#
# Data_Type: Corals and Sclerosponges
#
# Dataset_DOI:
#
# Parameter_Keywords: trace metals, oxygen isotopes
#---------------------------------------
# Contribution_Date
#    Date: 2019-10-31
#---------------------------------------
# File_Last_Modified_Date
#    Date: 2019-10-31
#---------------------------------------
# Title
#    Study_Name: La Reunion Coral d18O and Sr/Ca Data during the 20th Century
#---------------------------------------
# Investigators
#      Investigators: Pfeiffer, Miriam
#---------------------------------------
# Description_Notes_and_Keywords
#        Description: Precision (1s)- Sr/Ca: 0.01 mmol/mole, d18O-porit: 0.06 per mil, d18O-porit_anom_err: 0.081 per mil.
#         Provided Keywords: corals, Sr/Ca, d18O, SST, d18O seawater, SSS, SW Indian Ocean
#---------------------------------------
# Publication
# Authors: Pfeiffer, Miriam
# Published_Date_or_Year: 2019
# Published_Title: 20th century d18O seawater and salinity variations reconstructed from paired d18O and Sr/Ca measurements of a La Reunion coral
# Journal_Name: Paleoceanography and Paleoclimatology
# Volume: 
# Edition: 
# Issue: 
# Pages: 
# Report_Number: 
# DOI: 10.1002/2019PA003770
# Online_Resource: 
# Full_Citation: 
# Abstract: Sea surface salinity (SSS) is an important variable in the global ocean circulation. However, decadal to interdecadal changes in SSS are not well understood due to the lack of instrumental data. Here, we reconstruct SSS from a paired, bimonthly resolved coral d18O and Sr/Ca record from La Reunion Island that extends from 1995-1913. Coral Sr/Ca correlates with regional sea surface temperature (SST) until 1966, when instrumental coverage is good, while coral d18O does not. The slope of the monthly (annual mean) coral Sr/Ca-SST regression is -0.040 mmol/mol per 1°C (-0.068 mmol/mol per 1°C) consistent with published estimates of the Sr/Ca-SST relationship. Coral Sr/Ca suggest a warming of 0.39°C since 1913. d18O seawater is calculated by subtracting the temperature component from measured coral d18O, using coral Sr/Ca as well as historical SST products. The derived d18O seawater reconstructions are correlated (r>0.6), and all show a significant shift in the mid-20th century (-0.17 to -0.19 permil), indicating a freshening of SSS by 0.7 psu. However, the timing of this shift depends on the temperature component and varies from 1947 (d18O seawater calculated with historical SST) to the late 1950s (d18O seawater calculated with coral Sr/Ca). Coral Sr/Ca shows warm temperature anomalies in the mid-1950s, while historical SST products show warm anomalies from 1940-45 followed by cooling in the 1950s, a pattern typical for the World War II bias. This suggests that historical SST may bias reconstructions of d18O seawater and SSS from corals. 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: German Science Foundation (DFG)
#    Grant: PF 676/2-1, PF 676/3-1
#---------------------------------------
# Site_Information
# Site_Name: St. Gilles Reef, Reunion
# Location: Reunion
# Country: France
# Northernmost_Latitude: -21
# Southernmost_Latitude: -21
# Easternmost_Longitude: 55
# Westernmost_Longitude: 55
# Elevation: -10
#---------------------------------------
# Data_Collection
#   Collection_Name: LaReunion Sr/Ca, d18O Pfeiffer2019
#   First_Year: 1912
#   Last_Year: 1995
#   Time_Unit: AD
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_CE_SrCa	age,,,year Common Era,,corals and sclerosponges,,,N,Age for Sr/Ca Data
## Sr/Ca-porit	strontium/calcium,Porites sp.,,millimole per mole,monthly,corals and sclerosponges,,inductively-coupled plasma atomic emission spectroscopy,N,
## age_CE_d180	age,,,year Common Era,,corals and sclerosponges,,,N,Age for d18O Data
## d18O-porit 	delta 18O,Porites sp.,,per mil VPDB,,corals and sclerosponges,,isotope ratio mass spectrometry,N,bimonthly
## d18O-porit-anom_err	delta 18O,Porites sp.,,per mil VPDB,,corals and sclerosponges,anomalized,isotope ratio mass spectrometry,N,bimonthly
#------------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values: NaN
age_CE_SrCa	Sr/Ca-porit	age_CE_d180	d18O-porit 	d18O-porit-anom_err	
1918.875	8.85764696	1925.125	-4.41	0.226891588	
1918.958333	8.78078433	1925.29167	-4.523333613	0.21335047	
1919.041667	8.75262676	1925.45833	-4.233332566	0.122291924	
1919.125	8.78076025	1925.625	-3.85	0.293768474	
1919.208333	8.78347686	1925.79167	-4.023332986	0.319895112	
1919.291667	8.83398759	1925.95833	-4.226667134	0.444415048	
1919.375	8.89917085	1926.125	-4.46	0.488044741	
1919.458333	8.95183995	1926.29167	-4.566666454	0.351872559	
1919.541667	8.97753577	1926.45833	-4.466666054	-0.057257717	
1919.625	8.98131932	1926.625	-4.16	-0.010845569	
1919.708333	8.93535662	1926.79167	-4.273333146	0.187644219	
1919.791667	8.88161662	1926.95833	-4.56666744	0.141208739	
1919.875	8.82009933	1927.125	-4.88	-0.066675752	
1919.958333	8.80375289	1927.29167	-4.716667107	-0.008845768	
1920.041667	8.77349941	1927.45833	-4.263332733	-0.055448007	
1920.125	8.72933891	1927.625	-4.1	-0.229809816	
1920.208333	8.73206366	1927.79167	-4.38999884	0.006372092	
1920.291667	8.77175226	1927.95833	-4.72999964	0.016656662	
1920.375	8.84840472	1928.125	-4.64	0.051501484	
1920.458333	8.91491429	1928.29167	-4.61000012	0.077490111	
1920.541667	8.961689	1928.45833	-4.38999928	-0.184430526	
1920.625	8.98872886	1928.625	-4.21	-0.166075679	
1920.708333	8.98630687	1928.79167	-4.3599997	-0.035272792	
1920.791667	8.96374436	1928.95833	-4.59666711	0.078060781	
1920.875	8.89349507	1929.125	-4.745	0.109827071	
1920.958333	8.82618942	1929.29167	-4.65333385	0.167198268	
1921.041667	8.79479509	1929.45833	-4.316666034	0.006974872	
1921.125	8.78052662	1929.625	-4	0.081708191	
1921.208333	8.78590268	1929.79167	-4.316666034	0.119846236	
1921.291667	8.80449142	1929.95833	-4.54000033	0.01779624	
1921.375	8.81779247	1930.125	-4.635	0.006075671	
1921.458333	8.87916538	1930.29167	-4.59000023	0.015143826	
1921.541667	8.98246669	1930.45833	-4.363332266	0.033668007	
1921.625	9.00691555	1930.625	-3.83	0.162298894	
1921.708333	8.99498672	1930.79167	-4.363332266	-0.049933474	
1921.791667	8.94815551	1930.95833	-4.570000177	0.148139532	
1921.875	8.87869334	1931.125	-4.585	0.048240761	
1921.958333	8.79887178	1931.29167	-4.436667144	0.247786355	
1922.041667	8.7841646	1931.45833	-4.193333166	0.358862016	
1922.125	8.77568393	1931.625	-4.11	0.185830358	
1922.208333	8.7783907	1931.79167	-4.16999988	0.245054886	
1922.291667	8.79724642	1931.95833	-4.323333826	0.414283237	
1922.375	8.84753062	1932.125	-4.57	0.238305471	
1922.458333	8.86915469	1932.29167	-4.536666734	0.21616731	
1922.541667	8.90851876	1932.45833	-4.333332586	0.192933133	
1922.625	9.01202382	1932.625	-3.96	0.229705964	
1922.708333	8.98129275	1932.79167	-4.06999956	0.077184164	
1922.791667	8.95270862	1932.95833	-4.65000028	0.045609629	
1922.875	8.90017895	1933.125	-4.72	0.174250578	
1922.958333	8.83609096	1933.29167	-4.53000076	0.20376725	
1923.041667	8.78682136	1933.45833	-4.24999784	0.12467631	
1923.125	8.76824623	1933.625	-3.71	0.285203531	
1923.208333	8.81536808	1933.79167	-4.326665434	0.111938499	
1923.291667	8.82034039	1933.95833	-4.63666705	0.24116666	
1923.375	8.84785295	1934.125	-4.745	0.149158198	
1923.458333	8.89376782	1934.29167	-4.54666751	0.298102585	
1923.541667	8.94940246	1934.45833	-4.0799996	0.348356985	
1923.625	9.0658128	1934.625	-3.88	0.074618841	
1923.708333	8.9825923	1934.79167	-4.396665634	-0.264721218	
1923.791667	8.88144362	1934.95833	-4.653333623	-0.239334149	
1923.875	8.83643715	1935.125	-4.705	0.019263671	
1923.958333	8.78732628	1935.29167	-4.540000577	0.025209062	
1924.041667	8.75816142	1935.45833	-4.2499999	0.160978998	
1924.125	8.75199809	1935.625	-4.2	-0.104879332	
1924.208333	8.75443169	1935.79167	-4.27999984	0.013088534	
1924.291667	8.78217273	1935.95833	-4.46000056	0.125521156	
1924.375	8.84902176	1936.125	-4.74	0.093924341	
1924.458333	8.9059938	1936.29167	-4.546667054	0.059081857	
1924.541667	8.9339225	1936.45833	-4.263332586	-0.052828686	
1924.625	8.98782929	1936.625	-3.89	-0.007046609	
1924.708333	8.94153273	1936.79167	-4.22999864	-0.123260374	
1924.791667	8.89169046	1936.95833	-4.52000084	-0.00118112	
1924.875	8.85398388	1937.125	-4.73	-0.170345366	
1924.958333	8.84409395	1937.29167	-4.46000108	0.128671159	
1925.041667	8.81237422	1937.45833	-4.34999836	0.085262973	
