# South Pagai Islands and Sunda Strait 53 Year Coral Oxygen Isotope Data 
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/18895
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/batu-hitam2015.txt
#
# Archive: Corals and Sclerosponges
#
# Parameter_Keywords: 
#---------------------------------------
# Contribution_Date
#    Date: 2015-06-19
#---------------------------------------
# Title
#    Study_Name: South Pagai Islands and Sunda Strait 53 Year Coral Oxygen Isotope Data 
#---------------------------------------
# Investigators
#      Investigators: Abram, N.; Dixon, B.; Rosevear, M.; Plunkett, B.; Gagan, M.; Hantoro, W.; Phipps, S.
#---------------------------------------
# Description and Notes
#        Description: Coral d18O data at monthly resolution South Pagai Islands and Sunda Strait, Indonesia. 
#         Provided Keywords: 
#---------------------------------------
# Publication
# Authors: Nerilie J. Abram, Bronwyn C. Dixon, Madelaine G. Rosevear, Benjamin Plunkett, Michael K. Gagan, Wahyoe S. Hantoro and Steven J. Phipps
# Published_Date_or_Year: 2015-10-02
# Published_Title: Optimised coral reconstructions of the Indian Ocean Dipole: An assessment of location and length considerations 
# Journal_Name: Paleoceanography
# Volume: 
# Issue: 
# Pages: 
# Report Number: 
# DOI: 10.1002/2015PA002810
# Online_Resource: http://onlinelibrary.wiley.com/doi/10.1002/2015PA002810/abstract
# Full_Citation: 
# Abstract: The Indian Ocean Dipole (IOD; or Indian Ocean Zonal Mode) is a coupled ocean-atmosphere climate oscillation that has profound impacts on rainfall distribution across the Indian Ocean region. Instrumental records provide a reliable representation of IOD behaviour since 1958, while coral reconstructions currently extend the IOD history back to 1846. Large fluctuations in the number and intensity of positive IOD events over time are evident in these records, but it is unclear to what extent this represents multidecadal modulation of the IOD or an anthropogenically-forced change in IOD behaviour. In this study we explore the suitability of coral records from single-site locations in the equatorial Indian Ocean for capturing information about the occurrence and magnitude of positive IOD (pIOD) events. We find that the optimum location for coral reconstructions of the IOD occurs in the southeastern equatorial Indian Ocean, along the coast of Java and Sumatra between ~3-7S. Here the strong ocean cooling and atmospheric drying during pIOD events are unambiguously recorded in coral oxygen isotope records, which capture up to 50% of IOD variance. Unforced experiments with coupled climate models suggest that potential biases in coral estimates of pIOD frequency are skewed towards overestimating pIOD recurrence intervals, and become larger with shorter reconstruction windows and longer pIOD recurrence times. Model output also supports the assumption of stationarity in sea surface temperature relationships in the optimum IOD location that is necessary for paleoclimate reconstructions. This study provides a targeted framework for the future generation of paleoclimate records, including optimised coral reconstructions of past IOD variability. 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Australian Research Council
#    Grant: DP140102059
#---------------------------------------
# Site Information
# Site_Name: Batu Hitam Beach
# Location: Ocean>Indian Ocean>Indonesia
# Country: Indonesia
# Northernmost_Latitude: -6.53333
# Southernmost_Latitude: -6.53333
# Easternmost_Longitude: 105.63333
# Westernmost_Longitude: 105.63333
# Elevation: -0.5m
#---------------------------------------
# Data_Collection
#   Collection_Name: Batu-Hitam2015SW12-C-1
#   First_Year: 1989
#   Last_Year: 2012
#   Time_Unit: AD
#   Core_Length: 
#   Notes: Coral x-radiographs archived as supplementary online material that accompanies the manuscript published in Paleoceanography
#---------------------------------------
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_AD	age,,,years AD,,,,,N
## d18Oporites	delta 18O,Porites sp.,,per mil PDB,,,raw data interpolated to monthly values,analytical technique: isotope ratio mass spectrometry Thermo MAT-253,N
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: 
age_AD	d18Oporites
2005.958333	-5.706997497
2006.041666	-5.862897259
2006.125	-5.884480825
2006.208333	-6.032245242
2006.291666	-5.83882328
2006.375	-5.938273714
2006.458333	-5.918339601
2006.541666	-5.809527279
2006.625	-5.733916069
2006.708333	-5.553967993
2006.791666	-5.563955947
2006.875	-5.637503682
2006.958333	-5.706263696
2007.041666	-6.066409166
2007.125	-6.06756158
2007.208333	-5.989310265
2007.291666	-6.055511092
2007.375	-6.044527835
2007.458333	-5.940450278
2007.541666	-5.817198753
2007.625	-5.467303262
2007.708333	-5.435103209
2007.791666	-5.630734833
2007.875	-5.710803473
2007.958333	-5.854596843
2008.041666	-6.015559572
2008.125	-6.10322235
2008.208333	-6.165131092
2008.291666	-6.204752686
2008.375	-5.989475355
2008.458333	-5.837262395
2008.541666	-5.764952985
2008.625	-5.696440645
2008.708333	-5.670851698
2008.791666	-5.773207484
2008.875	-5.977919056
2008.958333	-6.020017001
2009.041666	-6.087208622
2009.125	-6.295717265
2009.208333	-6.166121632
2009.291666	-6.196853605
2009.375	-6.284333333
2009.458333	-6.2095
2009.541666	-6.039666667
2009.625	-5.850282776
2009.708333	-5.681
2009.791666	-5.953323258
2009.875	-5.847000914
2009.958333	-6.2
2010.041666	-6.204000316
2010.125	-6.282999684
2010.208333	-6.369
2010.291666	-6.041000808
2010.375	-6.242999192
2010.458333	-6.285
2010.541666	-5.899001661
2010.625	-6.314222629
2010.708333	-5.65050153
2010.791666	-6.035095061
2010.875	-6.198749948
2010.958333	-6.094125549
2011.041666	-6.211749434
2011.125	-6.295895873
2011.208333	-6.275875
2011.291666	-6.212416519
2011.375	-6.138533038
2011.458333	-6.045749943
2011.541666	-5.950167011
2011.625	-5.823166925
2011.708333	-5.694
2011.791666	-5.730249851
2011.875	-5.885299363
2011.958333	-6.03367503
2012.041666	-5.932900443
2012.125	-6.017124886
2012.208333	-6.150549907
2012.291666	-6.303249415
2012.375	-6.440999449
