# Mayotte Coral Coupled Sr/Ca and d18O Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/8424
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/mayotte2008.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2009-04-01
#--------------------
# Title
#	Study_Name: Mayotte Coral Coupled Sr/Ca and d18O Data
#--------------------
# Investigators
#       Investigators: Zinke, J.; Pfeiffer, M.; Timm, O.; Dullo, W.C.; Kroon, D.; Thomassin, B.A.
#--------------------
# Description_and_Notes
#	Description: Coupled Sr/Ca and d18O measurements from a Porites solida coral  at Mayotte (Comoro Archipelago), 12�39'S, 45�06'E, used as a proxy  for d18Oseawater and hydrological variability (P-E) in the western  tropical Indian Ocean.  
#--------------------
# Publication 
#       Authors: Zinke, J.; Pfeiffer, M.; Timm, O.; Dullo, W.C.; Kroon, D.; Thomassin, B.A.
#       Published_Date_or_Year: 2008-12-10     
#       Published_Title: Mayotte coral reveals hydrological changes in the western  Indian Ocean between 1881 and 1994.
#       Journal_Name: Geophys. Res. Lett.
#       Volume: 35
#       Edition: 
#       Issue: L23707
#       Pages: 
#       DOI: 10.1029/2008GL035634
#       Online_Resource: http://onlinelibrary.wiley.com/doi/10.1029/2008GL035634/abstract
#       Full_Citation: Zinke, J., M. Pfeiffer, O. Timm, W.-C. Dullo, D. Kroon,  and B. A. Thomassin. 2008.   Mayotte coral reveals hydrological changes in the western  Indian Ocean between 1881 and 1994.  Geophys. Res. Lett., 35, L23707, doi:10.1029/2008GL035634.
#       Abstract: We reconstruct the hydrologic history of the tropical western Indian Ocean by calculating the d18Oseawater from coupled coral Sr/Ca and d18O measurements in a massive Porites coral from Mayotte (Comoros) between 1881 and 1994. We found that the precipitation-evaporation balance varies naturally on time scales of 5-6 years and 18-25 years. High (low) SSTs are associated with positive (negative) d18Oseawater implying that atmospheric variability is linked with remote climate modes in the Indian Ocean and the tropical/extratropical Pacific Ocean. Warm El Nino-Southern Oscillation events are associated with a negative freshwater balance at Mayotte. This case study demonstrates that a much denser network of d18Oseawater reconstructions is crucial for understanding the spatial patterns of hydrological conditions.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: German Science Foundation (KIHZ)
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Nederlandse Organisatie voor Wetenschappelijk Onderzoek
#       Grant: 854.00.034
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Japan Agency for Marine-Earth Science and Technology (JAMSTEC) International Pacific Research Center
#       Grant:
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Deutsche Forschungsgemeinschaft
#       Grant: PF 676/1, Leibniz award
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Japan Agency for Marine-Earth Science and Technology (JAMSTEC)
#       Grant:
#------------------
# Site_Information 
#       Site_Name: Mayotte Island, Comoros Archipelago
#       Location: Ocean>Indian Ocean>Comoros
#	Country: France 
#	Northernmost_Latitude: -12.65
# 	Southernmost_Latitude: -12.65
# 	Easternmost_Longitude: 45.10
# 	Westernmost_Longitude: 45.10
# 	Elevation: -2 m
#------------------
# Data_Collection   
#	Collection_Name: 08como01a
#	Earliest_Year: 1881
#	Most_Recent_Year: 1994
#	Time_Unit: AD
#	Core_Length: 2.38 m
#	Notes:  
#------------------
# Species
#	Species_Name: Porites solida
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Porites solida, , permil VPDB, , Corals and Sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Porites solida, ,mmol/mol, ,Corals and Sclerosponges, , ,N 
##d18O_sw	seawater delta 18O, , , permil VPDB, , Climate Reconstructions, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O	Sr/Ca	d18O_sw
1902.62	-4.510	8.912	0.633
1902.79	-4.647	8.837	0.735
1902.96	-4.933	8.797	0.574
1903.12	-4.960	8.743	0.719
1903.29	-5.117	8.771	0.472
1903.46	-4.977	8.897	0.214
1903.62	-4.720	8.955	0.286
1903.79	-4.877	8.939	0.179
1903.96	-5.003	8.861	0.301
1904.12	-5.130	8.801	0.365
1904.29	-5.103	8.811	0.361
1904.46	-4.823	8.828	0.585
1904.62	-4.690	8.989	0.209
1904.79	-4.805	8.948	0.223
1904.96	-5.010	8.868	0.272
1905.12	-5.120	8.810	0.346
1905.29	-4.960	8.755	0.682
1905.46	-4.585	8.807	0.892
1905.62	-4.560	8.912	0.584
1905.79	-4.765	8.835	0.623
1905.96	-4.767	8.784	0.784
1906.12	-4.925	8.781	0.634
1906.29	-4.870	8.808	0.602
1906.46	-4.723	8.902	0.453
1906.62	-4.580	8.934	0.493
1906.79	-4.870	8.840	0.501
1906.96	-4.983	8.804	0.502
1907.12	-5.000	8.757	0.634
1907.29	-4.817	8.742	0.864
1907.46	-4.650	8.804	0.835
1907.62	-4.540	8.960	0.450
1907.79	-4.900	8.913	0.241
1907.96	-4.890	8.784	0.660
1908.12	-5.140	8.740	0.549
1908.29	-5.060	8.717	0.701
1908.46	-5.010	8.836	0.374
1908.62	-4.560	8.896	0.633
1908.79	-4.657	8.839	0.718
1908.96	-4.797	8.788	0.740
1909.12	-4.830	8.756	0.807
1909.29	-4.963	8.761	0.658
1909.46	-4.937	8.793	0.583
1909.62	-4.610	8.968	0.356
1909.79	-4.700	8.865	0.593
1909.96	-4.660	8.813	0.798
1910.12	-4.935	8.774	0.646
1910.29	-4.860	8.780	0.702
1910.46	-4.645	8.848	0.703
1910.62	-4.460	8.966	0.512
1910.79	-4.800	8.866	0.488
1910.96	-4.830	8.782	0.725
1911.12	-5.030	8.739	0.664
1911.29	-5.020	8.727	0.711
1911.46	-4.690	8.879	0.557
1911.62	-4.440	9.009	0.396
1911.79	-4.548	8.923	0.561
1911.96	-4.837	8.837	0.546
1912.12	-5.095	8.750	0.561
1912.29	-5.133	8.825	0.286
1912.46	-4.877	8.783	0.676
1912.62	-4.460	8.973	0.488
1912.79	-4.565	8.941	0.484
1912.96	-4.840	8.859	0.471
1913.12	-4.885	8.756	0.753
1913.29	-5.160	8.776	0.414
1913.46	-4.915	8.898	0.272
1913.62	-4.720	8.966	0.252
1913.79	-4.840	8.880	0.404
1913.96	-4.930	8.787	0.610
1914.12	-5.160	8.754	0.486
1914.29	-5.190	8.754	0.453
1914.46	-4.930	8.829	0.478
1914.62	-4.690	8.957	0.310
1914.79	-4.735	8.868	0.549
1914.96	-4.960	8.824	0.462
1915.12	-5.010	8.764	0.601
1915.29	-5.073	8.752	0.576
1915.46	-4.863	8.829	0.544
1915.62	-4.780	8.966	0.192
1915.79	-4.823	8.840	0.547
1915.96	-4.883	8.763	0.732
1916.12	-5.030	8.715	0.737
1916.29	-4.980	8.784	0.570
1916.46	-4.893	8.888	0.327
1916.62	-4.570	8.891	0.640
1916.79	-4.620	8.831	0.781
1916.96	-4.660	8.830	0.744
1917.12	-4.920	8.764	0.694
1917.29	-4.870	8.764	0.744
1917.46	-4.700	8.809	0.769
1917.62	-4.580	8.886	0.644
1917.79	-4.628	8.867	0.657
1917.96	-4.880	8.798	0.624
1918.12	-4.910	8.726	0.824
1918.29	-5.047	8.745	0.628
1918.46	-4.818	8.874	0.444
1918.62	-4.600	8.895	0.598
1918.79	-4.733	8.829	0.673
1918.96	-4.787	8.768	0.813
1919.12	-4.850	8.721	0.898
1919.29	-4.920	8.724	0.821
1919.46	-4.867	8.792	0.657
1919.62	-4.400	8.877	0.854
1919.79	-4.783	8.816	0.663
1919.96	-4.907	8.750	0.749
1920.12	-4.820	8.742	0.863
1920.29	-4.747	8.725	0.989
1920.46	-4.655	8.811	0.807
1920.62	-4.570	8.978	0.364
1920.79	-4.780	8.920	0.337
1920.96	-4.870	8.804	0.616
1921.12	-4.970	8.726	0.764
1921.29	-4.940	8.738	0.755
1921.46	-4.900	8.904	0.267
1921.62	-4.800	8.929	0.288
1921.79	-4.880	8.867	0.404
1921.96	-4.980	8.796	0.533
1922.12	-4.700	8.756	0.938
1922.29	-4.580	8.807	0.896
1922.46	-4.800	8.853	0.529
1922.62	-4.530	8.900	0.651
1922.79	-4.735	8.846	0.619
1922.96	-4.760	8.805	0.724
1923.12	-4.920	8.755	0.723
1923.29	-4.860	8.714	0.911
1923.46	-4.600	8.791	0.926
1923.62	-4.500	8.914	0.637
1923.79	-4.620	8.886	0.604
1923.96	-4.610	8.749	1.052
1924.12	-4.900	8.768	0.701
1924.29	-4.870	8.793	0.650
1924.46	-4.805	8.865	0.488
1924.62	-4.580	8.877	0.673
1924.79	-4.730	8.763	0.884
1924.96	-4.957	8.740	0.732
1925.12	-4.950	8.705	0.851
1925.29	-5.010	8.783	0.541
1925.46	-4.897	8.815	0.554
1925.62	-4.540	8.891	0.670
1925.79	-4.810	8.781	0.748
1925.96	-4.850	8.734	0.859
1926.12	-4.980	8.668	0.938
1926.29	-5.050	8.687	0.809
1926.46	-4.865	8.884	0.366
1926.62	-4.630	8.986	0.279
1926.79	-4.775	8.847	0.576
1926.96	-4.890	8.841	0.480
1927.12	-5.030	8.797	0.477
1927.29	-4.957	8.820	0.477
1927.46	-4.957	8.997	-0.082
1927.62	-4.690	9.087	-0.104
1927.79	-4.790	8.860	0.519
1927.96	-5.030	8.772	0.557
1928.12	-5.150	8.697	0.675
1928.29	-5.050	8.709	0.738
1928.46	-4.700	8.739	0.991
1928.62	-4.690	8.883	0.545
1928.79	-4.950	8.870	0.326
1928.96	-4.970	8.772	0.619
1929.12	-5.060	8.741	0.626
1929.29	-5.017	8.753	0.632
1929.46	-4.957	8.826	0.458
1929.62	-4.810	8.934	0.263
1929.79	-4.900	8.921	0.213
1929.96	-4.980	8.849	0.364
1930.12	-5.130	8.698	0.691
1930.29	-5.147	8.729	0.578
1930.46	-4.900	8.787	0.640
1930.62	-4.670	8.909	0.481
1930.79	-4.783	8.821	0.647
1930.96	-5.050	8.734	0.658
1931.12	-5.230	8.743	0.450
1931.29	-5.180	8.789	0.354
1931.46	-5.033	8.883	0.203
1931.62	-4.780	8.944	0.262
1931.79	-4.873	8.757	0.761
1931.96	-5.160	8.719	0.597
1932.12	-5.210	8.737	0.489
1932.29	-4.987	8.772	0.601
1932.46	-4.787	8.890	0.425
1932.62	-4.730	8.943	0.316
1932.79	-4.840	8.884	0.392
1932.96	-4.970	8.851	0.366
1933.12	-4.930	8.761	0.694
1933.29	-4.910	8.775	0.669
1933.46	-4.850	8.821	0.580
1933.62	-4.720	8.901	0.459
1933.79	-4.799	8.786	0.743
1933.96	-4.879	8.752	0.771
1934.12	-4.958	8.668	0.959
1934.29	-5.037	8.654	0.924
1934.46	-4.915	8.760	0.709
1934.62	-4.690	8.876	0.568
1934.79	-4.880	8.759	0.748
1934.96	-5.110	8.765	0.501
1935.12	-5.100	8.673	0.800
1935.29	-4.960	8.737	0.740
1935.46	-4.890	8.818	0.552
1935.62	-4.640	8.884	0.593
1935.79	-4.850	8.757	0.786
1935.96	-5.030	8.705	0.771
1936.12	-5.050	8.617	1.029
1936.29	-4.980	8.738	0.716
1936.46	-4.875	8.856	0.445
1936.62	-4.770	8.956	0.233
1936.79	-4.980	8.881	0.261
1936.96	-5.000	8.788	0.538
1937.12	-5.140	8.753	0.508
1937.29	-5.170	8.782	0.387
1937.46	-5.050	8.793	0.472
1937.62	-4.730	8.998	0.139
1937.79	-4.820	8.977	0.117
1937.96	-5.030	8.832	0.366
1938.12	-5.125	8.738	0.569
1938.29	-5.170	8.773	0.413
1938.46	-4.900	8.835	0.486
1938.62	-4.790	8.962	0.195
1938.79	-4.910	8.913	0.231
1938.96	-5.020	8.844	0.337
1939.12	-5.070	8.736	0.630
1939.29	-5.060	8.757	0.576
1939.46	-4.990	8.853	0.340
1939.62	-4.750	8.934	0.322
1939.79	-4.795	8.853	0.536
1939.96	-4.970	8.804	0.515
1940.12	-5.090	8.775	0.487
1940.29	-5.070	8.780	0.493
1940.46	-4.935	8.813	0.524
1940.62	-4.700	8.946	0.334
1940.79	-4.987	8.882	0.251
1940.96	-4.963	8.806	0.517
1941.12	-4.955	8.698	0.868
1941.29	-4.887	8.727	0.844
1941.46	-4.775	8.833	0.618
1941.62	-4.670	8.928	0.423
1941.79	-4.900	8.842	0.465
1941.96	-4.913	8.733	0.799
1942.12	-5.020	8.745	0.654
1942.29	-5.093	8.760	0.532
1942.46	-4.932	8.860	0.376
1942.62	-4.640	8.955	0.366
1942.79	-4.727	8.842	0.639
1942.96	-4.927	8.780	0.636
1943.12	-4.940	8.755	0.700
1943.29	-4.910	8.763	0.706
1943.46	-4.690	8.929	0.400
1943.62	-4.590	8.948	0.438
1943.79	-4.637	8.864	0.659
1943.96	-4.790	8.805	0.692
1944.12	-4.950	8.778	0.620
1944.29	-4.943	8.759	0.685
1944.46	-4.843	8.781	0.714
1944.62	-4.630	8.883	0.604
1944.79	-4.717	8.709	1.072
1944.96	-4.883	8.583	1.305
1945.12	-5.090	8.537	1.243
1945.29	-5.037	8.665	0.892
1945.46	-4.877	8.704	0.925
1945.62	-4.620	8.920	0.496
1945.79	-4.800	8.846	0.554
1945.96	-5.027	8.721	0.723
1946.12	-5.110	8.708	0.681
1946.29	-4.908	8.759	0.719
1946.46	-4.804	8.771	0.785
1946.62	-4.700	8.912	0.444
1946.79	-4.798	8.808	0.676
1946.96	-4.896	8.704	0.908
1947.12	-5.060	8.676	0.833
1947.29	-5.000	8.750	0.658
1947.46	-4.913	8.936	0.155
1947.62	-4.660	8.976	0.280
1947.79	-4.870	8.935	0.198
1947.96	-4.977	8.889	0.238
1948.12	-5.170	8.826	0.246
1948.29	-5.150	8.800	0.348
1948.46	-4.917	8.819	0.522
1948.62	-4.720	8.981	0.205
1948.79	-4.833	8.865	0.458
1948.96	-4.900	8.802	0.591
1949.12	-4.950	8.743	0.730
1949.29	-5.040	8.787	0.500
1949.46	-5.007	8.921	0.107
1949.62	-4.760	8.972	0.192
1949.79	-4.823	8.816	0.624
1949.96	-4.890	8.799	0.611
1950.12	-4.890	8.799	0.613
1950.29	-5.123	8.778	0.445
1950.46	-4.967	8.824	0.457
1950.62	-4.650	8.932	0.428
1950.79	-4.778	8.878	0.474
1950.96	-4.993	8.789	0.539
1951.12	-5.035	8.742	0.648
1951.29	-5.050	8.696	0.778
1951.46	-5.010	8.843	0.353
1951.62	-4.890	8.884	0.342
1951.79	-4.927	8.803	0.564
1951.96	-4.960	8.696	0.868
1952.12	-5.100	8.726	0.632
1952.29	-5.233	8.746	0.435
1952.46	-4.907	8.843	0.456
1952.62	-4.780	8.869	0.499
1952.79	-5.027	8.768	0.572
1952.96	-5.220	8.723	0.524
1953.12	-5.125	8.723	0.617
1953.29	-5.170	8.753	0.478
1953.46	-5.033	8.846	0.319
1953.62	-4.800	8.865	0.492
1953.79	-4.897	8.771	0.695
1953.96	-5.050	8.684	0.816
1954.12	-5.200	8.744	0.476
1954.29	-5.147	8.714	0.624
1954.46	-4.973	8.794	0.544
1954.62	-4.840	8.874	0.424
1954.79	-4.953	8.871	0.319
1954.96	-5.013	8.785	0.533
1955.12	-5.230	8.689	0.622
1955.29	-5.063	8.706	0.732
1955.46	-4.910	8.755	0.731
1955.62	-4.690	8.869	0.590
1955.79	-4.905	8.831	0.495
1955.96	-5.010	8.682	0.863
1956.12	-5.130	8.689	0.720
1956.29	-5.210	8.706	0.586
1956.46	-5.187	8.774	0.395
1956.62	-4.660	8.932	0.420
1956.79	-4.783	8.855	0.540
1956.96	-4.963	8.763	0.654
1957.12	-5.160	8.707	0.635
1957.29	-5.033	8.682	0.841
1957.46	-5.220	8.779	0.347
1957.62	-4.750	8.839	0.625
1957.79	-4.882	8.800	0.616
1957.96	-4.960	8.714	0.812
1958.12	-4.975	8.730	0.747
1958.29	-5.150	8.710	0.633
1958.46	-5.092	8.800	0.406
1958.62	-4.760	8.922	0.352
1958.79	-4.960	8.809	0.511
1958.96	-4.950	8.739	0.741
1959.12	-5.190	8.793	0.332
1959.29	-5.100	8.845	0.256
1959.46	-4.950	8.800	0.547
1959.62	-4.700	8.864	0.596
1959.79	-4.883	8.794	0.633
1959.96	-4.977	8.729	0.747
1960.12	-4.970	8.678	0.915
1960.29	-5.193	8.770	0.399
1960.46	-5.087	8.792	0.437
1960.62	-4.830	8.867	0.455
1960.79	-4.863	8.768	0.738
1960.96	-4.897	8.752	0.753
1961.12	-5.100	8.755	0.540
1961.29	-5.123	8.769	0.473
1961.46	-4.810	8.802	0.684
1961.62	-4.660	8.852	0.673
1961.79	-4.752	8.840	0.618
1961.96	-4.860	8.762	0.760
1962.12	-4.910	8.689	0.941
1962.29	-4.847	8.764	0.765
1962.46	-4.773	8.840	0.598
1962.62	-4.690	8.916	0.442
1962.79	-4.805	8.796	0.706
1962.96	-4.963	8.689	0.887
1963.12	-5.030	8.696	0.798
1963.29	-5.137	8.669	0.779
1963.46	-4.915	8.794	0.604
1963.62	-4.780	8.904	0.388
1963.79	-4.822	8.864	0.474
1963.96	-4.993	8.778	0.576
1964.12	-5.020	8.695	0.813
1964.29	-4.967	8.687	0.891
1964.46	-4.932	8.777	0.641
1964.62	-4.760	8.952	0.255
1964.79	-4.900	8.826	0.516
1964.96	-5.050	8.738	0.644
1965.12	-5.060	8.684	0.806
1965.29	-5.140	8.658	0.810
1965.46	-5.000	8.792	0.523
1965.62	-4.770	8.910	0.379
1965.79	-4.835	8.778	0.733
1965.96	-4.970	8.680	0.911
1966.12	-5.095	8.595	1.054
1966.29	-5.060	8.699	0.760
1966.46	-4.782	8.777	0.788
1966.62	-4.630	8.831	0.771
1966.79	-4.840	8.810	0.627
1966.96	-4.860	8.769	0.738
1967.12	-4.830	8.722	0.917
1967.29	-4.827	8.822	0.601
1967.46	-4.610	8.900	0.571
1967.62	-4.560	9.000	0.304
1967.79	-4.930	8.950	0.092
1967.96	-5.110	8.942	-0.063
1968.12	-5.090	8.848	0.257
1968.29	-5.010	8.801	0.486
1968.46	-4.735	8.954	0.274
1968.62	-4.630	9.044	0.093
1968.79	-4.950	9.008	-0.111
