# Okinawa Fossil Coral Geochemical Data at 4.4ka and 4.9ka
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/31352
#      Description: NOAA Landing Page
# Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/coral/west_pacific/asami2020/asami2020-nh2.txt
#      Description: NOAA location of the template
#
#
# Data_Type: Corals and Sclerosponges
#
# Dataset_DOI:
#
# Parameter_Keywords: oxygen isotopes, trace metals
#---------------------------------------
# Contribution_Date
#    Date: 2020-09-24
#---------------------------------------
# File_Last_Modified_Date
#    Date: 2020-09-24
#---------------------------------------
# Title
#    Study_Name: Okinawa Fossil Coral Geochemical Data at 4.4ka and 4.9ka
#---------------------------------------
# Investigators
#      Investigators: Asami, R.; Yoshimura, N.; Toriyabe, H.; Minei, S.; Shinjo, R.; Hongo, C.; Sakamaki, T.; Fujita, K.
#---------------------------------------
# Description_Notes_and_Keywords
#        Description: 53-yr, 4-yr, 10-yr, and 9-yr-long bimonthly time series of oxygen isotopes (d18O), Sr/Ca, and U/Ca from 4.4 ka and 4.9 ka corals in Okinawa, Japan
#         Provided Keywords: mid-Holocene, coral, d18O, Sr/Ca, U/Ca, EAM, ENSO
#---------------------------------------
# Publication
# Authors: Asami, R., Yoshimura, N., Toriyabe, H., Minei, S., Shinjo, R., Hogo, C., Sakamaki, T., and Fujita, K.
# Published_Date_or_Year: 2020
# Published_Title: High-Resolution Evidence for Middle Holocene East Asian Winter and Summer Monsoon Variations: Snapshots of Fossil Coral Records
# Journal_Name: Geophysical Research Letters
# Volume: 47
# Edition: 
# Issue: 
# Pages: 
# Report_Number: e2020GL088509
# DOI: 10.1029/2020GL088509
# Online_Resource: 
# Full_Citation: 
# Abstract: We first generated 53-yr, 4-yr, 10-yr, and 9-yr-long bimonthly time series of oxygen isotopes (d18O), Sr/Ca, and U/Ca from 4.4 and 4.9 ka corals in Okinawa, Japan. Results indicate that the mid-Holocene sea surface temperature (SST) and seawater d18O were <1 °C lower and 0.1-0.2 ‰ higher than today. Spectral analyses of reconstructed SST and seawater d18O time series revealed East Asia monsoon (EAM) and El Niño/Southern Oscillation (ENSO) variations. Moreover, the latter had a dominant component of decade-scale hydrologic variations. The Sr/Ca and U/Ca variations with removal of the ENSO component showed larger fluctuations by ~2 °C in winter and ~0.6 °C in summer at 4.4 ka relative to today, demonstrating (slightly) greater influences of the EAM variation on the northwestern subtropical Pacific in winter (summer) at that time, which are probably caused by enhancement of the EAM intensity and/or a southward migration of the latitudinal circulation.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Japan Society for the Promotion of Science (JSPS)
#    Grant: 26550012, 26707028, 18K18522, 25340060, GR083
#---------------------------------------
# Site_Information
# Site_Name: Okinawa Island
# Location: Japan
# Northernmost_Latitude: 26.2237
# Southernmost_Latitude: 26.2237
# Easternmost_Longitude: 127.6767
# Westernmost_Longitude: 127.6767
# Elevation: 2.5
#---------------------------------------
# Data_Collection
#   Collection_Name: NH-2 d18O, trace metals Asami2020
#   First_Year: 4945
#   Last_Year: 4367
#   Time_Unit: cal yr BP
#   Core_Length: 
#   Notes: The respective 14C ages of the top and bottom of the NH-2-C1 sample are 4367 ± 141 and 4425 ± 145 cal. yr BP. The 14C ages of the NH-2-C2 sample is 4917 ± 120 cal. yr BP. Core lengths: 70cm (NH-2-C1), 26cm (NH-2-C2)
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age	age,,,calendar year before present,,Corals and Sclerosponges,,,N,four time series are generated
## d18O_porites	delta 18O,Porites sp.,,per mil PDB,,Corals and Sclerosponges,,isotope ratio mass spectrometry,N,four time series are generated
## Sr/Ca	strontium/calcium,Porites sp.,,millimole per mole,,Corals and Sclerosponges,,inductively-coupled plasma mass spectrometry,N,four time series are generated
## U/Ca	uranium/calcium,Porites sp.,,micromole per mole,,Corals and Sclerosponges,,inductively-coupled plasma mass spectrometry,N,four time series are generated
## source_core	notes,,,,,Corals and Sclerosponges,,,C,source core of sample
#------------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values: -999
age	d18O_porites	Sr/Ca	U/Ca	source_core	
4378.04	-4.78	9.00	1.12	NH-2-C1_upper part	
4378.13	-4.97	8.87	1.08	NH-2-C1_upper part	
4378.21	-4.90	8.96	1.05	NH-2-C1_upper part	
4378.29	-4.76	8.89	1.05	NH-2-C1_upper part	
4378.38	-4.65	8.83	1.08	NH-2-C1_upper part	
4378.50	-4.51	8.98	1.14	NH-2-C1_upper part	
4378.63	-4.26	9.16	1.20	NH-2-C1_upper part	
4378.75	-3.52	9.21	1.33	NH-2-C1_upper part	
4378.88	-3.78	9.28	1.34	NH-2-C1_upper part	
4379.00	-4.15	9.10	1.21	NH-2-C1_upper part	
4379.13	-4.64	8.98	1.10	NH-2-C1_upper part	
4379.25	-4.76	8.91	1.05	NH-2-C1_upper part	
4379.38	-4.81	8.89	1.10	NH-2-C1_upper part	
4379.46	-4.70	8.90	1.10	NH-2-C1_upper part	
4379.54	-4.49	8.95	1.17	NH-2-C1_upper part	
4379.63	-4.31	8.96	1.13	NH-2-C1_upper part	
4379.71	-3.86	9.09	1.28	NH-2-C1_upper part	
4379.79	-3.39	9.28	1.35	NH-2-C1_upper part	
4379.88	-3.44	9.33	1.34	NH-2-C1_upper part	
4380.00	-4.31	9.14	1.22	NH-2-C1_upper part	
4380.13	-4.49	9.12	1.17	NH-2-C1_upper part	
4380.25	-4.63	8.89	1.11	NH-2-C1_upper part	
4380.38	-4.43	8.88	1.08	NH-2-C1_upper part	
4380.54	-4.41	8.90	1.09	NH-2-C1_upper part	
4380.71	-3.96	9.11	1.22	NH-2-C1_upper part	
4380.88	-3.37	9.35	1.43	NH-2-C1_upper part	
4381.04	-3.62	9.19	1.31	NH-2-C1_upper part	
4381.21	-4.25	8.92	1.13	NH-2-C1_upper part	
4381.38	-4.71	8.87	1.07	NH-2-C1_upper part	
4381.48	-4.58	8.96	1.10	NH-2-C1_upper part	
4381.58	-4.68	8.99	1.15	NH-2-C1_upper part	
4381.68	-4.13	9.04	1.26	NH-2-C1_upper part	
4381.78	-3.91	9.27	1.39	NH-2-C1_upper part	
4381.88	-3.53	9.34	1.42	NH-2-C1_upper part	
4381.96	-4.07	9.18	1.27	NH-2-C1_upper part	
4382.04	-4.30	9.16	1.22	NH-2-C1_upper part	
4382.13	-4.61	9.02	1.19	NH-2-C1_upper part	
4382.21	-4.82	8.98	1.18	NH-2-C1_upper part	
4382.29	-4.63	8.96	1.16	NH-2-C1_upper part	
4382.38	-4.68	8.90	1.11	NH-2-C1_upper part	
4382.54	-4.28	9.11	1.21	NH-2-C1_upper part	
4382.71	-3.85	9.20	1.31	NH-2-C1_upper part	
4382.88	-3.44	9.34	1.40	NH-2-C1_upper part	
4382.98	-4.15	9.22	1.27	NH-2-C1_upper part	
4383.08	-4.72	9.03	1.13	NH-2-C1_upper part	
4383.18	-4.85	9.01	1.15	NH-2-C1_upper part	
4383.28	-4.86	8.98	1.11	NH-2-C1_upper part	
4383.38	-4.75	8.95	1.12	NH-2-C1_upper part	
4383.54	-4.34	9.03	1.19	NH-2-C1_upper part	
4383.71	-3.52	9.42	1.43	NH-2-C1_upper part	
4383.88	-3.49	9.45	1.39	NH-2-C1_upper part	
4384.04	-4.38	9.13	1.17	NH-2-C1_upper part	
4384.21	-4.75	8.99	1.10	NH-2-C1_upper part	
4384.38	-4.78	8.99	1.12	NH-2-C1_upper part	
4384.54	-4.12	9.03	1.16	NH-2-C1_upper part	
4384.71	-3.72	9.15	1.28	NH-2-C1_upper part	
4384.88	-3.41	9.42	1.40	NH-2-C1_upper part	
4385.00	-4.42	9.11	1.17	NH-2-C1_upper part	
4385.13	-4.65	9.03	1.13	NH-2-C1_upper part	
4385.25	-4.80	8.95	1.12	NH-2-C1_upper part	
4385.38	-4.78	8.92	1.07	NH-2-C1_upper part	
4385.50	-4.58	8.97	1.09	NH-2-C1_upper part	
4385.63	-4.53	9.00	1.11	NH-2-C1_upper part	
4385.75	-3.81	9.18	1.25	NH-2-C1_upper part	
4385.88	-3.27	9.47	1.43	NH-2-C1_upper part	
4385.98	-4.11	9.22	1.26	NH-2-C1_upper part	
4386.08	-4.41	9.08	1.15	NH-2-C1_upper part	
4386.18	-4.71	8.95	1.11	NH-2-C1_upper part	
4386.28	-4.65	8.97	1.10	NH-2-C1_upper part	
4386.38	-4.50	8.92	1.12	NH-2-C1_upper part	
4386.54	-4.46	8.97	1.11	NH-2-C1_upper part	
4386.71	-3.93	9.13	1.25	NH-2-C1_upper part	
4386.88	-3.34	9.36	1.43	NH-2-C1_upper part	
4387.00	-3.80	9.26	1.31	NH-2-C1_upper part	
4387.13	-4.58	9.05	1.13	NH-2-C1_upper part	
4387.25	-4.66	8.95	1.08	NH-2-C1_upper part	
