# Dominican Republic Late Miocene Fossil Coral Stable Isotope Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22050 
#       Description: 
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/coral/caribbean/cibao2017iso1.txt
#       Description:
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#
# Dataset DOI: 
#
# Parameter_Keywords: oxygen isotopes, carbon isotopes
#--------------------
# Contribution_Date
#	Date: 2017-05-01
#--------------------
# File_Last_Modified_Date
#	Date: 2017-05-01
#--------------------
# Title
#	Study_Name: Dominican Republic Late Miocene Fossil Coral Stable Isotope Data
#--------------------
# Investigators
#	Investigators: Weiss, T.L.; Denniston, R.F.; Wanamaker, A.D. Jr.; Villarini, G.; von der Heydt, A.S.
#--------------------
# Description_Notes_and_Keywords
#	Description: Fossil coral stable isotope (d18O and d13C) data from 2 corallites collected from the Miocene Gurabo Formation, Cibao Valley, Dominican Republic.
#	Raw isotope values by depth for Corallite 1.
#	Provided Keywords: sea surface temperature, Caribbean, ENSO, coral
#--------------------
# Publication 
#	Authors: Thomas L. Weiss, Rhawn F. Denniston, Alan D. Wanamaker, Jr., Gabriele Villarini, and Anna S. von der Heydt 
#	Published_Date_or_Year: 2017-05-01     
#	Published_Title: El Nino-Southern Oscillation-like variability in a late Miocene Caribbean coral 
#	Journal_Name: Geology
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 10.1130/G38796.1
#	Online_Resource: http://geology.gsapubs.org/content/early/2017/05/01/G38796.1.abstract
#	Full_Citation: 
#	Abstract: Reconstructions of Pliocene sea-surface temperature (SST) gradients and thermocline depths suggest that the zonal temperature gradient of the tropical Pacific was distinct from the modern. However, the nature of any El Nino-Southern Oscillation (ENSO) variability superimposed on this mean state is difficult to determine. We developed monthly resolved multidecadal stable isotopic time series from an extremely well preserved central Caribbean coral dating to the Miocene-Pliocene transition, prior to closure of the Central American Seaway (CAS). Paleoceanographic modeling suggests that the flow of water associated with El Nino and La Nina events through the CAS allowed Caribbean corals to record the ENSO-related SST anomalies. Spectral analysis of coral oxygen isotope ratios reveals periodicities similar to modern ENSO signatures, suggesting that ENSO-like variability characterized the Miocene-Pliocene transition. 
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: OCE-1536440
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Petroleum Research Fund
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: Cibao Valley 
#	Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Caribbean Sea>Dominican Republic
#	Country: Dominican Republic
#	Northernmost_Latitude: 19.5
# 	Southernmost_Latitude: 19.5
# 	Easternmost_Longitude: -71.15
# 	Westernmost_Longitude: -71.15
# 	Elevation:  m
#------------------
# Data_Collection   
#	Collection_Name: CibaoCorallite1 
#	Earliest_Year: 5520029
#	Most_Recent_Year: 5520000
#	Time_Unit: Cal. Year BP
#	Core_Length: 
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## depth_um	depth, , , um, , , , ,N,
## d13CVPDB	delta13C, Goniopora hilli, , per mil VPDB, ,corals and sclerosponges, ,isotope ratio mass spectrometry,N,
## d18OVPDB	delta18O, Goniopora hilli, , per mil VPDB, ,corals and sclerosponges, ,isotope ratio mass spectrometry,N,
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
# 
depth_um	d13CVPDB	d18OVPDB
75	0.45	-2.17
150	0.54	-2.14
225	0.57	-1.96
300	0.54	-2.03
375	0.49	-1.95
450	0.34	-1.98
525	0.28	-1.93
600	0.21	-2.11
675	0.04	-2.06
750	-0.16	-2.06
825	-0.32	-2.20
900	-0.46	-2.31
975	-0.35	-2.25
1050	-0.45	-2.41
1125	-0.53	-2.35
1200	-0.33	-2.76
1275	-0.15	-2.37
1350	-0.17	-2.74
1425	0.01	-2.59
1500	-0.08	-2.45
1575	0.10	-2.68
1650	0.20	-2.50
1725	0.26	-2.38
1800	0.15	-2.56
1875	0.24	-2.52
1950	0.25	-2.43
2025	0.34	-2.49
2100	0.37	-2.40
2175	0.32	-2.37
2250	0.26	-2.27
2325	-0.06	-2.42
2400	-0.02	-2.43
2475	-0.31	-2.46
2550	-0.29	-2.51
2625	-0.31	-2.53
2700	-0.34	-2.58
2775	-0.17	-2.56
2850	-0.24	-2.42
2925	-0.30	-2.82
3000	-0.21	-2.71
3075	-0.26	-2.66
3150	-0.24	-2.60
3225	-0.22	-2.58
3300	-0.11	-2.41
3375	-0.11	-2.44
3450	-0.02	-2.41
3525	-0.07	-2.45
3600	-0.02	-2.33
3675	0.11	-2.39
3750	0.00	-2.32
3825	0.09	-2.47
3900	0.35	-2.35
3975	0.29	-2.46
4050	0.35	-2.27
4125	0.29	-2.46
4200	0.19	-2.34
4275	0.18	-2.42
4350	0.16	-2.19
4425	-0.27	-2.37
4500	-0.54	-2.40
4575	-0.84	-2.65
4650	-1.03	-2.32
4725	-0.80	-2.61
4800	-0.85	-2.58
4875	-0.52	-2.56
4950	-0.35	-2.53
5025	-0.42	-2.62
5100	-0.23	-2.51
5175	-0.21	-2.58
5250	-0.24	-2.62
5325	-0.11	-2.60
5400	-0.21	-2.65
5475	-0.02	-2.25
5550	-0.07	-2.30
5625	-0.30	-2.62
5700	-0.24	-2.37
5775	-0.35	-2.49
5850	-0.42	-2.43
5925	-0.02	-2.26
6000	-0.19	-2.52
6075	-0.09	-2.63
6150	-0.19	-2.61
6225	-0.21	-2.65
6300	-0.27	-2.64
6375	-0.33	-2.69
6450	-0.37	-2.53
6525	-0.30	-2.56
6600	-0.30	-2.57
6675	-0.21	-2.55
6750	-0.16	-2.62
6825	-0.18	-2.65
6900	0.01	-2.53
6975	-0.07	-2.62
7050	0.01	-2.55
7125	0.03	-2.64
7200	0.07	-2.57
7275	-0.01	-2.63
7350	0.08	-2.53
7425	0.04	-2.48
7500	0.05	-2.65
7575	0.09	-2.72
7650	0.12	-2.49
7725	0.10	-2.45
7800	0.09	-2.48
7875	0.19	-2.38
7950	0.20	-2.37
8025	0.18	-2.33
8100	0.18	-2.31
8175	0.11	-2.33
8250	0.01	-2.43
8325	0.15	-2.32
8400	0.01	-2.39
8475	-0.04	-2.38
8550	-0.07	-2.44
8625	-0.06	-2.42
8700	-0.15	-2.32
8775	-0.19	-2.34
8850	-0.26	-2.51
8925	-0.35	-2.64
9000	-0.36	-2.68
9350	-0.32	-2.86
9500	-0.28	-2.74
9650	0.00	-2.80
9800	0.04	-2.70
9950	0.05	-2.71
10100	0.27	-2.45
10250	0.15	-2.60
10400	0.20	-2.54
10550	0.14	-2.44
10700	-0.40	-2.38
10850	-0.66	-2.48
11000	-0.87	-2.53
11150	-0.82	-2.73
11300	-0.73	-2.70
11450	-0.57	-2.82
11600	-0.33	-2.82
11750	-0.46	-2.83
11900	-0.60	-2.76
12050	-0.36	-2.65
12200	-0.21	-2.62
12350	-0.11	-2.68
12500	-0.13	-2.53
12650	-0.24	-2.60
12800	-0.32	-2.48
12950	-0.67	-2.45
13100	-0.81	-2.45
13250	-0.93	-2.61
13400	-0.93	-2.70
13550	-0.65	-2.79
13700	-0.50	-2.72
13850	-0.38	-2.82
14000	0.12	-2.52
14150	0.08	-2.61
14300	0.17	-2.55
14450	0.15	-2.45
14600	0.20	-2.45
14750	0.25	-2.52
14900	0.31	-2.26
15050	-0.11	-2.34
15200	-0.25	-2.16
15350	-0.38	-2.20
15500	-0.43	-2.31
15650	-0.29	-2.30
15800	-0.31	-2.55
15950	-0.19	-2.70
16100	-0.14	-2.56
