# Mesoamerican Orbicella faveolata stable isotope records 1922-2006 AD
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/17378
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/caribbean/carilli2013/carilli2013-smf-1.txt
#
# Archive: Corals and Sclerosponges
#---------------------------------------
# Contribution_Date
#    Date: 2014-10-30
#---------------------------------------
# Title
#    Study_Name: Mesoamerican Orbicella faveolata stable isotope records 1922-2006 AD
#---------------------------------------
# Investigators
#      Investigators: Carilli, J.E.; Charles, C.D.; Garren, M.; McField, M.; Norris, R.D.
#---------------------------------------
# Description and Notes
#        Description: Errors: d18O Orbicella faveolata = 0.11 per mil, d13C 0.066 per mil. 
#---------------------------------------
# Publication
# Authors: Carilli, J.E., C.D. Charles, M. Garren, M. McField, and R.D. Norris
# Published_Date_or_Year: 2013
# Published_Title: Baseline shifts in coral skeletal oxygen isotopic composition: a signature of symbiont shuffling? 
# Journal_Name: Coral Reefs
# Volume: 32
# Issue: 2
# Pages: 559-571
# Report Number: 
# DOI: 10.1007/s00338-012-1004-y
# Abstract: Decades-long records of the stable isotopic composition of coral skeletal cores were analyzed from four sites on the Mesoamerican Reef. Two of the sites exhibited baseline shifts in oxygen isotopic composition after known coral bleaching events. Changes in pH at the calcification site caused by a change in the associated symbiont community are invoked to explain the observed shift in the isotopic composition. To test the hypothesis that changes in symbiont clade could affect skeletal chemistry, additional coral samples were collected from Belize for paired Symbiodinium identification and skeletal stable isotopic analysis. We found some evidence that skeletal stable isotopic composition may be affected by symbiont clade and suggest this is an important topic for future investigation. If different Symbiodinium clades leave consistent signatures in skeletal geochemical composition, the signature will provide a method to quantify past symbiont shuffling events, important for understanding how corals are likely to respond to climate change.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Mia Tegner Memorial Grant
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: B. Katz private donor
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Anonymous donors
#    Grant: 
#---------------------------------------
# Site Information
# Site_Name: Frank's Caye, NE Buoy, Sapodilla Cayes
# Location: Caribbean
# Country: Belize
# Northernmost_Latitude: 16.129167
# Southernmost_Latitude: 16.129167
# Easternmost_Longitude: -88.249722
# Westernmost_Longitude: -88.249722
# Elevation: -11.8
#---------------------------------------
# Data_Collection
#   Collection_Name: SMF-1 Isotopes Ca13
#   First_Year: 1940
#   Last_Year: 2006
#   Time_Unit: years AD
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Species
#	Species_Name: Orbicella faveolata
#	Common_Name: 
#------------------
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_AD  Age,,,years AD,,,,,N
## d18Oo.fave  delta 18O,Orbicella faveolata,,per mil VPDB,,corals and sclerosponges,,analytical technique: isotope ratio mass spectrometry,N
## d13Co.fave  delta 13C,Orbicella faveolata,,per mil VPDB,,corals and sclerosponges,,analytical technique: isotope ratio mass spectrometry,N
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: -999
age_AD	d18Oo.fave	d13Co.fave	
1940.37	-3.937	-0.714
1940.50	-4.141	-0.797
1940.63	-4.247	-0.734
1940.75	-4.283	-1.959
1940.88	-4.309	-1.519
1941.01	-4.116	-1.12
1941.13	-4.052	-0.285
1941.50	-4.476	-1.214
1941.62	-4.067	0.382
1941.88	-4.244	-1.635
1942.13	-3.656	0.173
1942.25	-4.509	-1.059
1942.37	-4.08	-0.53
1942.62	-4.361	-1.242
1943.09	-3.916	-0.23
1943.25	-4.427	-0.787
1943.58	-4.034	0.179
1943.75	-4.658	-1.828
1943.87	-4.393	-1.532
1944.00	-3.924	-1.06
1944.13	-3.802	-0.399
1944.25	-3.744	-0.256
1944.37	-4.542	-1.237
1944.50	-4.538	0.677
1944.63	-4.457	1.091
1944.75	-3.896	-1.505
1944.92	-3.866	-0.528
1945.25	-4.314	-0.563
1945.42	-3.838	0.195
1945.59	-3.97	-0.008
1946.04	-3.995	-0.988
1946.23	-4.211	-1.469
1946.43	-4.271	-1.35
1946.63	-3.784	0.22
1946.75	-4.128	-1.839
1946.88	-3.948	-1.579
1947.13	-4.283	-1.277
1947.25	-4.281	-1.265
1947.50	-4.024	-1.052
1947.62	-4.033	-2.079
1947.75	-3.892	-2.061
1947.86	-3.849	-1.418
1947.97	-4.016	-1.36
1948.19	-4.168	-1.572
1948.42	-4.074	-1.734
1948.53	-3.656	-0.155
1948.64	-4.013	-0.925
1948.86	-3.694	-0.166
1948.97	-3.86	-0.662
1949.09	-3.681	-0.296
1949.19	-4.152	-0.293
1949.30	-3.911	-0.929
1949.42	-3.618	0.284
1949.53	-3.805	-0.539
1949.75	-4.055	-2.134
1949.88	-4.079	-1.581
1950.01	-3.683	-0.049
1950.13	-3.912	-0.277
1950.25	-4.341	-0.891
1950.37	-3.953	-0.217
1950.50	-3.594	-0.08
1950.62	-3.709	-0.979
1950.75	-3.702	-1.126
1950.92	-3.751	-0.788
1951.09	-4.15	-1.049
1951.25	-4.21	-0.475
1951.42	-4.161	-0.826
1951.58	-3.861	-0.361
1951.75	-4.327	-1.531
1951.88	-4.064	-1.681
1952.00	-3.597	-0.278
1952.13	-3.739	-0.146
1952.25	-3.737	-0.184
1952.37	-4.144	-1.32
1952.50	-3.832	-0.44
1952.63	-3.957	-0.647
1952.75	-3.782	-1.25
1952.86	-3.599	-1.315
1952.95	-3.694	-1.007
1953.06	-3.787	-0.27
1953.26	-4.103	-1.121
1953.35	-4.277	-2.002
1953.46	-4.31	-1.611
1953.56	-3.967	-0.213
1953.66	-3.999	-1.154
1953.75	-3.986	-1.959
1953.89	-3.721	-0.664
1954.03	-3.987	-0.659
1954.31	-4.403	-0.969
1954.46	-4.157	-0.843
1954.60	-4.278	-1.09
1954.75	-4.025	-1.81
1954.92	-3.664	-0.966
1955.09	-3.475	0.423
1955.25	-3.637	0.047
1955.42	-3.712	-1.222
1955.58	-3.861	-0.881
1955.75	-4.269	-1.909
1956.03	-3.643	-0.332
1956.23	-3.854	-0.395
1956.43	-3.994	-0.906
1956.63	-4.12	-0.943
1956.75	-3.998	-0.936
1956.86	-3.888	-0.153
1956.97	-3.561	-0.03
1957.09	-3.857	-1.428
1957.19	-3.396	-0.554
1957.30	-3.489	-0.221
1957.42	-3.762	-0.964
1957.53	-3.824	-0.626
1957.64	-3.897	-0.387
1957.75	-4.295	-1.543
1957.88	-4.056	-1.823
1958.01	-3.936	-1.606
1958.25	-3.522	-1.369
1958.37	-3.812	-0.734
1958.50	-3.684	-0.037
1958.62	-4.184	1.19
1958.75	-4.311	-1.637
1958.92	-3.628	-0.529
1959.09	-3.699	-0.422
