﻿# Palmyra Island Coral 110 Year Sr/Ca SST and d18Osw
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/10373
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/palmyra2011.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2011-02-01
#--------------------
# Title
#	Study_Name: Palmyra Island Coral 110 Year Sr/Ca SST and d18Osw 
#--------------------
# Investigators
#       Investigators: Nurhati, I.S.; Cobb, K.M.; Di Lorenzo, E.
#--------------------
# Description_and_Notes
#	Description: This dataset contains coral-derived sea-surface temperature (SST, via Sr/Ca) and salinity (SSS, via the oxygen isotopic composition of seawater or d18Osw) reconstructions from Palmyra Island of the Line Islands chain in the central tropical Pacific, for the period 1886-1998. Cobb et al. [2001] presented the century-long coral oxygen isotopic (d18O) record from Palmyra, and here we present the century-long Sr/Ca and d18Osw records from Palmyra. The late 20th century portion of the Sr/Ca and d18Osw records was presented in Nurhati et al.[2009]. We measured coral d18O values on a GV Isoprime-Multiprep mass spectrometer with an analytical precision of ± 0.05‰ (1sigma), and Sr/Ca ratios with a Jobin Yvon Ultima 2C Inductively Coupled Plasma-Optical Emission Spectrometer (ICP-OES) with an analytical precision of ± 0.07% or ± 0.006 mmol/mol(1s) using the nearest-neighbor correction method from Schrag [1999]. We used the monthly 1ºx1º IGOSS SST dataset [Reynolds et al., 2002] to calibrate Sr/Ca ratios via reduced major axis regression, where (SST)palm = 130.43 – 11.39 x (Sr/Ca)palm (Nov 1981-Mar 1998; R=-0.71; CI > 99%). We derive the oxygen isotopic composition of seawater (d18Osw) by subtracting the Sr/Ca-derived SST contribution from coral d18O following the method outlined in Ren et al. [2003]. Fairbanks et al. [1997] find an empirical linear relationship between d18Osw and SSS in the central tropical Pacific, so we use the d18Osw records to reconstruct SSS variability associated with changes in the hydrological balance. Note- Coral d18O data has been previously published by Cobb et el. (2001). Sr/Ca data from 1981-1998 was used for the Sr/Ca-SST calibration. Coral d18O, Sr/Ca-derived SST and d18Osw data from 1886 to 1998 were used in the trend calculations reported in the paper.
#--------------------
# Publication 
#       Authors: Nurhati, I.S., K.M. Cobb, and E. Di Lorenzo
#       Published_Date_or_Year: 2011-07-01      
#       Published_Title:  Decadal-scale SST and Salinity Variations in the Central Tropical Pacific: Signatures of Natural and Anthropogenic Climate Change 
#       Journal_Name: Journal of Climate
#       Volume: 24
#       Edition: 
#       Issue: 13
#       Pages: 3294-3308
#       DOI: 10.1175/2011JCLI3852.1
#       Online_Resource: 
#       Full_Citation:
#       Abstract: Accurate projections of future temperature and precipitation patterns in many regions of the world depend on quantifying anthropogenic signatures in tropical Pacific climate against its rich background of natural variability. However, the detection of anthropogenic signatures in the region is hampered by the lack of continuous, century-long instrumental climate records. This study presents coral-based sea-surface temperature (SST) and salinity proxy records from Palmyra Island in the central tropical Pacific over the 20th century, based on coral Sr/Ca and the oxygen isotopic composition of seawater (d18OSW), respectively. On interannual timescales, the Sr/Ca-based SST record captures both eastern- and central- Pacific warming "flavors" of El Nino-Southern Oscillation (ENSO) variability (R=0.65 and 0.67, respectively). On decadal timescales, the SST proxy record is highly correlated to the North Pacific Gyre Oscillation (NPGO; R=-0.85), reflecting strong dynamical links between the central Pacific warming mode and extratropical decadal climate variability. Decadal-scale salinity variations implied by the coral-based d18OSW record are significantly correlated with the Pacific Decadal Oscillation (PDO; R=0.54). The salinity proxy record is dominated by an unprecedented trend towards lighter d18OSW values since the mid-20th century, implying that a significant freshening has taken place in the region, in line with climate model projections showing enhanced hydrological patterns under greenhouse forcing. Taken together, the new coral records suggest that low-frequency SST and salinity variations in the central tropical Pacific are controlled by different sets of dynamics, and that recent hydrological trends in this region may be related to anthropogenic climate change. 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Palmyra Island, Central Pacific
#       Location: Ocean>Pacific Ocean>Central Pacific Ocean
#	Country: United States 
#	Northernmost_Latitude: 5.87
# 	Southernmost_Latitude: 5.87
# 	Easternmost_Longitude: -162.13
# 	Westernmost_Longitude: -162.13
# 	Elevation: -10 m 
#------------------
# Data_Collection   
#	Collection_Name: 11cpac01a
#	Earliest_Year: 1886
#	Most_Recent_Year: 1998
#	Time_Unit: AD
#	Core_Length: 3 m
#	Notes:   +/- .05 PPM precision on delta18O values and +/- .006 mmol/mol precision on Sr/Ca values and +/- .3 precision on age values. Prevous name- Palmyra2011Poritesd18O_Sr_Ca
#------------------
# Species 
#	Species_Name: Porites lutea 
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
#  
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Porites lutea, ,permil,,Corals and Sclerosponges, ,GV Isoprime-Multiprep mass spectrometer,N
##Sr/Ca	Strontium/Calcium, Porites lutea, ,mmol/mol, ,Corals and Sclerosponges, ,Jobin Yvon Ultima 2C Inductively Coupled Plasma-Optical Emission Spectrometer,N
##sst	sea surface temperature, , , degrees Celsius, ,Climate Reconstructions, , ,N
##d18O_sw	delta 18O, sea water, ,permil, ,Climate Reconstructions, , coral d18O and Sr/Ca,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O	Sr/Ca	sst	d18O_sw
1987.04	-5.25	9.00	27.89	0.37
1986.96	-5.27	9.01	27.86	0.34
1986.88	-5.61	8.98	28.20	0.07
1986.79	-5.61	8.89	29.19	0.28
1986.71	-5.57	8.95	28.51	0.18
1986.63	-5.56	8.93	28.75	0.24
1986.54	-5.33	8.96	28.39	0.39
1986.46	-5.35	9.01	27.82	0.25
1986.38	-5.07	9.03	27.63	0.49
1986.29	-5.02	9.04	27.53	0.52
1986.21	-5.01	9.08	27.08	0.44
1986.13	-4.91	9.06	27.23	0.57
1986.04	-4.78	9.02	27.71	0.80
1985.96	-4.96	8.98	28.16	0.71
1985.88	-5.21	8.93	28.69	0.57
1985.79	-5.25	8.94	28.62	0.52
1985.71	-5.13	8.94	28.57	0.63
1985.63	-5.05	8.91	28.96	0.79
1985.54	-5.08	8.93	28.73	0.71
1985.46	-4.98	9.00	27.96	0.65
1985.38	-4.95	8.96	28.35	0.76
1985.29	-4.91	9.00	27.89	0.71
1985.21	-4.89	9.04	27.53	0.65
1985.13	-4.83	9.04	27.50	0.70
1985.04	-4.79	8.99	28.09	0.87
1984.96	-4.91	9.03	27.65	0.66
1984.88	-4.94	9.03	27.59	0.61
1984.79	-5.00	8.96	28.39	0.72
1984.71	-4.95	8.98	28.16	0.72
1984.63	-5.00	9.01	27.86	0.61
1984.54	-5.00	9.00	27.97	0.63
1984.46	-4.93	9.04	27.48	0.60
1984.38	-4.88	9.04	27.48	0.65
1984.29	-4.78	9.03	27.58	0.77
1984.21	-4.83	9.06	27.25	0.65
1984.13	-4.80	9.10	26.80	0.59
1984.04	-4.82	9.04	27.52	0.72
1983.96	-4.77	9.03	27.64	0.79
1983.88	-4.90	8.98	28.18	0.78
1983.79	-4.94	9.05	27.34	0.56
1983.71	-5.14	8.99	28.09	0.52
1983.63	-4.95	9.02	27.71	0.63
1983.54	-5.00	8.96	28.39	0.72
1983.46	-5.30	8.90	29.04	0.56
1983.38	-5.09	8.93	28.79	0.72
1983.29	-5.08	8.91	28.96	0.76
1983.21	-5.00	8.92	28.85	0.82
1983.13	-5.03	8.96	28.44	0.70
1983.04	-5.08	8.92	28.85	0.74
1982.96	-4.96	8.93	28.73	0.83
1982.88	-5.04	8.93	28.76	0.76
1982.79	-5.05	8.92	28.82	0.76
1982.71	-5.24	8.87	29.44	0.70
1982.63	-5.41	8.84	29.76	0.60
1982.54	-5.29	8.86	29.59	0.68
1982.46	-5.26	8.86	29.53	0.70
1982.38	-5.17	8.92	28.85	0.65
1982.29	-5.08	9.02	27.71	0.50
1982.21	-4.93	8.97	28.24	0.76
1982.13	-4.99	8.96	28.39	0.73
1982.04	-4.92	8.98	28.16	0.75
1981.96	-5.04	8.98	28.19	0.64
1981.88	-5.11	8.96	28.42	0.62
1981.79	-5.10	8.94	28.58	0.66
1981.71	-5.12	8.92	28.89	0.71
1981.63	-5.17	8.92	28.85	0.65
1981.54	-5.16	8.93	28.70	0.63
1981.46	-5.00	8.98	28.16	0.67
1981.38	-5.01	9.00	27.90	0.61
1981.29	-4.95	8.99	28.00	0.69
1981.21	-4.93	9.05	27.37	0.58
1981.13	-4.87	9.05	27.33	0.63
1981.04	-4.88	9.03	27.59	0.67
1980.96	-4.95	8.94	28.62	0.82
1980.88	-4.98	8.96	28.39	0.74
1980.79	-5.08	8.97	28.23	0.61
1980.71	-5.24	8.92	28.82	0.57
1980.63	-5.42	8.92	28.85	0.40
1980.54	-5.29	8.96	28.35	0.42
1980.46	-5.15	8.97	28.28	0.55
1980.38	-5.05	8.89	29.21	0.84
1980.29	-5.14	8.90	29.08	0.72
1980.21	-5.05	8.99	28.05	0.60
1980.13	-5.08	8.97	28.28	0.62
1980.04	-5.05	8.96	28.39	0.67
1979.96	-5.08	8.96	28.39	0.64
1979.88	-5.15	8.96	28.39	0.57
1979.79	-5.12	8.95	28.48	0.62
1979.71	-5.19	8.94	28.61	0.58
1979.63	-5.31	8.95	28.51	0.44
1979.54	-5.20	8.99	28.05	0.45
1979.46	-5.11	9.03	27.62	0.45
1979.38	-5.04	8.98	28.16	0.63
1979.29	-5.11	8.94	28.68	0.67
1979.21	-4.98	8.97	28.28	0.72
1979.13	-4.88	9.01	27.82	0.72
1979.04	-4.89	9.01	27.78	0.70
1978.96	-4.81	9.03	27.59	0.74
1978.88	-4.86	8.97	28.28	0.84
1978.79	-5.01	9.04	27.48	0.52
1978.71	-5.08	9.00	27.90	0.54
1978.63	-5.09	8.96	28.35	0.62
1978.54	-5.15	8.95	28.51	0.60
1978.46	-4.96	8.99	28.05	0.69
1978.38	-4.96	8.95	28.48	0.78
1978.29	-4.92	9.00	27.94	0.71
1978.21	-4.89	9.03	27.65	0.68
1978.13	-4.85	9.04	27.51	0.69
1978.04	-4.84	9.01	27.82	0.76
1977.96	-4.89	8.97	28.23	0.80
1977.88	-4.98	8.96	28.38	0.74
1977.79	-5.11	8.93	28.68	0.67
1977.71	-5.15	8.96	28.35	0.56
1977.63	-5.10	8.98	28.16	0.57
1977.54	-5.09	8.94	28.59	0.67
1977.46	-5.00	8.94	28.65	0.78
1977.38	-4.91	8.96	28.39	0.81
1977.29	-4.85	8.96	28.39	0.87
1977.21	-4.83	9.06	27.25	0.65
1977.13	-4.85	9.03	27.64	0.71
1977.04	-4.79	8.99	28.05	0.86
1976.96	-4.94	9.01	27.86	0.67
1976.88	-5.06	9.00	27.89	0.56
1976.79	-5.25	8.97	28.34	0.46
1976.71	-5.39	8.97	28.28	0.31
1976.63	-5.43	8.92	28.85	0.39
1976.54	-5.24	8.96	28.39	0.48
1976.46	-5.18	9.02	27.69	0.39
1976.38	-4.87	9.01	27.85	0.74
1976.29	-4.69	9.06	27.31	0.80
1976.21	-4.75	9.08	27.03	0.68
1976.13	-4.59	9.17	26.00	0.63
1976.04	-4.57	9.16	26.11	0.67
1975.96	-4.63	9.15	26.24	0.64
1975.88	-4.68	9.09	26.95	0.74
