# Modern and Holocene Stable Isotope and Trace Element Records from Pacific Panama
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/17915
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/toth2015/toth2015-mod.txt
#
# Archive: Corals and Sclerosponges
#---------------------------------------
# Contribution_Date
#    Date: 2015-01-09
#---------------------------------------
# Title
#    Study_Name: Modern and Holocene Stable Isotope and Trace Element Records from Pacific Panama
#---------------------------------------
# Investigators
#      Investigators: Toth, Lauren T.; Aronson, Richard B.; Cobb, Kim M.; Cheng, H.; Edwards, R. Lawrence; Grothe, Pamela R.; Sayani, Hussein R. 
#---------------------------------------
# Description and Notes
#        Description: In this study we investigated the long-term impacts of environmental variability on coral physiology and reef development in the TEP to ascertain the climatic, oceanographic, and biotic controls on ecosystem state in the past. We quantified the range of environmental conditions that corals experienced during the past ~6750 years to determine if significant changes in climate or oceanography were associated with changes in coral physiology or reef accretion. Our paleoclimatic reconstructions are based on temperature calibrations for Sr/Ca and oxygen isotopes (d18O) using modern Pocillopora damicornis colonies from Contadora. We measured bulk geochemistry from Pocillopora coral skeletons in the core to to reconstruct (i) paleotemperature and paleosalinity from Sr/Ca and d18O, (ii) oceanic paleoproductivity (upwelling) primarily from the local reservoir correction DeltaR (=Delta14C), and to a lesser extent Ba/Ca, and (iii) coral physiology from d13C and B/Ca.
#          Provided Keywords: coral; stable isotope
#---------------------------------------
# Publication
# Authors: Toth, L.T., R.B. Aronson, K.M. Cobb, H. Cheng, R.L. Edwards, P.R. Grothe, and H.R. Sayani
# Published_Date_or_Year: 2015
# Published_Title: Climatic and biotic thresholds of coral-reef shutdown
# Journal_Name: Nature Climate Change
# Volume: in press
# Issue: 
# Pages: 
# Report Number: 
# DOI: 
# Abstract: Climate change is now the leading cause of coral-reef degradation and is altering the adaptive landscape of coral populations. Increasing sea temperatures and declining carbonate saturation states are inhibiting short-term rates of coral calcification, carbonate precipitation, and submarine cementation. A critical challenge to coral-reef conservation is understanding the mechanisms by which environmental perturbations scale up to influence long-term rates of reef-framework construction and ecosystem function. Here we reconstruct climatic and oceanographic variability using corals sampled from a 6750-year core from Pacific Panamá. Simultaneous reconstructions of coral paleophysiology and reef accretion allowed us to identify the climatic and biotic thresholds associated with a 2500-year hiatus in vertical accretion beginning ~4100 years ago.  Stronger upwelling, cooler sea temperatures and greater precipitation—indicators of La Niña-like conditions—were closely associated with abrupt reef-shutdown. The physiological condition of the corals deteriorated at the onset of the hiatus, corroborating theoretical predictions that the tipping points of radical ecosystem transitions should be manifested sublethally in the biotic constituents. Future climate change could cause similar threshold behaviors, leading to another shutdown in reef development in the tropical eastern Pacific.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Smithsonian Marine Science Network
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Geological Society of America Student Research Grant
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Lerner-Gray Marine Research Grant
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: National Science Foundation of China
#    Grant: 41230524
#---------------------------------------
# Site Information
# Site_Name: Playa Larga Reef, Contadora Island
# Location: Eastern Pacific Ocean
# Country: Panama
# Northernmost_Latitude:  8.634317
# Southernmost_Latitude:  8.631953
# Easternmost_Longitude:  -79.028758
# Westernmost_Longitude:  -79.029478
# Elevation: -4 
#---------------------------------------
# Data_Collection
#   Collection_Name: EP09-28 d18Osw Toth15
#   First_Year: 2006
#   Last_Year: 2010
#   Time_Unit: AD
#   Core_Length: 2.68m
#   Notes: 
#---------------------------------------
# Species
#   Species_Name: Pocillopora spp.
#   Common_Name: 
#---------------------------------------
# Chronology: 
# U/Th-based chronology of core EP09-28 from ICP-MS. All dated corals were Pocillopora spp. d234U = ([234U/238U]activity – 1)x1000.  ** d234Uinitial was 
# Sample_no  Sample number of dated coral  
# Depth_in_core  Depth of sample in core (cm)  
# 238U  Measured 238U (ppb)  
# 238U_error  Error in measured 238U (2s)  
# 232T  Measured 232Th (ppt)  
# 232T_error  Error in measured 232Th (2s)  
# 230Th_232Th  230Th/232Th (atomic x 10-6)  
# 230Th_232Th_error  Error in 230Th/232Th (2s)  
# d234U  Measured d234U calculated as d234U = ([234U/238U]activity – 1)x1000  
# d234U_error  Error in measured d234U (2s)  
# 230Th_238U  230Th/238U activity  
# 230Th_238U_error  Error in 230Th/238U activity (2s)  
# 230Th_age_uncorrected  Uncorrected 230Th age (yr)  
# 230Th_age_uncorrected_error  Error in uncorrected 230Th age (2s)  
# 230Th_age_corrected  Corrected 230Th age (yr BP) assuming an initial 230Th/232Th atomic ratio of 4.4 ±2.2x10-6. Those are the values for a material at secular equilibrium, with the bulk-earth 232Th/238U value of 3.8.  
# 230Th_age_corrected_error  Error in corrected 230Th age (2s)  
# d234U_initial  Initial d234U calculated based on 230Th age (Th), i.e., d234Uinitial = d234Umeasured x e?234xTh  
# d234U_initial_error  Error in initial d234U (2s)  
# Cal_230Th  Calibrated 230 Th age in years before present (yr BP) where present is 1950  
# Cal_230Th_errror  Error in  calibrated 230Th age (2s)  
# notes  Notes  
# 
# Sample_no  Depth_in_core  238U  238U_error  232T  232T_error  230Th_232Th  230Th_232Th_error  d234U  d234U_error  230Th_238U  230Th_238U_error  230Th_age_uncorrected  230Th_age_uncorrected_error  230Th_age_corrected  230Th_age_corrected_error  d234U_initial  d234U_initial_error  Cal_230Th  Cal_230Th_errror  notes  
# C-49  33  2435  3  1493  30  1493  30  146  1.5  0.0065  0.0001  619  10  603  15  146  1  540  15  NaN  
# C-40  42.5  2330  2  39  4  8916  1006  144.8  1.4  0.0089  0.0001  855  11  855  11  145  1  793  11  NaN  
# C-24  61  3044  4  633  13  918  19  145.2  1.6  0.0116  0.0001  1107  6  1102  7  146  2  1039  7  NaN  
# C-53  76  2366  2  54  5  11049  1011  144.6  1.5  0.0152  0.0001  1454  13  1454  13  145  1  1392  13  there was a prolonged hiatus in reef-framework deposition between 3793 cal BP and 1392 cal BP.   
# C-561  98  2252  3  354  9  4910  131  142.7  2.1  0.0469  0.0002  4563  22  4559  22  145  2  4497  22  not included in final age model  
# C-124  99.5  2840  3  2525  51  742  15  144.2  1.6  0.04  0.0002  3878  16  3856  22  146  2  3793  22  NaN  
# C-62  107  2137  2  70  7  23176  2321  143.2  1.7  0.046  0.0002  4475  23  4474  23  145  2  4412  23  NaN  
# C-77  125  2312  2  84  6  21767  1557  142  1.6  0.0479  0.0002  4670  21  4669  21  144  2  4607  21  NaN  
# C-91  144  2543  7  317  8  6339  173  141.8  2.8  0.048  0.0003  4678  33  4675  34  144  3  4613  34  NaN  
# C-1012  171  2568  6  123  5  17852  784  142.6  2.2  0.052  0.0003  5075  33  5074  33  145  2  5012  33  not included in final age model  
# C-101  171  2730  3  2604  52  880  18  144.2  1.6  0.0509  0.0001  4957  15  4933  23  146  2  4870  23  NaN  
# C-106  181  3046  3  668  15  3904  84  144.8  1.3  0.0506  0.0002  4925  17  4920  18  147  1  4857  18  NaN  
# C-118  204  2781  3  1531  31  1537  31  144.2  1.7  0.0513  0.0001  5000  16  4986  19  146  2  4923  19  NaN  
# 785a  205  2595  3  541  11  4186  88  144.4  1.9  0.053  0.0002  5161  26  5156  27  146  2  5096  27  NaN  
# C-11  230  2644  3  229  6  10092  273  144.7  1.7  0.0531  0.0001  5174  17  5171  17  147  2  5109  17  NaN  
# 835a  253  2326  6  585  13  4553  99  142.2  1.3  0.0694  0.0003  6829  35  6823  35  145  2  6761  35  NaN  
# 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## Coral_ID  Coral ID,,,,,,,,C
## Depth_in_coral  Depth in core,,,mm,,,,,N
## d18Osw-pocil.sp  d18O,seawater using Pocillopora spp. coral,,per mil,,Corals and Sclerosponges,,analytical technique: isotope ratio mass spectrometry,N
## rain-seas.in  average seasonal rainfall,instrumental,,mm,,Corals and Sclerosponges,smooth: 1-week mean,,N
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: -999
Coral_ID	age_date-est	d18O-pocil.sp	rainfall-in
CL-4	4/1/2006	-0.5546	17.5
CL-4	5/1/2006	-0.0485	33.3333
CL-4	6/1/2006	0.285	71.3333
CL-4	7/1/2006	0.0109	159.8333
CL-4	8/1/2006	-0.1128	231.7
CL-4	9/1/2006	0.2075	221.4667
CL-4	10/1/2006	0.1763	197.8
CL-4	11/1/2006	-0.2226	189.1
CL-4	12/1/2006	-0.2639	231.5667
CL-4	1/1/2007	0.046	161.8
CL-4	2/1/2007	0.2229	81.9667
CL-4	3/1/2007	0.1547	6.7667
CL-4	4/1/2007	0.6522	43.2
CL-4	5/1/2007	0.0918	184.5333
CL-4	6/1/2007	-0.4018	224
CL-4	8/1/2007	-0.5076	169.3333
CL-4	9/1/2007	-0.5935	175.3333
CL-4	10/1/2007	-0.3356	211.6667
CL-4	11/1/2007	-0.8673	208.6667
CL-4	12/1/2007	-0.7337	226
CL-4	1/1/2008	-0.2627	151.3333
CL-4	2/1/2008	-0.1152	91.6667
CL-4	3/1/2008	0.2812	29
CL-4	4/1/2008	0.2237	20
CL-4	5/1/2008	-0.2875	43
