# Houbihu, southern Taiwan Porites Sr/Ca and d18O data from 1788 to 2013
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/29412
#      Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/ramos2020/ramos2020-monthly.txt
#      Description: NOAA location of the template
#
# Data_Type: Corals and Sclerosponges
#
# Dataset_DOI:
#
# Parameter_Keywords: trace metals, oxygen isotopes
#---------------------------------------
# Contribution_Date
#    Date: 2020-04-08
#---------------------------------------
# File_Last_Modified_Date
#    Date: 2020-04-08
#---------------------------------------
# Title
#    Study_Name: Houbihu, southern Taiwan Porites Sr/Ca and d18O data from 1788 to 2013
#---------------------------------------
# Investigators
#      Investigators: Ramos, Riovie; Goodkin, Nathalie; Fan, Tung-Yung
#---------------------------------------
# Description_Notes_and_Keywords
#        Description: Monthly paired Porites Sr/Ca and d18O measurements
#---------------------------------------
# Publication
# Authors: Ramos, R.D., N.F. Goodkin, and T.-Y. Fan
# Published_Date_or_Year: 2020
# Published_Title: Coral records at the northern edge of the Western Pacific Warm Pool reveal multiple drivers of sea surface temperature, salinity, and rainfall variability since the end of the Little Ice Age
# Journal_Name: Paleoceanography and Paleoclimatology
# Volume: 
# Edition: 
# Issue: 
# Pages: 
# Report_Number: 
# DOI: 
# Online_Resource: 
# Full_Citation: 
# Abstract: Reconstructions of key climate parameters prior to anthropogenic influences serve to constrain decadal to multi-century natural climate variability. In the western Pacific region, relatively few reconstructions exist north of the Western Pacific Warm Pool (WPWP), a region critical to global climate. In this study, we collected a coral core from Houbihu, southern Taiwan and generated a 225-year reconstruction of annual and wintertime sea surface temperature (SST), dry season sea surface salinity (SSS) and wet season rainfall records derived from paired Porites Sr/Ca and d18O profiles extending back to the end of the Little Ice Age (LIA, 1850 CE). Multidecadal SST trends generally track regional surface temperature reconstructions, indicating the dominant influence of solar and volcanic radiative forcings. Reconstructed dry season SSS reflects an advection signal linked to the East Asian Winter Monsoon (EAWM) and the Pacific Decadal Oscillation (PDO), both influencing variations in the Kuroshio Intrusion (KI) across the Luzon Strait. Reconstructed wet season rainfall, on the other hand, reveals influence of the PDO on the decadal variability of local and regional rainfall patterns. Relative to the late 1900s, our climate reconstructions document cooler and drier (high salinity and low rainfall) conditions during the end of the LIA, supporting other lines of evidence of a retracted WPWP region during this period. In the late 20th to early 21st century, our climate reconstructions record warming and freshening (low salinity and high rainfall) trends, highlighting the potential impact of anthropogenic forcing in the extension of the WPWP.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: National Research Foundation Singapore
#    Grant: NRF-RF2012-03
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Ministry of Education, Singapore Academic Research Fund Tier 2
#    Grant: Project MOE2016-T2-1-016
#---------------------------------------
# Site_Information
# Site_Name: Houbihu, southern Taiwan
# Location: Taiwan
# Country: Taiwan
# Northernmost_Latitude: 21.9
# Southernmost_Latitude: 21.9
# Easternmost_Longitude: 120.7
# Westernmost_Longitude: 120.7
# Elevation: -6
#---------------------------------------
# Data_Collection
#   Collection_Name: HBH monthly Ramos2020
#   First_Year: 1788
#   Last_Year: 2013
#   Time_Unit: AD
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_AD	age,,,year Common Era,monthly,corals and sclerosponges,,,N,
## Sr/Ca-Porites	strontium/calcium,Porites sp.,,millimole per mole,,corals and sclerosponges,,inductively-coupled plasma atomic emission spectroscopy,N,
## d18O-Porites	delta 18O,Porites sp.,,per mil,,corals and sclerosponges,,isotope ratio mass spectrometry,N,
#------------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values: NaN
age_AD	Sr/Ca-Porites	d18O-Porites	
1800.21	9.1089	NaN	
1800.29	9.043	NaN	
1800.38	8.8212	NaN	
1800.46	8.807	NaN	
1800.54	8.8027	NaN	
1800.63	8.7665	NaN	
1800.71	8.8216	NaN	
1800.79	8.8384	NaN	
1800.88	8.951	NaN	
1800.96	9.0485	NaN	
1801.04	9.1597	NaN	
1801.13	9.1496	NaN	
1801.21	9.0972	NaN	
1801.29	8.9365	NaN	
1801.38	8.8121	NaN	
1801.46	8.8332	NaN	
1801.54	8.7924	NaN	
1801.63	8.8192	NaN	
1801.71	8.8097	NaN	
1801.79	8.8329	NaN	
1801.88	8.9522	NaN	
1801.96	8.9975	NaN	
1802.04	9.0115	NaN	
1802.13	9.0095	NaN	
1802.21	8.9765	NaN	
1802.29	8.935	NaN	
1802.38	8.7905	NaN	
1802.46	8.7796	NaN	
1802.54	8.7615	NaN	
1802.63	8.7782	NaN	
1802.71	8.824	NaN	
1802.79	8.8552	NaN	
1802.88	8.9478	NaN	
1802.96	9.0938	NaN	
1803.04	9.1529	NaN	
1803.13	9.1241	NaN	
1803.21	9.0953	NaN	
1803.29	8.9257	NaN	
1803.38	8.8624	NaN	
1803.46	8.8083	NaN	
1803.54	8.7445	NaN	
1803.63	8.7463	NaN	
1803.71	8.827	NaN	
1803.79	8.8638	NaN	
1803.88	9.018	NaN	
1803.96	9.1277	NaN	
1804.04	9.1706	NaN	
1804.13	9.1433	NaN	
1804.21	9.1159	NaN	
1804.29	8.9996	NaN	
1804.38	8.8714	NaN	
1804.46	8.7298	NaN	
1804.54	8.772	NaN	
1804.63	8.8197	NaN	
1804.71	8.8264	NaN	
1804.79	8.8159	NaN	
1804.88	8.9675	NaN	
1804.96	9.0507	NaN	
1805.04	9.132	NaN	
1805.13	9.1348	NaN	
1805.21	9.0906	NaN	
1805.29	9.0177	NaN	
1805.38	8.8472	NaN	
1805.46	8.7598	NaN	
1805.54	8.788	NaN	
1805.63	8.7615	NaN	
1805.71	8.7944	NaN	
1805.79	8.8508	NaN	
1805.88	8.9447	NaN	
1805.96	9.0714	NaN	
1806.04	9.1709	NaN	
1806.13	9.1457	NaN	
1806.21	9.0782	NaN	
1806.29	8.9643	NaN	
1806.38	8.8338	NaN	
1806.46	8.7746	NaN	
1806.54	8.7505	NaN	
1806.63	8.7757	NaN	
1806.71	8.8387	NaN	
1806.79	8.8586	NaN	
1806.88	8.9871	NaN	
1806.96	9.0761	NaN	
1807.04	9.1543	NaN	
1807.13	9.1329	NaN	
1807.21	9.0915	NaN	
1807.29	8.9882	NaN	
1807.38	8.8108	NaN	
1807.46	8.7789	NaN	
1807.54	8.7629	NaN	
1807.63	8.798	NaN	
1807.71	8.7919	NaN	
1807.79	8.8392	NaN	
1807.88	8.9642	NaN	
1807.96	9.1176	NaN	
1808.04	9.1142	NaN	
1808.13	9.104	NaN	
1808.21	9.0938	NaN	
1808.29	9.0652	NaN	
1808.38	8.8208	NaN	
1808.46	8.7932	NaN	
1808.54	8.7933	NaN	
1808.63	8.7932	NaN	
1808.71	8.8144	NaN	
1808.79	8.8562	NaN	
1808.88	8.9919	NaN	
1808.96	9.0479	NaN	
1809.04	9.0773	NaN	
1809.13	9.0806	NaN	
1809.21	9.0693	NaN	
1809.29	8.9342	NaN	
1809.38	8.8449	NaN	
1809.46	8.8028	NaN	
1809.54	8.8514	NaN	
1809.63	8.834	NaN	
1809.71	8.8339	NaN	
1809.79	8.8988	NaN	
1809.88	8.998	NaN	
1809.96	9.0513	NaN	
1810.04	9.0448	NaN	
1810.13	9.0465	NaN	
1810.21	9.0188	NaN	
1810.29	8.991	NaN	
1810.38	8.8015	NaN	
1810.46	8.7917	NaN	
1810.54	8.7764	NaN	
1810.63	8.77	NaN	
1810.71	8.8092	NaN	
1810.79	8.8615	NaN	
1810.88	8.9686	NaN	
1810.96	9.0654	NaN	
1811.04	9.0763	NaN	
1811.13	9.0644	NaN	
1811.21	9.0523	NaN	
1811.29	8.9755	NaN	
1811.38	8.869	NaN	
1811.46	8.8212	NaN	
1811.54	8.8255	NaN	
1811.63	8.805	NaN	
1811.71	8.8429	NaN	
1811.79	8.8664	NaN	
1811.88	8.9787	NaN	
1811.96	9.1174	NaN	
1812.04	9.2449	NaN	
1812.13	9.2132	NaN	
1812.21	9.1078	NaN	
1812.29	8.8357	NaN	
