# WDC PALEO DATA SUBMISSION for PAGES 2k database
#
# Created 28 Feb 2013 by Raphi Neukom based on WDC template from 21 Dec 2012 using make_NOAA_files.r
#-----------------------------------------------------------------------
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# plus the Online Resource and date accessed.
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/palmyra_2003.txt
#
# Archive: Corals
#--------------------
# Contribution_Date
#	Date: 28-02-2013
#--------------------
# Title
#	Study_Name: Palmyra Coral d18O
#--------------------
# Investigators
#	Investigators: Cobb, K.
#--------------------
# Description_and_Notes
#	Description: Uploaded by R. Neukom, data obtained from NOAA Paleo DB.
#--------------------
# Publication
#	Authors: Cobb, K.; Charles, C.; Cheng, H.; Edwards, L.
#	Published_Date_or_Year: 2003
#	Published_Title: El Nino/Southern Oscillation and tropical Pacific climate during the last millenium.
#	Journal_Name: Nature
#	Volume: 424
#	Issue: 
#	Pages: 271-276
#--------------------
# Funding_Agency 
#--------------------
# Site_Information 
#	Site_Name: Palmyra
#	Location: Ocean>Pacific Ocean
#	Region: PAGES Australasia 2k
#	Country: USA
#	Northernmost_Latitude: 5.87
#	Southernmost_Latitude: 5.87
#	Easternmost_Longitude: -162.13
#	Westernmost_Longitude: -162.13
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: Coral d18O for PAGES Australasia 2k regional reconstructions
#	Earliest_Year: 1150
#	Most_Recent_Year: 1998
#	Time_Unit: AD
#	Notes: These are processed data (SONDJF season extracted). Raw data can be obtained from NOAA Paleo DB.
#--------------------
#  Species
#--------------------
# Chronology: 
#--------------------
# Variables
# Short_name  What,Material,Error,Units, Anomaly_period,Archive,Details,Method,Data_type
## age_AD	age, , ,AD, ,corals, ,,N
## Palmyra_d18O_floating	Coral d18O,coral,,‰,,coral,,,N
#--------------------
# Data
# Missing values: NA
age_AD	Palmyra_d18O_floating
1828	NA
1829	NA
1830	NA
1831	NA
1832	NA
1833	NA
1834	NA
1835	NA
1836	NA
1837	NA
1838	NA
1839	NA
1840	NA
1841	NA
1842	NA
1843	NA
1844	NA
1845	NA
1846	NA
1847	NA
1848	NA
1849	NA
1850	NA
1851	NA
1852	NA
1853	NA
1854	NA
1855	NA
1856	NA
1857	NA
1858	NA
1859	NA
1860	NA
1861	NA
1862	NA
1863	NA
1864	NA
1865	NA
1866	NA
1867	NA
1868	NA
1869	NA
1870	NA
1871	NA
1872	NA
1873	NA
1874	NA
1875	NA
1876	NA
1877	NA
1878	NA
1879	NA
1880	NA
1881	NA
1882	NA
1883	NA
1884	NA
1885	NA
1886	NA
1887	-4.498
1888	-4.604
1889	-4.807
1890	-4.590
1891	-4.812
1892	-4.784
1893	-4.649
1894	-4.627
1895	-4.762
1896	-4.898
1897	-4.917
1898	-4.787
1899	-4.680
1900	-5.028
1901	-4.934
1902	-4.709
1903	-5.073
1904	-4.789
1905	-4.886
1906	-4.987
1907	-4.897
1908	-4.914
1909	-4.737
1910	-4.637
1911	-4.682
1912	-4.849
1913	-4.734
1914	-4.863
1915	-5.180
1916	-4.862
1917	-4.623
1918	-4.592
1919	-4.893
1920	-4.877
1921	-4.686
1922	-4.702
1923	-4.697
1924	-4.847
1925	-4.662
1926	-4.794
1927	-4.754
1928	-4.823
1929	-4.788
1930	-4.997
1931	-5.091
1932	-4.894
1933	-4.893
1934	-4.686
1935	-4.831
1936	-4.946
1937	-4.966
1938	-4.941
1939	-4.843
1940	-4.877
1941	-5.130
1942	-5.180
1943	-4.823
1944	-4.732
1945	-4.721
1946	-4.736
1947	-4.995
1948	-4.730
1949	-4.780
1950	-4.597
1951	-4.673
1952	-5.004
1953	-4.760
1954	-4.787
1955	-4.843
1956	-4.819
1957	-4.811
1958	-5.011
1959	-5.047
1960	-4.889
1961	-4.861
1962	-4.764
1963	-4.853
1964	-4.980
1965	-4.823
1966	-5.083
1967	-4.977
1968	-4.995
1969	-5.165
1970	-5.085
1971	-4.722
1972	-4.775
1973	-5.183
1974	-4.620
1975	-4.836
1976	-4.662
1977	-5.047
1978	-4.971
1979	-4.922
1980	-5.112
1981	-5.000
1982	-5.047
1983	-5.066
1984	-4.895
1985	-4.904
1986	-5.041
1987	-5.380
1988	-5.320
1989	-4.910
1990	-5.075
1991	-5.293
1992	-5.356
1993	-5.252
1994	-5.399
1995	-5.500
1996	-5.013
1997	-5.237
1998	-5.566
