# WDC PALEO DATA SUBMISSION for PAGES 2k database
#
# Created 01 Mrz 2013 by Raphi Neukom based on WDC template from 21 Dec 2012 using make_NOAA_files.r
#-----------------------------------------------------------------------
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# plus the Online Resource and date accessed.
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/amedee_1998.txt
#
# Archive: Corals
#--------------------
# Contribution_Date
#	Date: 01-03-2013
#--------------------
# Title
#	Study_Name: New Caledonia Coral d18O
#--------------------
# Investigators
#	Investigators: Quinn, T.M.
#--------------------
# Description_and_Notes
#	Description: Uploaded by R. Neukom, data obtained from NOAA Paleo DB.
#--------------------
# Publication
#	Authors: Quinn, T. M.; Crowley, T. J.; Taylor, F. W.; Henin, C.; Joannot, P.; Join, Y.
#	Published_Date_or_Year: 1998
#	Published_Title: A multicentury stable isotope record from a New Caledonia coral: Interannual and decadal sea surface temperature variability in the southwest Pacific since 1657 AD
#	Journal_Name: Paleoceanography
#	Volume: 13
#	Issue: 4
#	Pages: 412-426
#	Abstract: A 335 year stable isotope record from a New Caledonia coral (22 degrees S, 166 degrees E) helps fill a large gap in historical climate reconstructions. Although the long-term cord delta(18)O-based sea surface temperature (SST) trend is one of warming, there are notable decadal fluctuations, especially in the early 18th and early 19th centuries. Mean annual SSTs between 1658 and 1900 are estimated to be similar to 0.3 degrees C lower than the 20th century average, with interdecadal excursions of 0.5 degrees-0.8 degrees C. Time series analyses of the coral isotope record reveals significant concentrations of variance in the El Nino band; an inderdecadal spectral peak is present, but its robustness requires additional statistical evaluation. A secular but irregular decrease in cord delta(13)C values begins in the mid-1800s and may reflect the anthropogenic perturbation of the carbon reservoir. These and other results indicate that the New Caledonia coral isotope record is a valuable source of information on southwest Pacific climate history.
#--------------------
# Funding_Agency 
#--------------------
# Site_Information 
#	Site_Name: New Caledonia
#	Location: Ocean>Pacific Ocean
#	Region: PAGES Australasia 2k
#	Northernmost_Latitude: -22.48
#	Southernmost_Latitude: -22.48
#	Easternmost_Longitude: 166.45
#	Westernmost_Longitude: 166.45
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: Coral d18O for PAGES Australasia 2k regional reconstructions
#	Earliest_Year: 1658
#	Most_Recent_Year: 1992
#	Time_Unit: AD
#	Notes: These are SONDJF seasonal averages. Raw data can be obtained from NOAA Paleo DB.
#--------------------
#  Species
#--------------------
# Chronology: 
#--------------------
# Variables
# Short_name  What,Material,Error,Units, Anomaly_period,Archive,Details,Method,Data_type
## age_AD	age, , ,AD, ,corals, ,,N
## New_Caledonia_SONDJF	Coral d18O,coral,,‰,,coral,,,N
#--------------------
# Data
# Missing values: NA
age_AD	New_Caledonia_SONDJF
1838	-3.84
1839	-3.865
1840	-3.855
1841	-3.87
1842	-4.02
1843	-4.035
1844	-3.955
1845	-4.1
1846	-4.085
1847	-4.135
1848	-4.075
1849	-4.02
1850	-3.995
1851	-4.24
1852	-4.225
1853	-4.235
1854	-4.07
1855	-4.155
1856	-4.135
1857	-3.975
1858	-3.865
1859	-4.135
1860	-4.165
1861	-4.165
1862	-4.18
1863	-4.39
1864	-4.38
1865	-4.205
1866	-4.345
1867	-4.28
1868	-4.175
1869	-3.995
1870	-3.895
1871	-3.865
1872	-4.1
1873	-4.105
1874	-3.855
1875	-3.885
1876	-3.98
1877	-4.15
1878	-3.93
1879	-4.12
1880	-4.125
1881	-4.045
1882	-3.92
1883	-3.98
1884	-3.855
1885	-3.77
1886	-3.945
1887	-4.185
1888	-4.1
1889	-4.265
1890	-4.255
1891	-4.27
1892	-4.3
1893	-4.29
1894	-4.45
1895	-4.265
1896	-4.06
1897	-4.045
1898	-4.11
1899	-4.145
1900	-4.035
1901	-4.065
1902	-3.81
1903	-3.87
1904	-3.88
1905	-3.89
1906	-3.74
1907	-3.88
1908	-3.87
1909	-4.415
1910	-4.01
1911	-4.1
1912	-4.02
1913	-4.05
1914	-4.085
1915	-4.175
1916	-4.155
1917	-4.055
1918	-4.29
1919	-4.235
1920	-4.195
1921	-4.235
1922	-4.105
1923	-4.21
1924	-4.195
1925	-4.14
1926	-4.11
1927	-3.98
1928	-4.23
1929	-4.02
1930	-4.24
1931	-3.965
1932	-4.155
1933	-4.115
1934	-4.235
1935	-4.175
1936	-4.05
1937	-4.145
1938	-4.145
1939	-4.205
1940	-4.42
1941	-4.135
1942	-3.84
1943	-4.215
1944	-4.185
1945	-4.32
1946	-4.285
1947	-4.3
1948	-4.305
1949	-4.32
1950	-4.48
1951	-4.46
1952	-4.34
1953	-4.47
1954	-4.51
1955	-4.59
1956	-4.545
1957	-4.525
1958	-4.44
1959	-4.485
1960	-4.335
1961	-4.4
1962	-4.3
1963	-4.395
1964	-4.435
1965	-4.38
1966	-4.22
1967	-4.21
1968	-4.295
1969	-4.385
1970	-4.225
1971	-4.335
1972	-4.34
1973	-4.44
1974	-4.325
1975	-4.345
1976	-4.435
1977	-4.435
1978	-4.195
1979	-4.265
1980	-4.195
1981	-4.215
1982	-4.245
1983	-4.345
1984	-4.255
1985	-4.195
1986	-4.285
1987	-4.23
1988	-4.16
1989	-4.38
1990	-4.425
1991	-4.35
1992	-4.34
