Year	Ifaty4_SrCa	Ifaty4_d18O	Zimbabwe_rainfall_recon	Kalahari_precip	Eastern_Cape_precip	Lesotho_precip	Mayotte	Ifaty1_SrCa	Ifaty1_d18O
1658	-1.6338	NA	NA	NA	NA	NA	NA	NA	NA
1659	0.40877	NA	NA	NA	NA	NA	NA	NA	NA
1660	0.02943	NA	NA	NA	NA	NA	NA	NA	NA
1661	-1.4879	-1.42259	NA	NA	NA	NA	NA	NA	NA
1662	1.48841	-1.17534	NA	NA	NA	NA	NA	NA	NA
1663	1.95528	-0.64786	NA	NA	NA	NA	NA	NA	NA
1664	0.52549	-0.49726	NA	NA	NA	NA	NA	NA	NA
1665	1.37172	-0.83694	NA	NA	NA	NA	NA	NA	NA
1666	-1.05018	0.02506	NA	NA	NA	NA	NA	NA	NA
1667	1.05075	2.29543	NA	NA	NA	NA	NA	NA	NA
1668	-1.95474	-0.51269	NA	NA	NA	NA	NA	NA	NA
1669	0.17536	0.58938	NA	NA	NA	NA	NA	NA	NA
1670	0.23372	-2.18132	NA	NA	NA	NA	NA	NA	NA
1671	0.05864	-2.32967	NA	NA	NA	NA	NA	NA	NA
1672	0.08782	-0.35165	NA	NA	NA	NA	NA	NA	NA
1673	0.78813	0.22771	NA	NA	NA	NA	NA	NA	NA
1674	0.05864	0.50647	NA	NA	NA	NA	NA	NA	NA
1675	3.1517	-0.08209	NA	NA	NA	NA	NA	NA	NA
1676	2.07206	0.46995	NA	NA	NA	NA	NA	NA	NA
1677	0.35047	-0.6818	NA	NA	NA	NA	NA	NA	NA
1678	3.79365	0.13462	NA	NA	NA	NA	NA	NA	NA
1679	0.8757	-2.03297	NA	NA	NA	NA	NA	NA	NA
1680	1.0216	-1.89264	NA	NA	NA	NA	NA	NA	NA
1681	0.64226	-0.74289	NA	NA	NA	NA	NA	NA	NA
1682	-1.05015	-1.8725	NA	NA	NA	NA	NA	NA	NA
1683	1.05077	0.6238	NA	NA	NA	NA	NA	NA	NA
1684	-1.22523	1.22116	NA	NA	NA	NA	NA	NA	NA
1685	1.98455	3.55836	NA	NA	NA	NA	NA	NA	NA
1686	-0.52489	0.08081	NA	NA	NA	NA	NA	NA	NA
1687	0.29214	0.5312	NA	NA	NA	NA	NA	NA	NA
1688	0.90491	0.8094	NA	NA	NA	NA	NA	NA	NA
1689	-1.75043	0.69216	NA	NA	NA	NA	NA	NA	NA
1690	-2.18812	0.03766	NA	NA	NA	NA	NA	NA	NA
1691	-1.13763	0.03184	NA	NA	NA	NA	NA	NA	NA
1692	-2.80086	0.67921	NA	NA	NA	NA	NA	NA	NA
1693	-0.34978	0.38285	NA	NA	NA	NA	NA	NA	NA
1694	-1.28353	1.10619	NA	NA	NA	NA	NA	NA	NA
1695	3.79371	-1.20685	NA	NA	NA	NA	NA	NA	NA
1696	-1.80876	5.2612	NA	NA	NA	NA	NA	NA	NA
1697	0.70068	1.40968	NA	NA	NA	NA	NA	NA	NA
1698	2.13047	0.21365	NA	NA	NA	NA	NA	NA	NA
1699	1.9554	2.17568	NA	NA	NA	NA	NA	NA	NA
1700	1.98458	1.62057	NA	NA	NA	NA	NA	NA	NA
1701	2.48063	2.37736	NA	NA	NA	NA	NA	NA	NA
1702	1.19673	0.17923	NA	NA	NA	NA	NA	NA	NA
