# Papua New Guinea Holocene and Modern Coral Oxygen Isotope Data 
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/9813
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/papua_new_guinea/papau-new-guinea2004.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2010-11-01
#--------------------
# Title
#	Study_Name: Papua New Guinea Holocene Coral Oxygen Isotope Data 
#--------------------
# Investigators
#       Investigators: McGregor, H.V.; Gagan, M.K.
#--------------------
# Description_and_Notes
#	Description: Fossil and modern coral d18O data from Koil Island and Muschu Island, northern Papua New Guinea, collected from uplifted and living reefs.  Fossil corals were screened for diagenesis using X-ray diffraction  and thin section observations. Eight mid-late Holocene fossil corals were selected for study due to their well preserved state.  Uranium-series ages of these corals were determined by isotope dilution thermal ionisation mass spectrometry, with fossil coral initial d234U constrained to 146�150 per mil. The average error on the uranium-series ages is �90 yr. 
#--------------------
# Publication 
#       Authors: McGregor, H.V.; Gagan, M.K.
#       Published_Date_or_Year: 2004
#       Published_Title: Western Pacific coral d18O records of anomalous Holocene variability in the El Nino-Southern Oscillation.
#       Journal_Name: Geophysical Research Letters
#       Volume: 31
#       Edition: 
#       Issue: L11204
#       Pages: 
#       DOI: 10.1029/2004GL019972
#       Online_Resource: 
#       Full_Citation: McGregor, H.V., and M.K. Gagan. 2004. Western Pacific coral d18O records of anomalous Holocene variability in the El Nino-Southern Oscillation. Geophysical Research Letters, 31, L11204, doi:10.1029/2004GL019972. 
#       Abstract: Skeletal oxygen isotope ratios in Holocene Porites corals from  northern Papua New Guinea record decreases in sea surface temperature  (SST) and rainfall during El Nino events. Threshold analysis of seven  fossil coral d18O records spanning the period 7.6-5.4 ka (thousand  years ago) shows 8-12 El Nino events/century, significantly less  than the 23 events/century recorded by the NINO3.4 Index. The coral  reconstructions also show a 15% reduction in El Nino event amplitude  for 7.6-5.4 ka, compared to today, which is greater than the  suppression given by model studies. In contrast, large and protracted  El Nino events are identified for 2.5-1.7 ka. Taken together,  the results indicate a nonlinear atmospheric response to Holocene  changes in El Nino SST anomalies. We propose that small changes  in tropical SST gradients, the positioning of the Intertropical  Convergence Zone, and the Pacific tradewind climatology modify  the impact of El Nino events on western Pacific rainfall.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Morock Bay, Muschu Island, Papua New Guinea
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Melanesia>Papua New Guinea
#	Country: Papua New Guinea 
#	Northernmost_Latitude: -3.4064 
# 	Southernmost_Latitude: -3.4064 
# 	Easternmost_Longitude: 143.6083
# 	Westernmost_Longitude: 143.6083 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 04papu01f 
#	Earliest_Year: 6025
#	Most_Recent_Year: 6025
#	Time_Unit: cal yr BP
#	Core_Length: 
#	Notes: Core FM15; year 1=the youngest year in that coral
#------------------
# Species
#	Species_Name: Porites sp. 
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: U/Th CoralAge=6025 � 30 yr BP  (McGregor et al. 2008)
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years, , , , ,N
##d18O	delta 18O, Porites sp., , permil VPDB, , Corals and Sclerosponges, , ,N
##d18O_anom	delta 18O, Porites sp., , permil VPDB, , Corals and Sclerosponges, anomalized to series mean, ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	d18O_anom
1	-5.21	-0.01
2	-5.2	-0.01
3	-5.25	-0.08
4	-5.29	-0.14
5	-5.06	0.06
6	-5.04	0.05
7	-4.95	0.1
8	-5.09	-0.06
9	-5.04	-0.03
10	-4.83	0.17
11	-5.04	-0.03
12	-4.94	0.08
13	-4.97	0.07
14	-5.04	0.02
15	-5.23	-0.14
16	-5.08	0.03
17	-5.22	-0.11
18	-5.16	-0.05
19	-5.18	-0.09
20	-5.08	-0.02
21	-5.04	0
22	-4.83	0.19
23	-4.86	0.16
24	-4.97	0.07
25	-5.11	-0.05
26	-5.15	-0.07
27	-5.26	-0.16
28	-5.04	0.08
29	-5.16	-0.04
30	-5.18	-0.06
31	-5.07	0.05
32	-5.07	0.05
33	-5.05	0.07
34	-5.15	-0.03
35	-5.19	-0.07
36	-5.2	-0.09
37	-5.06	0.04
38	-5.07	0.03
39	-5.06	0.03
40	-5.03	0.06
41	-5.06	0.04
42	-5.07	0.03
43	-5.3	-0.19
44	-5.01	0.11
45	-5.19	-0.08
46	-5.18	-0.08
47	-5.08	0.01
48	-5.01	0.06
49	-5.16	-0.1
50	-4.92	0.12
51	-5	0.03
52	-4.98	0.05
53	-5.1	-0.07
54	-5.03	0
55	-4.97	0.05
56	-5.06	-0.04
57	-5.13	-0.12
58	-4.96	0.04
59	-4.96	0.04
60	-4.89	0.1
61	-5	-0.01
62	-5.02	-0.03
63	-5.07	-0.08
64	-5.01	-0.01
65	-4.87	0.14
66	-4.87	0.15
67	-5.2	-0.16
68	-5.11	-0.05
69	-4.99	0.09
70	-5.15	-0.05
71	-5.11	0
72	-5.19	-0.07
73	-5.02	0.11
74	-5.22	-0.09
75	-5.18	-0.05
76	-5.1	0.02
77	-5.22	-0.11
78	-5.07	0.02
79	-4.97	0.11
80	-5.1	-0.02
81	-4.96	0.12
82	-5.08	0
83	-5.1	-0.01
84	-5.18	-0.08
85	-5.18	-0.07
86	-5.02	0.1
87	-5.08	0.05
88	-5.08	0.06
89	-5.28	-0.14
